relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-292.95700000000215,209.6552956703761,,,,,,118.181,,,,,,0.067
-278.987000000001,,,103.72532381097622,,,,,,64.653,,,,0.067
-271.06699999999546,,,,112.76314118978311,,,,,,119.19,,,0.067
-261.0769999999975,128.12351458875335,,,,,,53.888,,,,,,0.067
-213.1270000000004,,119.55244384614362,70.502421818334,,,,,65.61,68.845,,,,0.067
-184.26699999999983,,,,144.95971850260435,,,,,,155.551,,,0.067
-155.27700000000186,,,,362.7370647708454,,,,,,188.695,,,0.067
-15.86699999999837,,,,453.05504952268745,,,,,,148.203,,,0.067
-11.906999999999243,,208.1633493129017,,,,,,76.868,,,,,0.067
-10.887000000002445,,114.32191460433252,,,,,,79.458,,,,,0.067
-10.877000000000407,,,,242.673517737149,,,,,,157.458,,,0.067
-6.86699999999837,,,382.3381978142995,,,,,,112.47,,,,0.067
-6.856999999996333,,141.0520862145555,,,,,,105.959,,,,,0.067
0.0,,,,,,644.0952609103927,,,,,,101.072,0.067
2.9690000000045984,,,,,,563.381884159142,,,,,,73.245,0.067
2.9910000000018044,,,,,296.01345876847415,,,,,,71.408,,0.067
3.1229999999995925,353.0454583329731,582.3014073755281,,,,,51.363,52.122,,,,,0.067
5.950000000004366,,,,,386.8746740236355,,,,,,106.935,,0.067
5.997000000003027,,,,,,618.6152296546669,,,,,,88.966,0.067
6.1229999999995925,490.76425824531964,,,,,,49.6,,,,,,0.067
6.13300000000163,,,653.5988032540382,,,,,,70.347,,,,0.067
8.944999999999709,,,,,,768.3938611073187,,,,,,82.422,0.067
8.967000000004191,,,,,293.28304430028305,,,,,,73.794,,0.067
12.112999999997555,,,854.8167144159574,,,,,,105.879,,,,0.067
12.949000000000524,,,,,,420.9039159275887,,,,,,102.205,0.067
17.986000000004424,,,,,,698.9438977877575,,,,,,79.789,0.067
18.103000000002794,,680.4596394538787,,,,,,48.739,,,,,0.067
18.112999999997555,,,,888.7369535775554,,,,,,100.502,,,0.067
23.92500000000291,,,,,,876.3184578960157,,,,,,185.311,0.067
26.934000000001106,,,,,,1007.6901649091807,,,,,,152.845,0.067
31.08299999999872,,,,1039.9782891259665,,,,,,79.957,,,0.067
31.093000000000757,213.95572468126295,,,,,,44.291,,,,,,0.067
31.980999999999767,,,,,,608.0143699542534,,,,,,63.707,0.067
34.112999999997555,250.391791190316,,668.040317778566,,,,51.565,,63.154,,,,0.067
36.963000000003376,,,,,,527.5008908183213,,,,,,94.55,0.067
37.06300000000192,259.20279234002146,570.2846618072195,,,,,69.337,44.886,,,,,0.067
38.92399999999907,,,,,,477.96022709740186,,,,,,75.599,0.067
42.09300000000076,293.6087261310206,497.1240251355894,,,,,55.508,52.251,,,,,0.067
42.96399999999994,,,,,,584.7709289982234,,,,,,85.9,0.067
47.06300000000192,,,686.8936430525312,,,,,,60.92,,,,0.067
49.112999999997555,,,,713.9252976441016,,,,,,103.091,,,0.067
57.12299999999959,,,693.8749823046982,,,,,,78.655,,,,0.067
57.13300000000163,158.8657030124204,,,,,,64.954,,,,,,0.067
57.91100000000006,,,,,,562.3082202378715,,,,,,82.532,0.067
60.9429999999993,,,,,,518.5658445788955,,,,,,78.793,0.067
62.934000000001106,,,,,,437.75440484654524,,,,,,101.922,0.067
62.983000000000175,158.20150062592214,,637.0317513722655,,,,40.994,,60.976,,,,0.067
64.95700000000215,,,,,,450.06256619225775,,,,,,116.836,0.067
65.02300000000105,,,589.7832252951699,,,,,,51.621,,,,0.067
65.50800000000163,217.92968133268462,,,,,,45.746,,,,,,0.067
65.99300000000221,,386.2157190890705,,,,,,50.895,,,,,0.067
66.86200000000099,,,,,,677.0016771578573,,,,,,168.999,0.067
69.95300000000134,,,239.43487052010292,,,,,,109.009,,,,0.067
69.96300000000338,347.5329537806233,,,,,,127.522,,,,,,0.067
72.93300000000454,,,,,,467.8031652473496,,,,,,86.589,0.067
73.96300000000338,333.46712358067475,,642.0640256971652,,,,65.858,,75.814,,,,0.067
75.88199999999779,,,,,,549.2117833902427,,,,,,116.996,0.067
75.9429999999993,,334.3251203667269,646.15661243314,,,,,61.618,103.886,,,,0.067
84.00300000000425,,264.4515755321678,,,,,,68.571,,,,,0.067
84.01299999999901,,,677.7845183866864,,,,,,97.324,,,,0.067
86.91300000000047,146.384702235623,,,724.5156565497155,,,56.297,,,120.562,,,0.067
88.87900000000081,,,,,,435.03504294758955,,,,,,89.271,0.067
89.93300000000454,172.8614855030584,183.2454125822043,,,,,51.713,54.983,,,,,0.067
92.96300000000338,,,588.7367550256855,,,,,,81.357,,,,0.067
92.97299999999814,101.31400470209283,,,,,,47.808,,,,,,0.067
96.8530000000028,86.75658968501845,313.9090702824528,,,,,43.899,56.04,,,,,0.067
98.84200000000419,,,,,,685.0352983017902,,,,,,94.473,0.067
99.93300000000454,466.322611103746,,392.02507298338264,,,,88.706,,135.265,,,,0.067
101.95300000000134,275.3525418919589,,506.5635482362921,,,,59.901,,74.587,,,,0.067
103.96300000000338,180.0876572296127,,,643.9874754584733,,,89.666,,,155.526,,,0.067
111.83299999999872,,,312.7597271898605,,,,,,88.481,,,,0.067
111.84300000000076,,187.3126908638545,,,,,,132.418,,,,,0.067
113.93300000000454,,101.26492044325157,,,,,,63.688,,,,,0.067
113.9429999999993,,,,426.7792910699065,,,,,,98.062,,,0.067
116.99300000000221,,,,526.4549989802453,,,,,,120.653,,,0.067
121.86299999999756,,115.47930830890348,,,,,,106.827,,,,,0.067
126.8530000000028,,,319.9546318031467,,,,,,54.393,,,,0.067
128.81300000000192,131.37698051583794,121.560311062373,,,,,78.497,59.082,,,,,0.067
128.8420000000042,,,,,,362.3515156871526,,,,,,92.512,0.067
129.80299999999988,,,422.78747721028776,,,,,,64.713,,,,0.067
143.90299999999843,,269.7969069835416,,,,,,65.455,,,,,0.067
145.81300000000192,,,,277.96813418307147,,,,,,104.827,,,0.067
147.75300000000425,104.41486669103658,,225.44184325392564,,,,61.065,,97.763,,,,0.067
148.80299999999988,,87.68311618131251,,,,,,45.987,,,,,0.067
152.75300000000425,,293.8678845559345,,,,,,112.08,,,,,0.067
154.7430000000022,,,380.9297904591288,,,,,,96.37,,,,0.067
158.70999999999913,,,,,,412.76468849631766,,,,,,90.168,0.067
165.8530000000028,,,,684.4330617479982,,,,,,178.956,,,0.067
167.80299999999988,,78.26113483934463,,409.24055129798137,,,,86.775,,112.591,,,0.067
168.81300000000192,,222.25122045781103,276.6064836370187,,,,,143.791,128.317,,,,0.067
169.78300000000309,,274.2741931564872,,,,,,105.8,,,,,0.067
169.79299999999785,,,,918.4550995838956,,,,,,250.556,,,0.067
171.79299999999785,,126.40894723972039,,,,,,60.436,,,,,0.067
173.73300000000017,,150.23860588180804,,257.7634357801484,,,,45.533,,102.857,,,0.067
176.73300000000017,,,364.4313042985576,,,,,,88.228,,,,0.067
184.8729999999996,,96.11756423081754,,,,,,109.546,,,,,0.067
185.65299999999843,,,,,,407.8376523049135,,,,,,79.087,0.067
