relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-299.99000000000524,,,67.3080817710052,,,,,,70.524,,,,0.019
-295.9800000000032,71.54184383504352,,,,,,74.251,,,,,,0.019
-148.67000000000553,,,88.84340140817983,,,,,,77.352,,,,0.019
-136.61000000000058,,,,550.401722178421,,,,,,182.864,,,0.019
-129.62000000000262,,147.7099506230204,,,,,,91.895,,,,,0.019
-127.61000000000058,,105.24234621669076,,,,,,116.454,,,,,0.019
-100.68000000000029,,,,263.4411758122629,,,,,,295.034,,,0.019
-91.72000000000116,74.92277187544437,,,,,,69.836,,,,,,0.019
-81.69000000000233,85.9946985277624,42.80438326109364,,,,,60.297,50.692,,,,,0.019
-74.74000000000524,,,,199.254604523658,,,,,,140.096,,,0.019
-66.72000000000116,,90.56841040197288,,,,,,65.591,,,,,0.019
-51.86000000000058,,187.81905714893742,,,,,,111.113,,,,,0.019
-45.81000000000495,,242.6156961514106,,,,,,117.406,,,,,0.019
-20.900000000001455,55.49389009521465,,,,,,50.436,,,,,,0.019
-10.950000000004366,,133.51398976677194,,289.79268425714093,,,,105.508,,142.262,,,0.019
0.0,827.7423936945559,,457.2448778894238,,,,59.1,,63.59,,,,0.019
2.0199999999967986,1224.3115074910843,,,,,,48.869,,,,,,0.019
2.029999999998836,,911.5474029632292,,,,,,54.668,,,,,0.019
5.049999999995634,1809.7022024762011,1567.4775633664406,,,,,67.686,77.394,,,,,0.019
7.0,,1675.136977699155,,,,,,107.158,,,,,0.019
9.110000000000582,2197.3752027494684,,,1297.5923746455815,,,96.636,,,123.026,,,0.019
16.06999999999971,,1916.2329854158697,,721.7794261201947,,,,174.973,,175.172,,,0.019
19.06999999999971,,1804.3837074428302,1366.5712428178085,,,,,72.058,63.899,,,,0.019
21.07999999999447,,1668.589662075482,,521.6820578384734,,,,56.93,,85.737,,,0.019
23.06999999999971,1600.898729216501,,1022.1239717775596,,,,55.414,,68.183,,,,0.019
27.05999999999767,,1189.08141850952,,,,,,99.402,,,,,0.019
27.06999999999971,1096.621537879513,,,,,,91.635,,,,,,0.019
30.049999999995634,,,831.8899741377935,,,,,,74.161,,,,0.019
30.05999999999767,947.8415245542154,,,,,,70.804,,,,,,0.019
33.029999999998836,754.8728989492257,785.2103588529501,,,,,59.256,56.247,,,,,0.019
35.06999999999971,732.6672448799053,,,,,,66.054,,,,,,0.019
35.07999999999447,,,647.2907399666705,,,,,,61.143,,,,0.019
44.029999999998836,,848.2350700617229,,479.5274457938565,,,,89.379,,120.652,,,0.019
45.0199999999968,,,756.3835234308486,,,,,,111.563,,,,0.019
45.029999999998836,,555.1046374898389,,,,,,136.62,,,,,0.019
47.0199999999968,,739.0779311326667,,481.9459006221114,,,,56.736,,90.669,,,0.019
49.0199999999968,,479.9182352152398,657.3301497644068,,,,,55.318,58.012,,,,0.019
58.029999999998836,,,330.1593054075975,,,,,,67.425,,,,0.019
59.0199999999968,172.17266828872647,355.57048732161024,,,,,52.011,67.194,,,,,0.019
