relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-86.58599999999569,50.95820539379404,,,,,,54.031,,,,,,0.031
-20.885999999998603,59.88989389169856,,,,,,73.063,,,,,,0.031
-10.775999999998021,,,130.36707611087834,,,,,,67.057,,,,0.031
-1.9859999999971478,134.1239486356757,,,,,,55.401,,,,,,0.031
-1.9759999999951106,,,160.06178727405887,,,,,,70.556,,,,0.031
-0.04299999999784632,,,,,,398.60208712666196,,,,,,72.093,0.031
0.0,,,,,324.1761739595913,,,,,,53.977,,0.031
0.07400000000052387,266.2581482132065,257.96775479358723,,,,,97.592,82.479,,,,,0.031
1.0140000000028522,501.877044625269,,230.20130517063888,,,,120.662,,123.107,,,,0.031
2.938000000001921,,,,,665.3603532233697,,,,,,70.448,,0.031
5.990000000005239,,,,,,721.5493213530085,,,,,,112.312,0.031
6.022000000004482,,,,,604.331185370119,,,,,,125.371,,0.031
7.992000000005646,,,,,947.5194070019766,,,,,,104.679,,0.031
8.02100000000064,,,,,,838.7225151751951,,,,,,104.953,0.031
16.184000000001106,,838.8129461118318,574.6857109804921,,,,,77.097,69.062,,,,0.031
17.997999999999593,,,,,810.3161907264001,,,,,,104.35,,0.031
20.971000000005006,,,,,938.1327866563731,,,,,,87.869,,0.031
20.977000000006228,,,,,,809.4831351991298,,,,,,81.285,0.031
22.978000000002794,,,,,929.7885265118801,,,,,,71.704,,0.031
23.018000000003667,,,,,,773.5934388466217,,,,,,73.612,0.031
25.020000000004075,,,,,,804.9728821835449,,,,,,87.565,0.031
26.991000000001804,,,,,,687.4583899448475,,,,,,80.856,0.031
27.033000000003085,,,,,819.8673942616526,,,,,,76.736,,0.031
29.054000000003725,921.2515956947046,827.2721559805894,,,,,55.684,51.617,,,,,0.031
29.09700000000157,,,,,1027.6681932396823,,,,,,121.24,,0.031
31.01100000000588,,,,,759.6213411931371,,,,,,80.639,,0.031
31.064000000005763,,,642.9958970209066,,,,,,86.5,,,,0.031
31.074000000000524,1018.1159959138146,,,,,,81.623,,,,,,0.031
32.074000000000524,817.0315568169456,768.2447695737317,,,,,56.996,58.217,,,,,0.031
32.94100000000617,,,,,751.2060843785995,,,,,,106.04,,0.031
33.01100000000588,,,,,,733.9372309790035,,,,,,124.543,0.031
34.074000000000524,,748.8688094130556,,,,,,93.58,,,,,0.031
34.08400000000256,740.2354506101398,,,,,,95.442,,,,,,0.031
41.02400000000489,,713.8300409416861,729.6574588948106,,,,,94.664,80.776,,,,0.031
43.03399999999965,,827.7165291228796,,419.1355171127737,,,,91.975,,117.776,,,0.031
43.957000000002154,,,,,,719.7083110020574,,,,,,128.896,0.031
44.02400000000489,,780.053474747178,464.5204542944813,,,,,106.296,94.035,,,,0.031
45.95400000000518,,,,,,719.5048660176225,,,,,,80.67,0.031
45.97700000000623,,,,,589.5369853227796,,,,,,79.553,,0.031
46.08400000000256,,566.4423368807273,,627.7212366232885,,,,51.63,,94.725,,,0.031
47.970000000001164,,,,,802.3581094386653,,,,,,97.879,,0.031
48.02400000000489,,,573.340893447454,,,,,,54.98,,,,0.031
48.03399999999965,,564.0085062563687,,,,,,51.354,,,,,0.031
49.02400000000489,470.0588055059489,,,,,,42.401,,,,,,0.031
49.03399999999965,,,536.550528079343,,,,,,48.744,,,,0.031
49.95900000000256,,,,,,631.8890044422573,,,,,,101.586,0.031
50.00900000000547,,,,,605.0078051497873,,,,,,96.12,,0.031
51.02400000000489,,,,450.8759374540612,,,,,,83.634,,,0.031
51.03399999999965,531.612369178705,,,,,,53.843,,,,,,0.031
51.94800000000396,,,,,,592.2983881269978,,,,,,74.517,0.031
51.991000000001804,,,,,524.1318408976846,,,,,,87.436,,0.031
53.992000000005646,,,,,,611.7690736865129,,,,,,107.217,0.031
55.03399999999965,407.09555897204325,,559.1970864418213,,,,46.362,,65.295,,,,0.031
55.978000000002794,,,,,,431.57351525981824,,,,,,98.237,0.031
56.03399999999965,392.8190540241943,606.3562983489884,,,,,45.716,48.183,,,,,0.031
59.04400000000169,416.1891779953041,229.14913435025366,,,,,83.069,85.052,,,,,0.031
59.97700000000623,,,,,,409.231253772461,,,,,,109.805,0.031
61.03399999999965,415.79322458741234,,,,,,59.73,,,,,,0.031
61.04400000000169,,,410.7150859318337,,,,,,55.423,,,,0.031
61.978000000002794,,,,,,457.83792923398437,,,,,,112.276,0.031
71.03399999999965,,,296.44148557346506,,,,,,72.609,,,,0.031
71.04400000000169,,256.86704359609877,,,,,,79.974,,,,,0.031
75.07400000000052,,,88.78540243628426,,,,,,77.066,,,,0.031
75.08400000000256,,252.13387785049602,,,,,,62.026,,,,,0.031
77.03399999999965,,253.89523095928251,,352.4278276205958,,,,52.56,,88.739,,,0.031
79.04400000000169,131.2946008946904,,389.9136932269304,,,,46.724,,70.26,,,,0.031
82.05400000000373,,191.2246303640612,,,,,,115.47,,,,,0.031
83.03399999999965,192.27253482320063,,321.0714914591602,,,,87.908,,109.461,,,,0.031
84.04400000000169,129.81393478954917,251.43019737820137,,,,,69.879,78.618,,,,,0.031
85.04400000000169,,,307.49347895722315,,,,,,87.586,,,,0.031
86.03399999999965,266.9247252388169,,,,,,78.152,,,,,,0.031
86.04400000000169,,279.46659197542147,,,,,,65.168,,,,,0.031
87.03399999999965,149.40309190490862,,181.61159099224628,,,,66.199,,82.976,,,,0.031
88.04400000000169,,295.6415591619744,,,,,,100.609,,,,,0.031
