relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-141.61999999999534,112.29252769911656,,,,,,74.863,,,,,,0.016
-138.62999999999738,,101.25289501394454,,,,,,54.495,,,,,0.016
-134.61999999999534,,96.87971873439295,,,,,,77.099,,,,,0.016
-129.62999999999738,,110.78540156108394,,,,,,138.563,,,,,0.016
-117.65000000000146,72.30740848685035,,89.92814764281256,,,,66.131,,52.885,,,,0.016
-107.70999999999913,,,209.1941040521421,,,,,,102.695,,,,0.016
-102.70999999999913,,308.31048547718734,,,,,,155.104,,,,,0.016
-89.75,,84.5858073600563,,,,,,50.276,,,,,0.016
-83.70999999999913,75.93628169522401,,,,,,57.987,,,,,,0.016
-53.87999999999738,,41.0918639347654,,,,,,51.329,,,,,0.016
-34.93000000000029,,,52.1931237908635,,,,,,40.192,,,,0.016
-29.839999999996508,,76.22785848856942,,,,,,62.087,,,,,0.016
-26.93000000000029,,,58.52651195044913,,,,,,67.933,,,,0.016
-12.970000000001164,,121.04382836930301,,,,,,74.012,,,,,0.016
-10.87999999999738,,135.9921777798624,,,,,,69.308,,,,,0.016
-7.989999999997963,,,109.61316948709698,,,,,,89.304,,,,0.016
-2.0339999999996508,,,,,,394.4363521664839,,,,,,81.492,0.016
-2.025999999998021,,,,,255.0480123157596,,,,,,60.426,,0.016
-2.0199999999967986,292.4165019597551,,297.5335060046543,,,,58.512,,60.522,,,,0.016
0.0,371.7516875728222,,,,,,50.511,,,,,,0.016
0.010000000002037268,,432.95275977587676,,,,,,43.334,,,,,0.016
0.8980000000010477,,,,,487.8943246424171,,,,,,63.851,,0.016
2.8960000000006403,,,,,,595.5729730020586,,,,,,84.744,0.016
2.930000000000291,,,,,544.0958498381591,,,,,,84.02,,0.016
3.029999999998836,582.8666609949729,624.1055307849917,,,,,66.218,66.953,,,,,0.016
4.980000000003201,565.9459847559282,676.6220711033588,,,,,116.782,98.451,,,,,0.016
5.927999999999884,,,,,687.9868732182562,,,,,,134.75,,0.016
7.0900000000037835,783.7089695034193,,,221.4742647348498,,,88.647,,,106.559,,,0.016
7.8989999999976135,,,,,763.5802298202227,,,,,,168.033,,0.016
7.931000000004133,,,,,,497.5189099516373,,,,,,143.757,0.016
14.05000000000291,,440.1704218853243,,472.8715991636446,,,,133.676,,143.695,,,0.016
14.934000000001106,,,,,,748.1610139223435,,,,,,146.073,0.016
14.974000000001979,,,,,710.0286619871946,,,,,,211.562,,0.016
16.927000000003318,,,,,,677.5878171821498,,,,,,88.13,0.016
16.931000000004133,,,,,774.2018653465556,,,,,,91.47,,0.016
17.05000000000291,,714.5547799105071,551.3831895694066,,,,,59.039,56.576,,,,0.016
18.911000000000058,,,,,800.5342590617065,,,,,,87.896,,0.016
19.05999999999767,,729.3982395551594,,455.5440042296701,,,,54.708,,96.549,,,0.016
20.9120000000039,,,,,,720.8364629283815,,,,,,108.806,0.016
21.05000000000291,780.3564814056834,,592.0591924985458,,,,48.144,,54.558,,,,0.016
22.927000000003318,,,,,,687.7747173536455,,,,,,86.193,0.016
22.949000000000524,,,,,835.3107959091419,,,,,,103.03,,0.016
24.911000000000058,,,,,950.5154078071317,,,,,,88.482,,0.016
25.040000000000873,,448.2895128740525,,,,,,124.589,,,,,0.016
25.05000000000291,721.2543737393045,,,,,,84.654,,,,,,0.016
26.931000000004133,,,,,,810.1590481438878,,,,,,104.979,0.016
26.976999999998952,,,,,747.6981381812293,,,,,,108.133,,0.016
28.029999999998836,,,637.7698225472388,,,,,,86.251,,,,0.016
28.040000000000873,802.0706459757891,,,,,,69.018,,,,,,0.016
28.906999999999243,,,,,635.6408698437356,,,,,,114.961,,0.016
30.906999999999243,,,,,798.4159545868097,,,,,,87.608,,0.016
30.931000000004133,,,,,,912.4906587002249,,,,,,89.791,0.016
31.010000000002037,785.4295195623895,771.4860370097751,,,,,53.016,56.074,,,,,0.016
32.927999999999884,,,,,899.9388116998779,,,,,,89.694,,0.016
32.93300000000454,,,,,,735.5934737315062,,,,,,105.713,0.016
33.05000000000291,643.9519900659282,,,,,,68.42,,,,,,0.016
33.05999999999767,,,650.461278411114,,,,,,54.087,,,,0.016
40.93800000000192,,,,,,827.8364092812982,,,,,,234.207,0.016
42.01000000000204,,654.3553238675798,,472.00061917050317,,,,74.81,,124.803,,,0.016
43.0,,,631.2688191465406,,,,,,91.764,,,,0.016
43.01000000000204,,640.6604590852368,,,,,,137.961,,,,,0.016
45.0,,567.6177185376278,,568.4391633171906,,,,59.307,,78.566,,,0.016
46.913000000000466,,,,,,688.6122717171495,,,,,,109.414,0.016
47.0,,572.3865680925318,471.4883051630085,,,,,48.799,48.733,,,,0.016
48.01000000000204,,612.0359381179416,,684.0402895899754,,,,53.334,,86.346,,,0.016
50.020000000004075,373.6652852472378,,,,,,59.356,,,,,,0.016
50.029999999998836,,,,484.9160666274845,,,,,,97.044,,,0.016
53.020000000004075,277.3113172298997,536.5246532776482,,,,,105.801,75.779,,,,,0.016
54.0,556.9191626500987,,,,,,83.076,,,,,,0.016
54.01000000000204,,,517.0436597429408,,,,,,81.189,,,,0.016
55.0,438.33412661146207,,,,,,66.962,,,,,,0.016
55.01000000000204,,485.9106679210807,,,,,,64.73,,,,,0.016
56.01000000000204,461.5103895149416,,518.8833141377287,,,,74.215,,75.61,,,,0.016
57.0,526.9271585258917,565.5375779325598,,,,,70.101,68.774,,,,,0.016
58.0,534.1754107976171,,363.06386707913947,,,,73.525,,71.461,,,,0.016
59.01000000000204,403.172033070325,,,,,,134.513,,,,,,0.016
59.020000000004075,,312.3108357571286,,,,,,145.62,,,,,0.016
