relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-138.62400000000343,,60.825392085795684,,,,,,49.353,,,,,0.02
-65.79400000000169,,,130.28257906018783,,,,,,97.732,,,,0.02
-7.002999999996973,,,,,,590.0829473559683,,,,,,134.293,0.02
-2.959999999999127,,,,,1016.4500969593679,,,,,,314.044,,0.02
0.0,,,,,,2101.2160894256167,,,,,,141.38,0.02
0.040000000000873115,,,,,2932.192001695294,,,,,,213.317,,0.02
1.993000000002212,,,,,,2586.2691760369257,,,,,,93.185,0.02
1.9970000000030268,,,,,3134.9386296841762,,,,,,101.145,,0.02
3.9769999999989523,,,,,3646.6468757567245,,,,,,92.55,,0.02
5.978000000002794,,,,,,3551.76698249897,,,,,,107.059,0.02
7.993000000002212,,,,,,3743.4778236035386,,,,,,91.958,0.02
8.014999999999418,,,,,3775.1121924551016,,,,,,111.152,,0.02
9.976999999998952,,,,,3936.2155842208945,,,,,,99.648,,0.02
11.997000000003027,,,,,,3363.245807885979,,,,,,110.669,0.02
12.042999999997846,,,,,3275.621867280064,,,,,,119.339,,0.02
13.972999999998137,,,,,3274.8891693813543,,,,,,123.233,,0.02
15.972999999998137,,,,,3335.322595207119,,,,,,92.627,,0.02
15.997000000003027,,,,,,3382.1022082160152,,,,,,98.987,0.02
17.993999999998778,,,,,2862.913790648768,,,,,,86.359,,0.02
17.999000000003434,,,,,,3029.8276888937517,,,,,,99.526,0.02
20.06500000000233,,,,,3587.9304158223576,,,,,,793.621,,0.02
24.023000000001048,,,,,,1865.8424722686646,,,,,,256.23,0.02
26.004000000000815,,,,,,1934.2024108906126,,,,,,228.578,0.02
31.97899999999936,,,,,,1782.2098237320251,,,,,,111.128,0.02
38.08600000000297,836.9054256042427,1312.3907341265858,,,,,102.353,92.508,,,,,0.02
39.07600000000093,331.12147084828575,,1277.5436346593401,,,,80.622,,108.458,,,,0.02
40.07600000000093,512.574852314819,1307.3763793402854,,,,,76.422,98.025,,,,,0.02
41.07600000000093,408.08996562988426,,1208.8536271929336,,,,88.361,,84.895,,,,0.02
42.065999999998894,334.7296697244129,1141.1688122348553,,,,,74.185,74.251,,,,,0.02
43.065999999998894,547.0286079239888,,,,,,115.52,,,,,,0.02
44.08600000000297,644.1602525733674,1180.0256062552264,,,,,129.569,141.65,,,,,0.02
