relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-287.0599999999977,,148.3320077901034,,,,,,62.378,,,,,0.096
-267.18999999999505,,,,177.0363730799771,,,,,,103.249,,,0.096
-231.23999999999796,,99.93718484931502,63.303200170564544,,,,,87.516,70.112,,,,0.096
-230.29999999999563,,,,300.75205764988823,,,,,,169.934,,,0.096
-217.36999999999534,,161.71751627386865,,,,,,73.513,,,,,0.096
-213.37999999999738,,,139.56168834181784,,,,,,93.787,,,,0.096
-202.38999999999942,,295.9916039075453,,,,,,83.077,,,,,0.096
-200.23999999999796,,107.54697814477144,,,,,,66.039,,,,,0.096
-193.4499999999971,,,,,,523.9949521411047,,,,,,123.229,0.096
-176.34999999999854,,,,144.7937802804274,,,,,,147.811,,,0.096
-176.3399999999965,,137.0578217785197,,,,,,108.775,,,,,0.096
-172.37999999999738,,,69.57451965177776,,,,,,78.012,,,,0.096
-11.0,,59.40556408062041,,,,,,45.228,,,,,0.096
-7.0,77.22310100308454,,,,,,73.536,,,,,,0.096
-4.019999999996799,52.3525659220176,,,151.39181316446977,,,44.353,,,95.573,,,0.096
-3.0100000000020373,146.16383286796258,,252.6949202273616,,,,59.944,,67.539,,,,0.096
-2.0100000000020373,310.53371876168984,,,207.52017524221333,,,46.321,,,135.175,,,0.096
-1.0199999999967986,,454.5829077032938,,302.10453455139145,,,,86.783,,106.076,,,0.096
-0.17499999999563443,,,,,978.1422066569118,,,,,,235.605,,0.096
0.0,,673.1555907993484,741.0774719532441,,,,,56.508,71.046,,,,0.096
1.0,,794.7692705962717,,618.4893990535074,,,,55.531,,151.668,,,0.096
1.8340000000025611,,,,,,1153.8272369164083,,,,,,219.001,0.096
1.8510000000023865,,,,,860.2675740434581,,,,,,226.94,,0.096
1.9700000000011642,,874.2280074147542,1029.0438347605589,,,,,92.033,81.896,,,,0.096
4.0,,1208.940989472243,,1029.0454611446798,,,,125.769,,170.254,,,0.096
4.827000000004773,,,,,1447.2802609569992,,,,,,228.943,,0.096
4.883999999998196,,,,,,1614.2181763092428,,,,,,229.191,0.096
7.828000000001339,,,,,,1868.5898062453834,,,,,,189.356,0.096
7.859000000004016,,,,,1649.5278133807399,,,,,,197.894,,0.096
10.827000000004773,,,,,,2429.834590946934,,,,,,117.062,0.096
10.847000000001572,,,,,1788.2255311718698,,,,,,129.427,,0.096
12.82100000000355,,,,,1548.2040924282855,,,,,,93.673,,0.096
12.847000000001572,,,,,,2290.9604853714645,,,,,,92.987,0.096
13.959999999999127,1669.6071018321613,,,,,,71.277,,,,,,0.096
13.970000000001164,,2199.0859949571372,,,,,,83.511,,,,,0.096
15.804000000003725,,,,,,2270.120068876347,,,,,,118.768,0.096
15.840000000003783,,,,,1491.3257681993587,,,,,,82.594,,0.096
16.9800000000032,1502.0014417726259,,1710.5733310289727,,,,62.865,,68.244,,,,0.096
17.81500000000233,,,,,,2183.3074420348335,,,,,,120.978,0.096
17.83299999999872,,,,,1436.1861483916848,,,,,,97.305,,0.096
19.82100000000355,,,,,,2342.6790890721627,,,,,,89.78,0.096
