relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-9.934000000001106,,,,266.9809957720019,,,,,,117.663,,,0.046
0.0,,,,,815.2271514769772,,,,,,81.015,,0.046
0.059999999997671694,,,,,,1274.0899489350973,,,,,,144.382,0.046
1.9789999999993597,,,,,2554.46414025062,,,,,,102.425,,0.046
3.938000000001921,,,,,5280.266192493235,,,,,,109.461,,0.046
4.02100000000064,,,,,,5952.904443647823,,,,,,120.153,0.046
8.894999999996799,,,,,,12934.702051036069,,,,,,180.533,0.046
11.95799999999872,,,,,,14716.68675448641,,,,,,149.25,0.046
13.14600000000064,16431.77055671826,13858.415620153368,,,,,168.086,132.168,,,,,0.046
13.93699999999808,,,,,,16038.322211058523,,,,,,147.45,0.046
14.002999999996973,,,,,16156.239169831892,,,,,,158.556,,0.046
15.997999999999593,,,,,15497.239057150215,,,,,,251.397,,0.046
17.93499999999767,,,,,,14775.921171473088,,,,,,235.66,0.046
17.97599999999511,,,7885.058372882879,,,,,,110.793,,,,0.046
17.985999999997148,14641.633122619412,,,,,,149.793,,,,,,0.046
19.936000000001513,,,,,,12827.31129342804,,,,,,236.033,0.046
19.979999999995925,,,,,12773.52756524071,,,,,,252.374,,0.046
25.01799999999639,,,,,,8602.96590048572,,,,,,240.334,0.046
26.91700000000128,,,,,7755.022705373648,,,,,,115.656,,0.046
27.021999999997206,,,,,,7857.335416538485,,,,,,217.751,0.046
28.896999999997206,,,,,5985.019042699743,,,,,,118.335,,0.046
29.00499999999738,,,,,,8411.09881342915,,,,,,232.065,0.046
29.006000000001222,,,,5031.928137245313,,,,,,103.821,,,0.046
30.105999999999767,,,4235.64799476381,,,,,,96.052,,,,0.046
30.93699999999808,,,,,4934.575994468164,,,,,,104.207,,0.046
32.015999999995984,4468.391255568981,,,4871.083684091244,,,83.194,,,106.039,,,0.046
33.8949999999968,,,,,,7850.09201390815,,,,,,135.171,0.046
33.93699999999808,,,,,3463.545861224061,,,,,,121.566,,0.046
35.93699999999808,,,,,2683.8114318204416,,,,,,118.534,,0.046
35.98099999999977,,,,,,6764.921473317861,,,,,,152.971,0.046
37.00600000000122,2772.1534180824133,,,,,,106.492,,,,,,0.046
37.015999999995984,,5703.999586210464,,,,,,85.684,,,,,0.046
37.8949999999968,,,,,,6623.262049146126,,,,,,128.809,0.046
38.00600000000122,2436.2749668055085,,,,,,64.051,,,,,,0.046
39.90299999999843,,,,,,5577.050249068232,,,,,,142.819,0.046
39.932999999997264,,,,,1963.1375605695985,,,,,,113.356,,0.046
40.015999999995984,2002.485510983953,,4571.308250560151,,,,102.893,,132.462,,,,0.046
41.955000000001746,,,,,1450.8823023151765,,,,,,119.351,,0.046
42.98599999999715,1603.430883093076,3697.4317263460002,,,,,56.397,86.291,,,,,0.046
43.891999999999825,,,,,,4201.408731398348,,,,,,156.882,0.046
43.934000000001106,,,,,1654.0778575923568,,,,,,115.426,,0.046
44.97599999999511,1587.029588741681,,2994.956911136164,,,,125.093,,112.913,,,,0.046
45.896999999997206,,,,,1154.4606828868816,,,,,,161.619,,0.046
45.917999999997846,,,,,,3697.140358910795,,,,,,196.832,0.046
49.89899999999761,,,,,,2686.4083597621006,,,,,,223.683,0.046
53.995999999999185,,2415.7316148212435,1906.2805275766746,,,,,158.682,129.666,,,,0.046
57.91500000000087,,,,,1132.6903275203158,,,,,,126.804,,0.046
57.98599999999715,,,,1310.6555776581988,,,,,,129.321,,,0.046
