relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-295.9910000000018,,98.6496871870103,,,,,,78.12,,,,,0.012
-292.0110000000059,,,56.725520500732614,,,,,,59.409,,,,0.012
-273.0310000000027,,100.15371608033317,,,,,,103.916,,,,,0.012
-262.0410000000047,52.301182466713726,,,141.45016760096982,,,53.412,,,111.816,,,0.012
-139.6510000000053,121.04029578392984,46.28129401696911,,,,,61.216,53.26,,,,,0.012
-127.69100000000617,,,,287.93687697734146,,,,,,162.241,,,0.012
-121.66100000000006,,,,138.45101575651375,,,,,,151.111,,,0.012
-120.62099999999919,,,87.48698907974376,,,,,,100.984,,,,0.012
-62.75100000000384,,110.64591216993635,,,,,,146.805,,,,,0.012
-61.77100000000064,,134.7566681020895,,99.61454102491321,,,,131.527,,109.49,,,0.012
-52.75100000000384,,40.149958719975785,,,,,,41.621,,,,,0.012
-48.791000000004715,,,123.2776779731763,,,,,,80.749,,,,0.012
-34.88100000000122,,,167.93102739632727,,,,,,148.79,,,,0.012
-1.9900000000052387,,,,,316.1316409314985,,,,,,76.118,,0.012
-1.8810000000012224,,206.67949438039395,,117.90225064459987,,,,53.728,,77.546,,,0.012
0.0,,,,,573.2083450666396,,,,,,83.461,,0.012
0.0639999999984866,,,,,,559.3396651199229,,,,,,79.211,0.012
1.0689999999958673,611.6873418331168,,538.2184781767531,,,,49.086,,51.267,,,,0.012
1.9219999999986612,,,,,1014.0887824628907,,,,,,65.689,,0.012
2.017999999996391,,,,,,936.3650964206106,,,,,,82.877,0.012
3.9629999999961,,,,,1815.3514316163798,,,,,,74.099,,0.012
3.9789999999993597,,,,,,1616.670746911495,,,,,,74.396,0.012
6.05899999999383,2472.6824099622427,2137.6674188509974,,,,,69.526,59.599,,,,,0.012
8.961999999999534,,,,,,3571.33091919915,,,,,,96.419,0.012
8.998999999996158,,,,,3905.3993550770947,,,,,,103.142,,0.012
10.10899999999674,3713.7951115884184,,2504.3811826138294,,,,79.221,,87.474,,,,0.012
10.963999999999942,,,,,,4048.076946930557,,,,,,99.747,0.012
11.038000000000466,,,,,4560.57792742977,,,,,,92.231,,0.012
12.958999999995285,,,,,,4643.144746756625,,,,,,102.095,0.012
13.004000000000815,,,,,4894.903344134082,,,,,,116.384,,0.012
14.068999999995867,4725.313886950852,3947.7867669157213,,,,,163.622,127.091,,,,,0.012
15.988999999994121,4403.279499506044,,,2081.17551455152,,,94.352,,,98.287,,,0.012
16.980999999999767,,,,,4781.198160305554,,,,,,161.321,,0.012
16.98899999999412,4475.414036482982,,2594.7008736534117,,,,96.969,,81.708,,,,0.012
17.98899999999412,4490.777756046901,,,1952.3146680657703,,,167.259,,,139.623,,,0.012
18.979999999995925,,,,,,4534.138148382772,,,,,,151.51,0.012
19.015999999995984,,,,,4333.596507841764,,,,,,180.804,,0.012
20.04899999999907,,3648.4274072826206,2757.7538126351214,,,,,164.22,171.804,,,,0.012
22.028999999994994,,3137.4330764024126,,1365.3450689482422,,,,97.729,,84.903,,,0.012
24.925999999999476,,,,,3456.778308041537,,,,,,144.978,,0.012
24.985000000000582,,,,,,3934.16011326466,,,,,,157.29,0.012
25.019000000000233,,3196.576800825138,1752.839006702341,,,,,78.004,69.375,,,,0.012
26.9429999999993,,,,,,3452.025641457197,,,,,,90.049,0.012
26.99899999999616,,,,,3295.9186675385304,,,,,,130.382,,0.012
28.955999999998312,,,,,2861.321239268776,,,,,,89.603,,0.012
30.940999999998894,,,,,,2965.8269159102338,,,,,,89.611,0.012
30.958999999995285,,,,,2292.936245510935,,,,,,84.418,,0.012
32.01900000000023,1773.868413748452,,1212.2504127185275,,,,104.8,,106.068,,,,0.012
33.93499999999767,,,,,,2677.8941773241313,,,,,,88.152,0.012
33.97599999999511,,,,,1894.7027097805985,,,,,,104.069,,0.012
35.945999999996275,,,,,,2461.3718667854037,,,,,,97.514,0.012
36.000999999996566,,,,,1549.8212616984054,,,,,,99.666,,0.012
37.940999999998894,,,,,,2402.4459177332687,,,,,,96.637,0.012
38.04599999999482,,,,,1365.9938694310888,,,,,,150.548,,0.012
39.92299999999523,,,,,1123.0323341292453,,,,,,95.263,,0.012
39.96399999999994,,,,,,2386.078466759789,,,,,,102.753,0.012
41.913000000000466,,,,,1150.2936811938168,,,,,,104.912,,0.012
41.95499999999447,,,,,,2306.757277716767,,,,,,133.51,0.012
43.916999999994005,,,,,1031.826865203117,,,,,,105.405,,0.012
43.93899999999849,,,,,,2302.3742181212588,,,,,,124.55,0.012
45.94199999999546,,,,,,2231.188829501655,,,,,,134.686,0.012
45.961999999999534,,,,,855.2381001825514,,,,,,132.041,,0.012
48.98099999999977,,,,,707.7046520884777,,,,,,161.374,,0.012
56.916999999994005,,,,,443.4674982923117,,,,,,78.651,,0.012
58.919999999998254,,,,,,1104.884204947685,,,,,,119.869,0.012
58.937999999994645,,,,,520.01569854728,,,,,,93.416,,0.012
60.92299999999523,,,,,,1146.3623054032023,,,,,,99.088,0.012
60.95999999999913,,,,,388.130111427709,,,,,,124.102,,0.012
62.99799999999959,,,,,508.1141897729575,,,,,,142.758,,0.012
69.916999999994,,,,,,792.9951857960713,,,,,,112.183,0.012
72.91899999999441,,,,,,506.77733099751526,,,,,,151.284,0.012
91.93499999999767,,,,,,555.2222770710882,,,,,,129.727,0.012
