relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-297.25,146.9125141922023,,,,,,94.085,,,,,,0.095
-293.2330000000002,,,,,298.99053493020807,,,,,,71.26,,0.095
-293.1999999999971,,,88.89888637505769,,,,,,68.153,,,,0.095
-292.1560000000027,,,,,351.0290175629017,,,,,,86.87,,0.095
-285.31700000000274,,,,,279.3294682282476,,,,,,62.374,,0.095
-272.1399999999994,,,79.6770934537331,,,,,,70.816,,,,0.095
-269.2699999999968,,,,449.31510797260864,,,,,,228.775,,,0.095
-253.33000000000175,,,313.4252885575602,,,,,,119.799,,,,0.095
-241.1999999999971,,,69.46737775304734,,,,,,67.699,,,,0.095
-37.94999999999709,,218.14842104910437,,,,,,136.282,,,,,0.095
-11.980000000003201,,140.4966242802885,,,,,,84.946,,,,,0.095
-3.129000000000815,,,,,797.4644212012731,,,,,,145.922,,0.095
-1.1670000000012806,,,,,450.0834751077194,,,,,,80.003,,0.095
-1.1270000000004075,,,,,,392.8507913214019,,,,,,78.01,0.095
0.0,991.9554604648027,,921.5053328648187,,,,74.701,,77.864,,,,0.095
0.838000000003376,,,,,1534.4473942266343,,,,,,73.698,,0.095
0.8729999999995925,,,,,,1763.7308603304195,,,,,,87.91,0.095
3.834999999999127,,,,,5137.068670451818,,,,,,96.288,,0.095
3.872000000003027,,,,,,6854.093225012432,,,,,,294.585,0.095
5.832000000002154,,,,,8891.136813568886,,,,,,113.143,,0.095
5.872000000003027,,,,,,10151.82224412866,,,,,,110.188,0.095
5.980000000003201,9278.979397738345,,,,,,106.321,,,,,,0.095
5.989999999997963,,,7025.791662990842,,,,,,117.643,,,,0.095
7.832999999998719,,,,,,14307.86874910444,,,,,,122.625,0.095
7.868000000002212,,,,,12333.354250717244,,,,,,124.095,,0.095
8.940000000002328,14392.657592110341,14062.035152065542,,,,,152.267,129.09,,,,,0.095
10.830000000001746,,,,,,18330.600258283208,,,,,,290.353,0.095
11.940000000002328,17563.75628584285,,10963.099474594,,,,107.306,,81.517,,,,0.095
12.989999999997963,,,,9459.997876869385,,,,,,181.345,,,0.095
13.788999999997031,,,,,,16357.983506192386,,,,,,316.808,0.095
14.930000000000291,,17141.28276687256,,8911.686621239822,,,,252.307,,225.426,,,0.095
15.807000000000698,,,,,,19910.685789897416,,,,,,178.069,0.095
15.872000000003027,,,,,17478.178043274453,,,,,,130.858,,0.095
19.79699999999866,,,,,,17529.358678672717,,,,,,202.09,0.095
21.82800000000134,,,,,,13941.337591212237,,,,,,230.327,0.095
23.851999999998952,,,,,,12830.874558542031,,,,,,181.366,0.095
25.822999999996682,,,,,,10860.985917732281,,,,,,140.759,0.095
25.86699999999837,,,,,7612.212000875091,,,,,,150.99,,0.095
28.410000000003492,,,5761.9905622576225,,,,,,136.044,,,,0.095
28.81199999999808,,,,,,10196.497141491556,,,,,,247.963,0.095
28.83299999999872,,,,,5722.35840357211,,,,,,103.691,,0.095
30.830000000001746,,,,,4601.680102809226,,,,,,88.473,,0.095
30.851000000002387,,,,,,9949.517298293236,,,,,,109.002,0.095
32.84599999999773,,,,,3931.878173044212,,,,,,90.67,,0.095
34.887000000002445,,,,,3172.9279818635214,,,,,,93.139,,0.095
35.900000000001455,2964.8687513843397,,,,,,84.95,,,,,,0.095
37.807999999997264,,,,,2520.9024277808217,,,,,,95.756,,0.095
38.86000000000058,2546.148444858863,,5772.315948725784,,,,125.555,,151.588,,,,0.095
39.7870000000039,,,,,2052.247179851773,,,,,,90.008,,0.095
39.84300000000076,,,,,,6833.783183573584,,,,,,114.015,0.095
41.783000000003085,,,,,2279.3155542983577,,,,,,96.043,,0.095
42.029999999998836,1917.2782214568367,,4588.378431051004,,,,73.339,,69.977,,,,0.095
44.807999999997264,,,,,,4576.394223184897,,,,,,96.967,0.095
44.84000000000378,,,,3474.6682450740905,,,,,,137.617,,,0.095
44.849999999998545,,4014.475867801758,,,,,,82.322,,,,,0.095
44.866000000001804,,,,,1712.870230125661,,,,,,87.955,,0.095
47.809000000001106,,,,,,3727.0178038616336,,,,,,319.173,0.095
51.81300000000192,,,,,,3446.8122767700625,,,,,,165.666,0.095
53.70799999999872,,,,,1332.884254454675,,,,,,109.979,,0.095
53.7609999999986,,,,,,3355.843876466756,,,,,,113.071,0.095
54.84000000000378,1319.9106384833021,,,1766.734235697886,,,62.623,,,118.174,,,0.095
55.779999999998836,,,,,1078.128305698905,,,,,,90.046,,0.095
57.72899999999936,,,,,1197.8605876092347,,,,,,79.854,,0.095
57.783000000003085,,,,,,2774.1280992975603,,,,,,88.445,0.095
59.745999999999185,,,,,1228.4483599771854,,,,,,76.596,,0.095
59.77100000000064,,,,,,2515.0557506692985,,,,,,89.098,0.095
62.80999999999767,896.7154626468722,,1473.3316141322293,,,,57.024,,72.306,,,,0.095
63.94000000000233,1093.3432529530303,1987.173871044899,,,,,63.783,54.992,,,,,0.095
64.81300000000192,,,,,1056.3661899504912,,,,,,72.769,,0.095
66.91000000000349,1021.6024997763217,,,,,,72.409,,,,,,0.095
67.75100000000384,,,,,,1962.1110334962693,,,,,,97.763,0.095
67.79099999999744,,,,,1137.385392555485,,,,,,88.989,,0.095
69.7039999999979,,,,,1099.1888211407354,,,,,,83.838,,0.095
69.73099999999977,,,,,,1783.3118375476013,,,,,,83.003,0.095
69.80000000000291,896.4256537381517,1513.0292090404005,,,,,82.098,100.961,,,,,0.095
71.72699999999895,,,,,1264.700210399533,,,,,,104.434,,0.095
71.77900000000227,,,,,,1392.3093001164182,,,,,,81.42,0.095
71.80999999999767,1051.9101935195683,,,664.8996012565726,,,53.33,,,96.961,,,0.095
73.70700000000215,,,,,,1230.9841272870253,,,,,,185.361,0.095
73.77599999999802,,,,,1149.5927376402656,,,,,,130.824,,0.095
