relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-293.18999999999505,,,147.30831702221312,,,,,,114.074,,,,0.041
-286.2299999999959,60.820052003501296,,,,,,41.816,,,,,,0.041
-284.2199999999939,,,86.64354739660874,,,,,,49.953,,,,0.041
-281.2299999999959,,24.592781379161924,,,,,,29.26,,,,,0.041
-258.1999999999971,,,57.328400646619905,,,,,,42.706,,,,0.041
-248.34999999999854,,,106.31158216969494,,,,,,113.372,,,,0.041
-228.2699999999968,88.22147224620254,,,,,,65.723,,,,,,0.041
-228.25999999999476,,,,109.91889190641389,,,,,,140.333,,,0.041
-204.23999999999796,,,86.94753722952973,,,,,,110.214,,,,0.041
-176.37999999999738,,164.89931984199958,,,,,,65.301,,,,,0.041
-162.43599999999424,,,,,906.2876187943613,,,,,,235.878,,0.041
-31.969999999993888,,,,226.66982198041418,,,,,,135.276,,,0.041
-10.989999999997963,,93.3551808130091,,,,,,64.704,,,,,0.041
-7.0,58.9267003327597,,,,,,38.544,,,,,,0.041
-4.0,,215.41240585265913,,164.8016268843769,,,,48.856,,108.515,,,0.041
-3.0,,211.47280157850767,226.1383589606335,,,,,54.579,67.187,,,,0.041
0.0,,434.9417863061303,330.8300942467777,,,,,63.244,85.108,,,,0.041
2.8170000000027358,,,,,671.5906434219174,,,,,,190.131,,0.041
2.856000000007043,,,,,,711.140249519104,,,,,,157.454,0.041
5.810000000004948,,,,,,751.7858737386134,,,,,,103.078,0.041
7.813000000001921,,,,,749.2157679634582,,,,,,76.694,,0.041
7.853000000002794,,,,,,712.8197732323603,,,,,,88.833,0.041
9.818000000006577,,,,,591.6053661926006,,,,,,75.068,,0.041
9.853000000002794,,,,,,722.068657242347,,,,,,69.239,0.041
12.815000000002328,,,,,653.6345400987717,,,,,,73.823,,0.041
14.812000000005355,,,,,455.98304114197146,,,,,,84.971,,0.041
14.852000000006228,,,,,,667.7418169120452,,,,,,79.05,0.041
14.960000000006403,525.426304261265,,,,,,48.172,,,,,,0.041
14.970000000001164,,,568.6500413099404,,,,,,53.365,,,,0.041
16.81300000000192,,,,,,765.8674146796887,,,,,,82.778,0.041
16.848000000005413,,,,,534.7678674008375,,,,,,83.676,,0.041
17.92000000000553,537.7669204507565,505.9846613684713,,,,,45.412,41.45,,,,,0.041
19.810000000004948,,,,,,973.0332136337262,,,,,,215.856,0.041
20.92000000000553,461.16358616717247,,444.15707429211574,,,,44.117,,38.791,,,,0.041
23.910000000003492,,333.1213036915049,,281.97578992524024,,,,43.892,,111.889,,,0.041
24.852000000006228,,,,,284.4672320748652,,,,,,72.204,,0.041
25.94000000000233,,384.5763252878467,292.0278867040036,,,,,57.147,60.019,,,,0.041
28.900000000001455,,260.44023188541036,,495.1370736858037,,,,105.403,,158.836,,,0.041
37.390000000006694,,,377.6907177845104,,,,,,80.678,,,,0.041
44.87000000000262,,172.08447059032613,,,,,,79.013,,,,,0.041
51.01000000000204,122.67680292302344,,175.4225428068109,,,,51.24,,53.533,,,,0.041
52.970000000001164,,,118.81383540420887,,,,,,69.039,,,,0.041
53.400000000001455,,127.21859137756938,,,,,,61.892,,,,,0.041
63.820000000006985,87.24211287199701,,,,,,60.285,,,,,,0.041
65.79000000000087,62.7145504650792,,192.34285322437802,,,,59.681,,52.308,,,,0.041
68.84000000000378,,100.2583017251548,,,,,,39.552,,,,,0.041
71.78000000000611,,,46.94977956646923,,,,,,52.242,,,,0.041
72.92000000000553,,124.05236579482013,,,,,,103.21,,,,,0.041
75.8900000000067,55.71339240942962,,171.33640385122268,,,,44.83,,55.463,,,,0.041
78.78000000000611,121.70203071216312,64.77982967684004,,,,,58.556,56.045,,,,,0.041
80.79000000000087,98.6584156474256,,,,,,54.83,,,,,,0.041
83.79000000000087,,,53.65581676408677,,,,,,57.404,,,,0.041
89.7300000000032,,108.34462593440304,,,,,,111.529,,,,,0.041
94.8900000000067,,,46.82410179102133,,,,,,53.823,,,,0.041
100.83000000000175,190.9934266234586,76.51160985453548,,,,,57.843,39.612,,,,,0.041
104.83000000000175,,,61.866764760016366,,,,,,74.668,,,,0.041
126.68000000000029,234.10129416021007,,78.71940252926538,,,,82.331,,72.575,,,,0.041
131.63000000000466,34.170926549416954,,,,,,35.071,,,,,,0.041
136.7800000000061,,,49.77269575345287,,,,,,61.348,,,,0.041
144.75,,102.64564022126392,149.71982647418355,,,,,125.881,83.804,,,,0.041
146.7100000000064,,227.81290521223656,,,,,,130.934,,,,,0.041
150.70000000000437,,90.76733673024015,,,,,,78.072,,,,,0.041
153.69000000000233,,,,100.1009451576088,,,,,,111.611,,,0.041
157.69000000000233,,,45.37075110571354,,,,,,51.397,,,,0.041
