relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-258.17899999999645,83.06561525462335,,,,,,43.567,,,,,,0.033
-250.1889999999985,96.90411563053306,,,168.80307061885694,,,102.34,,,99.63,,,0.033
-224.1690000000017,105.25701391294233,,,,,,70.102,,,,,,0.033
-211.1690000000017,,50.79786052351445,,,,,,53.983,,,,,0.033
-13.85899999999674,322.2872179687616,,,,,,69.687,,,,,,0.033
-13.849000000001979,,,,117.11482194550364,,,,,,97.806,,,0.033
-10.898999999997613,,,,139.79435962870969,,,,,,93.433,,,0.033
-10.888999999995576,,112.5781949251362,,,,,,48.572,,,,,0.033
-6.798999999999069,,273.9791563905895,280.8281871747011,,,,,74.926,58.832,,,,0.033
-4.818999999995867,,487.47741076478064,,512.3564162056692,,,,162.235,,192.357,,,0.033
-2.996999999995751,,,,,939.3535010555162,,,,,,212.444,,0.033
0.0,,,,,922.8218322559254,,,,,,160.274,,0.033
2.111000000004424,903.5823921421805,,991.8606708465991,,,,78.387,,92.932,,,,0.033
2.9650000000037835,,,,,1077.4398415484375,,,,,,78.567,,0.033
3.0020000000004075,,,,,,1109.1249964966537,,,,,,99.082,0.033
3.080999999998312,1117.2417366986556,1222.8458728284602,,,,,63.762,53.476,,,,,0.033
5.039000000004307,,,,,799.3952430442314,,,,,,126.152,,0.033
5.05000000000291,,,,,,1090.8707429733722,,,,,,136.08,0.033
6.980000000003201,,,,,,1505.4822851946499,,,,,,115.922,0.033
7.0020000000004075,,,,,1053.31350508052,,,,,,108.05,,0.033
8.980000000003201,,,,,1145.429787994872,,,,,,77.291,,0.033
9.023000000001048,,,,,,1371.7856608797258,,,,,,88.439,0.033
11.008999999998196,,,,,,1276.1030605962071,,,,,,94.174,0.033
11.027000000001863,,,,,1018.3296146925784,,,,,,77.109,,0.033
11.171000000002095,964.0211548780198,1299.8075125426383,,,,,88.893,91.698,,,,,0.033
12.999000000003434,,,,,871.8207261508069,,,,,,73.796,,0.033
16.09100000000035,826.520457420175,,746.2958255338428,,,,111.806,,115.75,,,,0.033
23.080999999998312,,,,1206.4275002955792,,,,,,290.917,,,0.033
23.09100000000035,,866.6230246153716,,,,,,205.234,,,,,0.033
32.00500000000466,,,,,,717.2193368311627,,,,,,92.302,0.033
33.89800000000105,,,,,,542.8065933164982,,,,,,79.237,0.033
33.919999999998254,,,,,271.27564964882976,,,,,,65.151,,0.033
34.07100000000355,,,533.9848730138784,,,,,,86.02,,,,0.033
42.00100000000384,,,339.91043877253344,,,,,,58.13,,,,0.033
42.0109999999986,168.98512811783357,,,,,,45.322,,,,,,0.033
42.87700000000041,,,,,246.6737683148152,,,,,,69.065,,0.033
42.9120000000039,,,,,,308.52576360532214,,,,,,78.144,0.033
44.91900000000169,,,,,,266.33546903826766,,,,,,77.964,0.033
48.03100000000268,,,,279.285237071736,,,,,,115.664,,,0.033
59.03100000000268,257.4369726619025,,,218.16811083628937,,,150.617,,,177.296,,,0.033
71.9210000000021,,154.09732985599442,,,,,,101.82,,,,,0.033
84.86100000000442,,,206.43514124606216,,,,,,99.319,,,,0.033
85.87099999999919,,131.42969403788695,,86.18266179230115,,,,49.641,,89.759,,,0.033
86.89100000000326,,76.51624358879374,,,,,,51.171,,,,,0.033
93.9210000000021,,74.75303708272101,,,,,,46.191,,,,,0.033
97.87099999999919,67.57908949910718,,,,,,73.99,,,,,,0.033
97.88100000000122,,110.21716303717614,,,,,,80.167,,,,,0.033
100.82100000000355,,,184.65534034418624,,,,,,61.269,,,,0.033
102.81100000000151,,94.71370227470574,,,,,,67.25,,,,,0.033
111.85100000000239,,,905.2859357797093,,,,,,743.469,,,,0.033
115.84100000000035,,180.50326616337196,,,,,,70.172,,,,,0.033
125.84100000000035,123.47685005414729,,,,,,62.714,,,,,,0.033
