relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-298.02900000000227,111.25994248366386,,111.20467157969355,,,,61.553,,78.634,,,,0.049
-295.01900000000023,,,,174.11470874399026,,,,,,108.141,,,0.049
-290.0590000000011,43.22011782231169,,,,,,45.986,,,,,,0.049
-273.04900000000634,,,,125.35309044550867,,,,,,90.405,,,0.049
-263.06900000000314,,,85.2963827636078,,,,,,85.183,,,,0.049
-233.09900000000198,167.82983998107449,,,,,,79.223,,,,,,0.049
-230.09900000000198,216.84616971278817,,,,,,91.047,,,,,,0.049
-71.79900000000634,,,,176.9796410345417,,,,,,181.612,,,0.049
-62.84900000000198,,109.58941823037446,,,,,,78.041,,,,,0.049
-47.83899999999994,78.68289940497263,,,,,,47.752,,,,,,0.049
-41.869000000006054,,148.77476715413215,,,,,,84.205,,,,,0.049
-37.90899999999965,,,191.2148266525524,,,,,,185.01,,,,0.049
-1.9440000000031432,,,,,,418.4810375792376,,,,,,111.949,0.049
0.0,,,,,,1054.7188116307043,,,,,,72.246,0.049
0.049999999995634425,,,,,366.07073997612054,,,,,,67.207,,0.049
2.0499999999956344,,,,,1175.2515102039106,,,,,,73.257,,0.049
6.97899999999936,,,,,,4674.5398863167375,,,,,,98.496,0.049
7.019000000000233,,,,,3641.798286311729,,,,,,94.15,,0.049
8.977999999995518,,,,,,5571.218930668524,,,,,,109.612,0.049
9.030999999995402,,,,,4411.7781940082,,,,,,99.164,,0.049
11.031999999999243,,,,,,6438.061952856634,,,,,,147.39,0.049
12.983000000000175,,,,,5327.313047817597,,,,,,134.22,,0.049
13.010999999998603,,,,,,7004.655544571057,,,,,,131.785,0.049
15.006999999997788,,,,,,6827.857281287422,,,,,,167.362,0.049
17.002000000000407,,,,,5089.829666189986,,,,,,188.928,,0.049
20.94999999999709,,,,,4087.267326384207,,,,,,212.148,,0.049
20.97599999999511,,,,,,6707.397164383619,,,,,,181.027,0.049
22.913000000000466,,,,,3495.9470611347256,,,,,,118.909,,0.049
23.0199999999968,,,,,,5933.267243202752,,,,,,179.767,0.049
24.90899999999965,,,,,2843.7190028334326,,,,,,92.966,,0.049
24.97099999999773,,,,,,5659.875789172952,,,,,,152.619,0.049
26.969999999993888,,,,,2072.766087756067,,,,,,92.613,,0.049
27.00499999999738,,,,,,4691.521485649425,,,,,,114.388,0.049
29.894000000000233,,,,,,4199.101212100753,,,,,,111.855,0.049
29.961999999999534,,,,,1605.3925977870451,,,,,,84.182,,0.049
31.93399999999383,,,,,1384.5266559390298,,,,,,94.373,,0.049
31.99699999999575,,,,,,3990.522152850722,,,,,,101.37,0.049
33.90699999999924,,,,,,3894.6915025925528,,,,,,107.655,0.049
33.96899999999732,,,,,1111.7063845741268,,,,,,79.247,,0.049
35.99199999999837,,,,,979.8913800578501,,,,,,113.071,,0.049
37.888999999995576,,,,,,4032.665223820669,,,,,,108.717,0.049
37.9429999999993,,,,,767.7162907561427,,,,,,92.375,,0.049
39.070999999996275,967.2865901536819,3068.311729971272,,,,,59.865,70.392,,,,,0.049
39.8859999999986,,,,,,3455.680983503142,,,,,,103.451,0.049
41.87399999999616,,,,,527.1691142613554,,,,,,137.084,,0.049
41.895999999993364,,,,,,3218.6124658349054,,,,,,135.299,0.049
45.020999999993364,,2115.780935232154,2452.6713112075568,,,,,120.058,111.965,,,,0.049
55.87899999999354,,,,,,1511.713463903688,,,,,,94.814,0.049
55.904999999998836,,,,,450.74819430515237,,,,,,82.452,,0.049
57.875999999996566,,,,,,1345.502099953402,,,,,,86.479,0.049
59.96099999999569,327.5866792657375,682.6129771231588,,,,,77.695,101.867,,,,,0.049
62.0109999999986,298.8824150446186,,978.1307630814259,,,,69.425,,123.682,,,,0.049
64.89799999999377,,,,,299.2845009483852,,,,,,87.879,,0.049
65.95099999999366,320.6679739709138,811.9954704910815,,,,,55.989,67.813,,,,,0.049
66.87299999999959,,,,,,1055.4458851192592,,,,,,106.052,0.049
67.9409999999989,421.17883499040323,,1022.3747351281684,,,,96.014,,109.195,,,,0.049
69.85899999999674,,,,,468.15122251222834,,,,,,138.773,,0.049
69.90799999999581,,,,,,846.7970741036596,,,,,,171.123,0.049
69.9409999999989,573.2702105265623,1049.8312169141548,,,,,142.491,138.844,,,,,0.049
72.9409999999989,,,,628.5520231480888,,,,,,153.855,,,0.049
74.9409999999989,,1106.4227959532018,,494.2960325823528,,,,122.528,,148.385,,,0.049
77.8859999999986,,,,,,1193.1878886176899,,,,,,223.07,0.049
77.93099999999686,,596.9077268154276,596.013730288838,,,,,72.972,66.285,,,,0.049
80.85800000000017,,,,,,764.568018131384,,,,,,185.028,0.049
82.88799999999901,,,,,,987.9900166477679,,,,,,157.833,0.049
84.94599999999627,,,,,,1026.5662897071945,,,,,,166.677,0.049
92.86599999999453,,,,,383.043939086446,,,,,,106.22,,0.049
92.90499999999884,,,,,,627.8983002494075,,,,,,121.599,0.049
96.83299999999872,,,,,,512.5111464990829,,,,,,107.823,0.049
103.82299999999668,,,,,,577.693580306361,,,,,,130.947,0.049
