relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-267.97499999999854,160.47886283688072,,,,,,49.041,,,,,,0.049
-250.00499999999738,,,77.08873272243873,,,,,,76.847,,,,0.049
-237.07600000000093,,,,,292.09636683693094,,,,,,77.106,,0.049
-212.09500000000116,,,88.81799292725738,,,,,,66.277,,,,0.049
-206.99499999999534,202.5694201590671,,,,,,110.58,,,,,,0.049
-194.0749999999971,,,149.0883956383291,,,,,,142.605,,,,0.049
-155.25499999999738,,72.78979163601495,,,,,,55.691,,,,,0.049
-153.25499999999738,61.29073011941492,,,,,,53.75,,,,,,0.049
-146.25499999999738,80.96322174933397,,46.890898337391626,,,,70.072,,50.875,,,,0.049
0.0,,,,,,6860.283576643657,,,,,,346.706,0.049
2.0010000000038417,,,,,,6378.84979728871,,,,,,398.539,0.049
2.9990000000034343,,,,,,6575.488300060034,,,,,,299.229,0.049
4.0,,,,,,6907.402667635275,,,,,,293.215,0.049
5.001000000003842,,,,,,6897.488459058005,,,,,,285.277,0.049
6.001000000003842,,,,,,6305.591527708556,,,,,,341.84,0.049
8.999000000003434,,,,,,6539.4987534932225,,,,,,234.542,0.049
16.991000000001804,,,,,,6424.728725533183,,,,,,271.322,0.049
17.99199999999837,,,,,,6215.251168963963,,,,,,264.226,0.049
38.94800000000396,,,,,,5292.131476528386,,,,,,151.365,0.049
38.98700000000099,,,,,1717.159385633998,,,,,,110.586,,0.049
43.95200000000477,,,,,1657.473743721512,,,,,,249.621,,0.049
43.98700000000099,,,,,,4780.432524316518,,,,,,187.216,0.049
48.95100000000093,,,,,,3778.0712794949713,,,,,,179.355,0.049
48.991000000001804,,,,,1136.7857339868776,,,,,,173.394,,0.049
50.93300000000454,,,,,,3345.7427431003775,,,,,,187.931,0.049
50.97600000000239,,,,,1185.09942227698,,,,,,155.084,,0.049
53.97400000000198,,,,,,3157.1564314356356,,,,,,136.145,0.049
53.99399999999878,,,,,956.055504898884,,,,,,132.557,,0.049
55.92700000000332,,,,,,2542.513331110907,,,,,,127.326,0.049
55.97600000000239,,,,,851.287187671608,,,,,,95.427,,0.049
60.97600000000239,,,,,443.01014829446115,,,,,,80.17,,0.049
60.99799999999959,,,,,,1566.247522245252,,,,,,85.946,0.049
63.145000000004075,366.965820246643,,1221.2111845196803,,,,66.693,,63.876,,,,0.049
64.97400000000198,,,,,461.9529298194006,,,,,,98.981,,0.049
64.99700000000303,,,,,,1308.0312150432417,,,,,,84.179,0.049
66.97899999999936,,,,,336.3676415330509,,,,,,90.648,,0.049
66.99399999999878,,,,,,1243.2129090968983,,,,,,104.365,0.049
69.97699999999895,,,,,347.97302714531463,,,,,,99.473,,0.049
69.99700000000303,,,,,,906.7776813261545,,,,,,95.413,0.049
71.11499999999796,,943.6042638021556,877.152158998281,,,,,48.676,49.274,,,,0.049
74.07500000000437,,1058.9014525373113,,1386.3629872991185,,,,62.581,,83.469,,,0.049
75.91300000000047,,,,,,1353.9692549534511,,,,,,355.357,0.049
77.13500000000204,,840.7880516015503,1012.9754236211679,,,,,171.993,136.706,,,,0.049
78.9690000000046,,,,,,1001.0395079756855,,,,,,124.564,0.049
80.95500000000175,,,,,,847.6577399567782,,,,,,127.004,0.049
84.89400000000023,,,,,,939.3990451793189,,,,,,110.877,0.049
86.89400000000023,,,,,,766.1498463064839,,,,,,106.527,0.049
86.92599999999948,,,,,305.193248192227,,,,,,72.721,,0.049
87.14500000000407,121.9854668988263,700.4009228111516,,,,,96.293,91.853,,,,,0.049
88.93100000000413,,,,,,851.5863012616044,,,,,,86.782,0.049
90.92700000000332,,,,,,1045.9714673350654,,,,,,88.83,0.049
92.14500000000407,,,633.0510914965129,,,,,,72.562,,,,0.049
92.15499999999884,203.73549408516098,,,,,,42.761,,,,,,0.049
92.9120000000039,,,,,,991.3605638280445,,,,,,105.649,0.049
92.94700000000012,,,,,295.48561976692184,,,,,,63.489,,0.049
94.09500000000116,,697.8894588813334,,,,,,59.01,,,,,0.049
94.1050000000032,160.2621379859703,,,,,,69.384,,,,,,0.049
94.91500000000087,,,,,,832.0617180689463,,,,,,81.742,0.049
96.96500000000378,,,,,,1024.6818098035253,,,,,,69.436,0.049
97.14500000000407,119.67805394810115,,,912.8457373453617,,,53.535,,,113.658,,,0.049
98.90800000000309,,,,,,884.6167178416632,,,,,,93.485,0.049
98.95000000000437,,,,,326.8687551756194,,,,,,91.75,,0.049
100.84799999999814,,,,,,806.6637997687423,,,,,,128.93,0.049
102.08499999999913,,486.00251255208633,,,,,,189.087,,,,,0.049
102.09500000000116,,,,1248.7670719346143,,,,,,348.478,,,0.049
103.86699999999837,,,,,737.7876162074677,,,,,,216.636,,0.049
105.94000000000233,,,,,,624.6057804679026,,,,,,165.35,0.049
114.86699999999837,,,,,,797.0546073866699,,,,,,95.634,0.049
114.89800000000105,,,,,325.290844705564,,,,,,86.19,,0.049
117.76299999999901,,,,,,872.9870887247284,,,,,,125.993,0.049
121.02500000000146,,529.7336448696009,,,,,,95.344,,,,,0.049
123.91700000000128,,,,,326.1707037443431,,,,,,96.463,,0.049
123.97200000000157,,,,,,735.8976780160253,,,,,,120.229,0.049
127.96199999999953,,,,,394.90969114896063,,,,,,68.775,,0.049
127.99500000000262,202.97460140207346,,,,,,64.031,,,,,,0.049
128.00500000000466,,,,861.8343234505285,,,,,,117.115,,,0.049
129.92700000000332,,,,,,727.0013723227311,,,,,,105.285,0.049
