relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-249.3199999999997,,77.83531206537988,,,,,,53.599,,,,,0.024
-242.37000000000262,107.49941946824553,,,,,,90.483,,,,,,0.024
-226.34000000000378,61.37251797937148,,,153.98689489291473,,,60.658,,,128.059,,,0.024
-168.34000000000378,,,81.28189666416068,,,,,,58.471,,,,0.024
-158.35000000000582,,83.59363927485056,,,,,,50.948,,,,,0.024
-148.35000000000582,,,,218.6014212240286,,,,,,272.92,,,0.024
-144.35000000000582,,,113.45867458490281,,,,,,143.738,,,,0.024
-14.040000000000873,,,232.61921978816181,,,,,,99.197,,,,0.024
-8.980000000003201,98.88143683976025,,,,,,94.692,,,,,,0.024
0.0,,,471.370974526315,,,,,,90.18,,,,0.024
0.00999999999476131,,621.2992703398413,,,,,,74.787,,,,,0.024
5.009999999994761,,1960.1341587752304,,1536.1965649502877,,,,162.004,,139.171,,,0.024
6.894999999996799,,,,,,3200.2282741317454,,,,,,244.936,0.024
6.915999999997439,,,,,3455.207325153196,,,,,,307.181,,0.024
11.824000000000524,,,,,,4239.285912387102,,,,,,160.179,0.024
11.86200000000099,,,,,4534.423739653382,,,,,,131.227,,0.024
13.779999999998836,,,,,4490.231113525757,,,,,,139.591,,0.024
13.860999999997148,,,,,,4043.924493495186,,,,,,125.125,0.024
15.843999999997322,,,,,4037.490806061932,,,,,,122.745,,0.024
15.979999999995925,3879.337098840524,,2548.2210376405146,,,,107.223,,91.602,,,,0.024
17.841999999996915,,,,,4172.032566022511,,,,,,106.228,,0.024
19.846999999994296,,,,,2938.339300546675,,,,,,154.073,,0.024
19.883999999998196,,,,,,3083.3405311641436,,,,,,143.448,0.024
19.959999999999127,2937.144781298305,,2057.90187529303,,,,97.031,,65.841,,,,0.024
21.8379999999961,,,,,3043.2450716988615,,,,,,77.818,,0.024
21.86200000000099,,,,,,2962.7579172099545,,,,,,85.411,0.024
21.979999999995925,3052.1299490668025,3008.5180067762903,,,,,84.177,71.107,,,,,0.024
25.919999999998254,2335.697572229508,,,1117.6698570685178,,,192.799,,,253.255,,,0.024
33.93999999999505,,1654.958691495585,1341.0657877547915,,,,,164.448,128.044,,,,0.024
38.799999999995634,,,,,,1763.6409426410596,,,,,,130.491,0.024
38.841999999996915,,,,,566.3713843755808,,,,,,142.982,,0.024
40.73700000000099,,,,,435.50026298884916,,,,,,102.171,,0.024
40.78299999999581,,,,,,1288.80768832382,,,,,,107.547,0.024
42.75,,,,,,1273.1337937743695,,,,,,75.332,0.024
42.867999999994936,,,,,402.350238232418,,,,,,64.568,,0.024
44.80399999999645,,,,,,1055.4435878480517,,,,,,159.549,0.024
44.822000000000116,,,,,439.7020807394249,,,,,,86.49,,0.024
45.89999999999418,,896.1506520593023,,,,,,93.179,,,,,0.024
45.90999999999622,448.4623069847054,,,,,,126.284,,,,,,0.024
46.799999999995634,,,,,,983.937413939868,,,,,,79.278,0.024
47.88999999999942,,,801.244210997175,,,,,,70.956,,,,0.024
47.89999999999418,441.5312993313962,,,,,,88.402,,,,,,0.024
48.721999999994296,,,,,,845.8345553926944,,,,,,98.657,0.024
52.74099999999453,,,,,,819.0369716920818,,,,,,99.641,0.024
54.75299999999697,,,,,,813.3676675901579,,,,,,71.322,0.024
58.794999999998254,,,,,,627.7763819973835,,,,,,117.351,0.024
60.82999999999447,,,854.3056020752758,,,,,,239.527,,,,0.024
60.83999999999651,,352.08874214482046,,,,,,206.612,,,,,0.024
68.84999999999854,,,,425.405321835981,,,,,,219.208,,,0.024
71.666999999994,,,,,,432.0176884929258,,,,,,92.649,0.024
81.73399999999674,,,,,,325.3440277767323,,,,,,83.966,0.024
81.79999999999563,483.00032964603616,,179.93948281509344,,,,139.759,,103.793,,,,0.024
83.79000000000087,,,194.05025699351268,,,,,,137.148,,,,0.024
85.79000000000087,260.8592048801542,,,169.53225234916377,,,124.865,,,185.917,,,0.024
