relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-295.01000000000204,47.98762660998859,,,,,,38.527,,,,,,0.01
-291.02999999999884,64.93234283856572,,,,,,59.626,,,,,,0.01
-268.02999999999884,62.32466805650131,65.92377053137399,,,,,52.26,54.245,,,,,0.01
-266.0400000000009,37.914681436764376,,116.08009225308226,,,,50.635,,61.831,,,,0.01
-253.04999999999563,,150.57056766734075,,,,,,89.168,,,,,0.01
-230.05999999999767,117.04034375724845,,,,,,122.28,,,,,,0.01
-220.08000000000175,,,,305.7554885099412,,,,,,170.054,,,0.01
-80.69999999999709,,,,122.87442111877618,,,,,,131.216,,,0.01
-60.75,,119.73685755191327,,,,,,51.386,,,,,0.01
-59.799999999995634,,,65.11849764586611,,,,,,52.573,,,,0.01
-42.86999999999534,,,193.39050014234007,,,,,,166.812,,,,0.01
-42.86000000000058,,157.59451836774028,,,,,,183.798,,,,,0.01
-39.830000000001746,,,,286.38355950094353,,,,,,128.519,,,0.01
-39.81999999999971,,160.32525838493643,,,,,,73.08,,,,,0.01
-19.919999999998254,,,109.85032224139341,,,,,,78.306,,,,0.01
-18.909999999996217,147.47631318026507,,,69.60389754151379,,,118.845,,,94.28,,,0.01
-15.900000000001455,,156.2286364093827,,,,,,116.238,,,,,0.01
-2.947999999996682,,,,,,254.7524556272059,,,,,,66.034,0.01
0.0,,,,,,644.1502904790088,,,,,,118.301,0.01
2.018000000003667,,,,,,930.7597374927312,,,,,,82.944,0.01
2.059000000001106,,,,,513.1081955374627,,,,,,68.365,,0.01
4.016999999999825,,,,,,1400.2403389140818,,,,,,83.376,0.01
4.069000000003143,,,,,786.2584260548867,,,,,,77.167,,0.01
6.00800000000163,,,,,922.8770536912557,,,,,,208.58,,0.01
6.071000000003551,,,,,,2068.2024033816742,,,,,,115.611,0.01
8.023000000001048,,,,,1551.396455905407,,,,,,104.282,,0.01
8.059000000001106,,,,,,2380.2140422798793,,,,,,97.442,0.01
10.048000000002503,,,,,,2512.675054439906,,,,,,137.257,0.01
11.934999999997672,,,,,,3237.706942077685,,,,,,212.76,0.01
12.016999999999825,,,,,1931.7427561978843,,,,,,163.175,,0.01
15.989000000001397,,,,,2350.0656358887113,,,,,,186.264,,0.01
16.05000000000291,,,,,,3843.30330908022,,,,,,169.131,0.01
17.955999999998312,,,,,2461.4327509949294,,,,,,114.868,,0.01
18.052000000003318,,,,,,3798.9040565901223,,,,,,152.537,0.01
18.06999999999971,,3686.4519238369344,,2637.314712873188,,,,89.851,,119.853,,,0.01
19.94600000000355,,,,,2279.344200617355,,,,,,85.195,,0.01
20.008999999998196,,,,,,4680.337039953018,,,,,,147.683,0.01
22.00800000000163,,,,,2025.5523709643528,,,,,,82.275,,0.01
22.065999999998894,,,,,,4011.723080056397,,,,,,116.353,0.01
24.93499999999767,,,,,,3865.092137729516,,,,,,99.321,0.01
25.00300000000425,,,,,1765.3483525756901,,,,,,74.601,,0.01
26.972999999998137,,,,,1654.8975569518957,,,,,,94.45,,0.01
27.01600000000326,,,,,,3504.900252852846,,,,,,92.272,0.01
28.999000000003434,,,,,1247.87458578342,,,,,,76.815,,0.01
29.02100000000064,,,,,,3436.730616560135,,,,,,95.873,0.01
31.93699999999808,,,,,1105.5133481169821,,,,,,74.684,,0.01
31.97400000000198,,,,,,2786.2465928730558,,,,,,99.358,0.01
33.9120000000039,,,,,991.4587038025402,,,,,,98.596,,0.01
33.955000000001746,,,,,,2681.323506193568,,,,,,118.526,0.01
34.12000000000262,1032.9814580880143,2327.7444294090465,,,,,52.641,59.702,,,,,0.01
35.91700000000128,,,,,723.9364154023009,,,,,,92.928,,0.01
35.955000000001746,,,,,,2386.1421516654436,,,,,,128.678,0.01
37.98999999999796,817.5732522901316,,2385.802464146495,,,,76.286,,72.1,,,,0.01
38.09200000000419,,,,,,2124.432005776668,,,,,,159.128,0.01
38.98999999999796,673.0230769501687,,,1898.551443302026,,,135.355,,,180.466,,,0.01
40.05000000000291,,1649.3383011999451,2323.719478415831,,,,,124.32,121.122,,,,0.01
40.91700000000128,,,,,,1960.4627145469233,,,,,,138.699,0.01
40.97600000000239,,,,,707.6177380499621,,,,,,190.023,,0.01
42.020000000004075,,1273.1862871026879,,,,,,163.751,,,,,0.01
42.029999999998836,,,,1714.0907733884335,,,,,,263.398,,,0.01
