relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-297.09599999999773,54.3713551310176,,,,,,44.269,,,,,,0.029
-294.1160000000018,,,68.83903289405953,,,,,,81.317,,,,0.029
-266.12600000000384,,,,332.5326632667617,,,,,,163.815,,,0.029
-262.12600000000384,0.29085606683934767,,,,,,67.898,,,,,,0.029
-260.12600000000384,24.05842398322286,,12.559794210981797,,,,62.973,,63.061,,,,0.029
-245.1359999999986,,,278.71066957781443,,,,,,308.577,,,,0.029
-225.16599999999744,246.23389858507772,,,,,,107.858,,,,,,0.029
-1.885999999998603,241.45570630522073,,,,,,72.091,,,,,,0.029
-0.07499999999708962,,,,,,251.2141985590831,,,,,,72.765,0.029
0.0,,,,,327.1812485566304,,,,,,56.525,,0.029
1.9259999999994761,,,,,284.3432992258299,,,,,,46.668,,0.029
2.00800000000163,,,,,,396.29079020051387,,,,,,76.354,0.029
3.8870000000024447,,,,,373.292188092731,,,,,,64.092,,0.029
3.9939999999987776,334.4536284945244,327.68698602403134,,,,,60.88,62.654,,,,,0.029
5.953000000001339,,,,,,442.42883862301164,,,,,,66.357,0.029
5.995000000002619,,,,,516.1260373922596,,,,,,65.689,,0.029
8.144000000000233,346.07575216531336,,487.79337446439706,,,,61.404,,78.961,,,,0.029
9.926999999996042,,,,,,503.4276536591694,,,,,,66.89,0.029
9.97099999999773,,,,,396.69026723784896,,,,,,55.285,,0.029
12.906999999999243,,,,,,562.3473525995161,,,,,,86.188,0.029
12.926999999996042,,,,,372.3542949230081,,,,,,58.834,,0.029
14.05399999999645,,,,206.78293600972208,,,,,,116.918,,,0.029
14.063999999998487,553.5927420349807,,,,,,69.24,,,,,,0.029
14.963999999999942,484.22467182132215,,551.7767951241273,,,,83.116,,44.841,,,,0.029
14.998999999996158,,,,,346.4690858312393,,,,,,73.013,,0.029
15.974000000001979,486.7773744988478,,,126.29299455348972,,,63.086,,,97.771,,,0.029
16.963999999999942,,420.32677013738277,529.3953259928828,,,,,87.839,70.781,,,,0.029
18.98399999999674,,509.27518435189694,,357.20657335151014,,,,95.304,,212.205,,,0.029
20.993999999998778,,135.2902595879657,284.1448317967367,,,,,122.744,139.085,,,,0.029
21.919999999998254,,,,,749.3541588681937,,,,,,173.869,,0.029
23.963999999999942,,,,,,394.6213140789704,,,,,,93.322,0.029
24.08400000000256,,298.79213757307997,,292.74405788250255,,,,103.284,,122.603,,,0.029
25.955000000001746,,,,,,334.28609371810865,,,,,,93.083,0.029
26.92399999999907,71.22558282233707,,,,,,51.155,,,,,,0.029
26.934000000001106,,,,86.95815265821952,,,,,,92.494,,,0.029
29.97200000000157,,,,,248.4089288429437,,,,,,62.45,,0.029
30.063999999998487,,,251.64399748042976,,,,,,187.84,,,,0.029
31.97400000000198,,,,,270.7834624740719,,,,,,49.708,,0.029
33.94399999999587,,226.99943724872372,,,,,,45.019,,,,,0.029
38.10399999999936,182.5683700455119,,,,,,68.487,,,,,,0.029
38.90099999999802,,,,,,249.5657013041463,,,,,,74.49,0.029
42.05399999999645,44.58911642849272,,,,,,52.16,,,,,,0.029
42.06399999999849,,117.48451334254398,,,,,,67.558,,,,,0.029
45.87399999999616,,267.6344911539698,,,,,,102.372,,,,,0.029
45.883999999998196,,,214.8724123687639,,,,,,105.4,,,,0.029
49.883999999998196,,219.89834244187998,,,,,,108.141,,,,,0.029
52.953999999997905,,162.53486115347803,,103.75468694444166,,,,79.865,,119.87,,,0.029
56.02399999999761,,66.95654527267376,132.6047083777702,,,,,61.264,81.776,,,,0.029
69.00400000000081,,43.23089975229619,,,,,,38.801,,,,,0.029
72.87399999999616,54.5046641616523,,,,,,55.483,,,,,,0.029
73.87399999999616,,,,416.7817646363614,,,,,,188.705,,,0.029
86.8640000000014,,,,161.17033868880642,,,,,,116.703,,,0.029
96.8640000000014,,53.553242210924914,,,,,,45.572,,,,,0.029
98.8640000000014,95.88885521728267,,,,,,57.94,,,,,,0.029
102.8640000000014,,,,12.426458849835328,,,,,,105.063,,,0.029
110.90400000000227,,,93.80293877471448,,,,,,106.13,,,,0.029
129.83400000000256,,,121.23988286223862,,,,,,89.44,,,,0.029
