relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-299.14600000000064,,,,,208.19013687995906,,,,,,60.779,,0.041
-297.0309999999954,,,,148.78014292377702,,,,,,99.599,,,0.041
-290.150999999998,89.54372208046362,,,,,,51.924,,,,,,0.041
-287.0610000000015,,,57.65279969093842,,,,,,55.861,,,,0.041
-269.0809999999983,169.81564024939132,,,,,,44.506,,,,,,0.041
-263.140999999996,184.62529710945006,,,,,,63.336,,,,,,0.041
-258.16100000000006,,89.92785729598305,,,,,,59.943,,,,,0.041
-246.16100000000006,,123.50923802436246,71.75771310466834,,,,,68.458,76.534,,,,0.041
-240.1710000000021,81.60334232987924,,,,,,55.19,,,,,,0.041
-237.15099999999802,,,,207.9502278560625,,,,,,90.98,,,0.041
-230.1710000000021,60.106748103318814,,,,,,54.33,,,,,,0.041
-196.2109999999957,,,,192.88948273024167,,,,,,114.554,,,0.041
-190.22099999999773,,,,172.63778526584585,,,,,,143.768,,,0.041
-19.90099999999802,70.51960889697945,,,,,,60.76,,,,,,0.041
-12.930999999996857,,74.491130481271,,,,,,86.949,,,,,0.041
-2.0709999999962747,,,,,287.4705621633232,,,,,,82.574,,0.041
-0.9510000000009313,203.37418049222075,,,162.23260277551833,,,45.683,,,76.402,,,0.041
0.0,,,,,366.67059027160207,,,,,,66.178,,0.041
3.8879999999990105,,,,,428.19755716628185,,,,,,115.588,,0.041
4.97899999999936,438.6956601022606,410.255362207924,,,,,64.823,69.181,,,,,0.041
5.995000000002619,,,,,,367.51775029782567,,,,,,79.318,0.041
9.099000000001979,590.5766384626587,,662.5743063303603,,,,75.337,,99.153,,,,0.041
9.95799999999872,,,,,,467.70939230451603,,,,,,88.3,0.041
11.989000000001397,521.7141423241418,,,,,,62.083,,,,,,0.041
11.999000000003434,,,,371.8821109935359,,,,,,78.232,,,0.041
12.02100000000064,,,,,533.7205014623984,,,,,,87.047,,0.041
14.023000000001048,,,,,,351.05266611437577,,,,,,79.994,0.041
15.989000000001397,,523.6269496364414,,186.89967816671268,,,,81.536,,113.192,,,0.041
17.897000000004482,,,,,738.3577440022896,,,,,,210.515,,0.041
22.989000000001397,,314.8521600454609,,,,,,96.388,,,,,0.041
22.999000000003434,,,,131.45615950765617,,,,,,158.349,,,0.041
26.069000000003143,314.913350813038,,121.14693051765198,,,,96.366,,81.838,,,,0.041
27.87800000000425,,,,,,298.16032309258816,,,,,,83.164,0.041
29.877000000000407,,,,,249.96142532698258,,,,,,52.141,,0.041
31.938999999998487,222.81113837677515,,,,,,56.954,,,,,,0.041
31.944000000003143,,,,,310.36723709513126,,,,,,66.474,,0.041
31.949000000000524,,233.1935056806246,,,,,,57.382,,,,,0.041
34.949000000000524,115.35683701488071,,194.1012679116277,,,,48.523,,59.215,,,,0.041
42.929000000003725,131.81557909754784,,,,,,78.038,,,,,,0.041
43.929000000003725,54.775317505331124,,,,,,60.709,,,,,,0.041
43.93899999999849,,,238.5278244479506,,,,,,64.842,,,,0.041
44.929000000003725,,222.67577581336397,281.21315300135853,,,,,69.93,70.781,,,,0.041
50.929000000003725,,183.45710339851001,,,,,,113.259,,,,,0.041
53.90899999999965,,162.82706155349877,,,,,,49.228,,,,,0.041
53.91900000000169,,,86.81756277799813,,,,,,51.442,,,,0.041
55.89899999999761,,,,137.41104735141894,,,,,,91.982,,,0.041
60.008999999998196,,,106.77240067967058,,,,,,94.085,,,,0.041
66.04899999999907,93.04716808537918,,88.15275487100449,,,,56.589,,67.135,,,,0.041
68.94900000000052,,133.48824683735572,,,,,,68.757,,,,,0.041
70.83899999999994,,,31.661131891683002,,,,,,40.582,,,,0.041
77.8289999999979,,,,352.63559182543975,,,,,,121.199,,,0.041
80.89899999999761,,,119.11245439202527,,,,,,73.745,,,,0.041
88.90899999999965,,,119.33265904131433,,,,,,54.794,,,,0.041
89.91900000000169,,136.56082970106053,,,,,,56.021,,,,,0.041
94.89899999999761,,,104.84748979417793,,,,,,77.043,,,,0.041
97.88900000000285,,81.21798274580365,,,,,,76.22,,,,,0.041
108.90899999999965,,,,187.28270400172374,,,,,,135.415,,,0.041
108.91900000000169,,90.49412032643993,,,,,,101.938,,,,,0.041
111.84900000000198,,56.30130772665278,79.45520830859711,,,,,54.804,66.079,,,,0.041
112.92900000000373,,72.37921174705725,,167.52830527339194,,,,84.197,,138.63,,,0.041
114.84900000000198,108.74788142524788,,,,,,47.662,,,,,,0.041
121.86899999999878,87.4955536468207,,,,,,54.045,,,,,,0.041
124.8289999999979,49.01613392540119,,,,,,55.275,,,,,,0.041
134.81900000000314,,178.06548613964614,,,,,,85.449,,,,,0.041
136.83899999999994,,153.96185025761042,,,,,,70.642,,,,,0.041
140.86899999999878,,152.49882048242216,,,,,,82.485,,,,,0.041
141.81900000000314,,,58.34886121649603,,,,,,69.864,,,,0.041
142.81900000000314,,116.055277588426,,312.26551528120996,,,,80.127,,100.37,,,0.041
144.8090000000011,,,,177.23832761564694,,,,,,100.075,,,0.041
150.81900000000314,,,199.9995300055117,,,,,,117.92,,,,0.041
164.7890000000043,,,247.95795428262693,,,,,,142.628,,,,0.041
