relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-192.70000000000437,62.47137744214937,,136.72358337388906,,,,74.791,,68.833,,,,0.03
-180.63999999999942,,,,89.92728849325937,,,,,,85.045,,,0.03
-176.62999999999738,,68.3578998308422,,190.21797579952835,,,,60.867,,136.463,,,0.03
-149.72000000000116,,132.9802779850516,,,,,,80.877,,,,,0.03
-144.72000000000116,,120.42119648602747,,,,,,144.652,,,,,0.03
-135.75,120.1286760939006,,,,,,58.689,,,,,,0.03
-129.76000000000204,,,86.5051956062634,,,,,,79.821,,,,0.03
-68.93000000000029,40.35425036102744,,,,,,48.509,,,,,,0.03
-52.87999999999738,,165.6134947929005,,,,,,98.228,,,,,0.03
-44.029999999998836,,,81.15005687249764,,,,,,68.728,,,,0.03
-38.9800000000032,93.58768143087893,54.08133710118231,,,,,55.2,53.374,,,,,0.03
-34.919999999998254,91.08391829419654,,,,,,77.49,,,,,,0.03
-24.959999999999127,,126.56011845978124,,,,,,58.704,,,,,0.03
-11.0,69.50402250862766,40.81916172336667,,,,,47.308,45.615,,,,,0.03
-8.959999999999127,160.8057073979352,,,,,,61.778,,,,,,0.03
-8.950000000004366,,,138.9195906783298,,,,,,64.44,,,,0.03
-2.103000000002794,,,,,,1086.544327494526,,,,,,282.23,0.03
0.0,,886.53590218419,,736.0180883456744,,,,83.677,,114.299,,,0.03
1.0,,1090.1132461545253,905.8308844093478,,,,,123.973,86.362,,,,0.03
1.923000000002503,,,,,1467.7186564162225,,,,,,237.074,,0.03
2.9899999999979627,,1078.1627970666077,,761.3638103018684,,,,72.517,,90.71,,,0.03
3.8980000000010477,,,,,,1426.2023001629693,,,,,,113.812,0.03
3.966999999996915,,,,,1123.8156304659728,,,,,,237.092,,0.03
4.989999999997963,,1285.1300196159102,1079.3765787459897,,,,,55.536,53.876,,,,0.03
5.9060000000026776,,,,,1410.6738937072278,,,,,,117.081,,0.03
6.0,,1347.9179131306466,,798.5205136285208,,,,48.864,,80.157,,,0.03
7.896999999997206,,,,,,1455.1214781731844,,,,,,114.404,0.03
7.959999999999127,,,,,1330.5085897922772,,,,,,162.622,,0.03
8.010000000002037,1341.4079580439607,,,,,,56.849,,,,,,0.03
8.019999999996799,,,,986.4300694390289,,,,,,90.037,,,0.03
11.010000000002037,1459.09366878154,1408.3260217151835,,,,,78.57,84.775,,,,,0.03
12.0,1359.2802946417005,,1251.4375445356272,,,,67.056,,80.588,,,,0.03
13.0,1357.8189370846612,1463.1855924989977,,,,,69.427,67.361,,,,,0.03
14.0,1391.0078926766046,,1233.2604207344743,,,,68.268,,66.428,,,,0.03
14.989999999997963,1294.526236900545,1417.622962301769,,,,,67.86,62.354,,,,,0.03
15.989999999997963,1183.9041228267188,,,,,,73.332,,,,,,0.03
16.0,,,1291.4946566618319,,,,,,72.416,,,,0.03
17.010000000002037,,1612.897357947749,,,,,,122.002,,,,,0.03
