relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-297.9629999999961,,77.24196904048516,,,,,,65.773,,,,,0.071
-283.1529999999984,296.54304536880124,,,,,,89.389,,,,,,0.071
-267.0229999999938,,139.71954315360904,,,,,,69.301,,,,,0.071
-256.1729999999952,123.19303176620004,,,,,,77.234,,,,,,0.071
-252.10299999999552,70.18757552787812,,,,,,68.837,,,,,,0.071
-226.17299999999523,,,129.93325297015224,,,,,,98.012,,,,0.071
-63.77299999999377,,201.9712462670432,,203.5753665337252,,,,107.846,,176.89,,,0.071
-49.792999999997846,53.64056334796242,,,,,,45.82,,,,,,0.071
-37.802999999999884,,,95.61625907206636,,,,,,86.599,,,,0.071
-36.84299999999348,,117.10997434173717,,,,,,119.668,,,,,0.071
-34.802999999999884,,86.86927693825434,,,,,,90.693,,,,,0.071
-22.812999999994645,,66.7277331334632,,,,,,42.561,,,,,0.071
-13.882999999994354,,,52.460245273256376,,,,,,39.854,,,,0.071
-8.862999999997555,,113.05730462479146,84.80207081089105,,,,,61.752,70.233,,,,0.071
-5.902999999998428,,185.16455177704253,,,,,,129.77,,,,,0.071
0.0,,,,,,840.3779082504808,,,,,,102.895,0.071
0.04400000000168802,,,,,719.1948991323619,,,,,,108.404,,0.071
2.5870000000068103,1023.5188421064296,,798.5916954255041,,,,69.099,,74.019,,,,0.071
3.0100000000020373,,,,,1525.3155873863907,,,,,,78.253,,0.071
5.007000000005064,,,,,1778.3099846188732,,,,,,74.847,,0.071
5.028000000005704,,,,,,1720.0670017263706,,,,,,75.047,0.071
7.023000000001048,,,,,2345.516537324351,,,,,,74.882,,0.071
9.064000000005763,,,,,2520.866795313779,,,,,,100.548,,0.071
10.067000000002736,,2422.689977530452,,,,,,100.682,,,,,0.071
10.077000000004773,2838.760178804559,,,,,,90.232,,,,,,0.071
11.985000000000582,,,,,2995.3549489325983,,,,,,93.137,,0.071
12.027000000001863,,,,,,2835.707324640074,,,,,,124.777,0.071
13.0370000000039,3036.133974512545,,1668.044961073179,,,,74.614,,163.643,,,,0.071
13.964000000007218,,,,,2946.6029440691045,,,,,,87.6,,0.071
14.020000000004075,,,,,,3084.1921487966883,,,,,,93.369,0.071
15.960000000006403,,,,,2746.598931486784,,,,,,92.772,,0.071
16.207000000002154,2771.178951016044,,1778.629487422384,,,,84.275,,53.674,,,,0.071
18.15700000000652,,,1704.2092184464834,,,,,,110.751,,,,0.071
18.59700000000157,,2584.466828988838,,,,,,71.924,,,,,0.071
18.985000000000582,,,,,,3055.2720961462624,,,,,,96.62,0.071
19.0170000000071,,,,702.9455840563926,,,,,,86.621,,,0.071
19.043000000005122,,,,,2518.4793086520194,,,,,,89.583,,0.071
