relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-286.9319999999934,81.35495169675852,86.4961222633199,,,,,53.989,76.874,,,,,0.043
-281.05199999999604,,,85.97741749434152,,,,,,56.823,,,,0.043
-262.9519999999975,80.9658924122248,,,,,,40.565,,,,,,0.043
-246.01199999999517,,265.5353360120847,,,,,,88.206,,,,,0.043
-218.06199999999808,,,,210.2510333567411,,,,,,189.159,,,0.043
-208.10199999999895,120.62107746993752,,,,,,42.034,,,,,,0.043
-9.952999999994063,,,,,673.4300835689377,,,,,,193.09,,0.043
-6.955999999998312,,,,,,605.9861331913996,,,,,,131.653,0.043
-4.007999999994354,,,,,,771.7450166116433,,,,,,147.608,0.043
-3.9629999999961,,,,,732.7676883080085,,,,,,148.913,,0.043
0.0,,,,,816.453351875583,,,,,,75.657,,0.043
0.03800000000046566,,,,,,930.1965268172139,,,,,,82.234,0.043
0.14800000000104774,,,651.2464380946294,,,,,,50.682,,,,0.043
0.158000000003085,942.740289004567,,,,,,59.479,,,,,,0.043
2.0130000000062864,,,,,,878.1044186653786,,,,,,96.832,0.043
2.0420000000012806,,,,,754.2985249143085,,,,,,70.79,,0.043
3.9940000000060536,,,,,797.5051533944296,,,,,,91.277,,0.043
4.036000000000058,,,,,,807.6019923573804,,,,,,95.93,0.043
7.012000000002445,,,,,,808.3455862080414,,,,,,82.46,0.043
8.138000000006286,749.2231244603595,754.3170717134852,,,,,48.149,49.88,,,,,0.043
9.02400000000489,,,,,657.2471004582819,,,,,,68.204,,0.043
9.036000000000058,,,,,,968.0943317917121,,,,,,71.67,0.043
10.991000000001804,,,,,544.0978956060969,,,,,,83.181,,0.043
11.043000000005122,,,,,,835.5921621316384,,,,,,82.004,0.043
13.108000000000175,513.0364312622447,,432.9106658181837,,,,61.945,,67.18,,,,0.043
13.991000000001804,,,,,318.93257135166255,,,,,,65.176,,0.043
14.035000000003492,,,,,,694.0197690377231,,,,,,66.563,0.043
21.108000000000175,,521.0820485095335,350.5744774341439,,,,,142.005,112.354,,,,0.043
21.99800000000687,,,,,,540.0912089674038,,,,,,142.321,0.043
27.97400000000198,,,,,,375.9793511789979,,,,,,79.643,0.043
28.098000000005413,194.36570630721127,,,,,,49.667,,,,,,0.043
28.108000000000175,,,,276.7418099315823,,,,,,92.59,,,0.043
29.957000000002154,,,,,,346.4139670170468,,,,,,68.06,0.043
31.05800000000454,276.6315416107862,,277.55371296106546,,,,48.032,,58.039,,,,0.043
34.950000000004366,,,,,,240.3997222335562,,,,,,61.517,0.043
35.038000000000466,143.29157352450403,195.96807102190786,,,,,43.439,46.741,,,,,0.043
38.038000000000466,,,168.6898015443065,,,,,,54.023,,,,0.043
38.0480000000025,64.13359458284252,,,,,,49.271,,,,,,0.043
41.16800000000512,,,198.32733688703763,,,,,,66.359,,,,0.043
41.177999999999884,120.9731934396194,,,,,,53.767,,,,,,0.043
55.177999999999884,,,,111.0315757165376,,,,,,116.603,,,0.043
58.16800000000512,,,218.26786303016124,,,,,,65.022,,,,0.043
65.19800000000396,178.93609996361087,144.1111314122912,,,,,53.787,50.909,,,,,0.043
114.00800000000163,,104.86947795031486,,,,,,46.09,,,,,0.043
118.85800000000017,152.87259133561813,57.040530469439375,,,,,49.97,48.421,,,,,0.043
