relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-282.04699999999866,,,101.5424762763328,,,,,,90.001,,,,0.015
-268.04699999999866,,,,335.36914842902263,,,,,,261.683,,,0.015
-265.04699999999866,,,,99.62264421375899,,,,,,124.528,,,0.015
-257.0570000000007,,,187.38020074005513,,,,,,83.543,,,,0.015
-252.0570000000007,172.9720524018485,,169.51462125468532,,,,138.587,,150.124,,,,0.015
-248.0570000000007,,60.63763742921286,,,,,,66.792,,,,,0.015
-242.07700000000477,,,,99.43276234726422,,,,,,134.591,,,0.015
-102.68700000000536,62.023409689455534,,,,,,52.893,,,,,,0.015
-82.74700000000303,,37.99552475680495,,,,,,45.947,,,,,0.015
-77.77700000000186,42.61586087846998,,,,,,52.922,,,,,,0.015
-74.8070000000007,55.540558724152056,,,,,,48.454,,,,,,0.015
-64.86699999999837,,,451.71358270975566,,,,,,196.93,,,,0.015
-64.85700000000361,,174.53096606310731,,,,,,165.821,,,,,0.015
-41.91700000000128,124.43267833192215,,,,,,64.538,,,,,,0.015
-39.91700000000128,,,55.966976506656366,,,,,,71.295,,,,0.015
-3.927000000003318,,179.45537173401218,,120.5749852241825,,,,64.955,,86.796,,,0.015
-2.052000000003318,,,,,356.6855076759075,,,,,,71.174,,0.015
0.0,,,,,441.26403164759523,,,,,,79.95,,0.015
0.04899999999906868,,,,,,434.69650771874126,,,,,,76.901,0.015
3.0049999999973807,,,,,464.99334023237157,,,,,,70.92,,0.015
3.044000000001688,,,,,,567.265043223146,,,,,,86.31,0.015
4.98399999999674,,,,,515.0956837403661,,,,,,83.333,,0.015
5.047999999995227,,,,,,714.3728986021188,,,,,,74.997,0.015
7.000999999996566,,,,,679.6780077375976,,,,,,66.245,,0.015
7.031999999999243,,,,,,705.4785778216873,,,,,,81.374,0.015
9.031999999999243,,,,,705.6729234940715,,,,,,74.562,,0.015
9.063999999998487,,,,,,670.2212797315889,,,,,,111.128,0.015
10.985000000000582,,,,,638.9032943045758,,,,,,79.399,,0.015
11.029999999998836,,,,,,838.9018101868862,,,,,,93.353,0.015
12.9629999999961,,,,,733.1761721458321,,,,,,69.898,,0.015
13.006999999997788,,,,,,712.1582653569084,,,,,,83.51,0.015
14.960999999995693,,,,,,951.8881038215694,,,,,,109.424,0.015
15.028999999994994,,,,,613.3724809774208,,,,,,96.826,,0.015
15.992999999994936,663.9360403301382,,766.5959609215881,,,,56.039,,51.966,,,,0.015
16.992999999994936,902.3842566494761,,,435.35318071127165,,,172.427,,,168.326,,,0.015
18.00800000000163,,,,,,703.6786620187834,,,,,,114.866,0.015
18.052999999999884,,587.3666971935041,633.1255876828641,,,,,87.152,109.753,,,,0.015
26.939999999995052,,,,,368.8350462720071,,,,,,87.014,,0.015
26.96600000000035,,,,,,674.053732034731,,,,,,153.508,0.015
28.930999999996857,,,,,,579.0655438467456,,,,,,76.575,0.015
28.959999999999127,,,,,349.0682193661258,,,,,,72.303,,0.015
28.983000000000175,,,599.2011064812724,,,,,,59.77,,,,0.015
28.992999999994936,433.0083937407414,,,,,,51.051,,,,,,0.015
30.937999999994645,,,,,,623.2497927698429,,,,,,89.516,0.015
30.997999999999593,,,,,298.9451569996795,,,,,,83.035,,0.015
32.992999999994936,,502.9275930111464,,,,,,83.072,,,,,0.015
32.99799999999959,,,,,314.43043180650903,,,,,,85.447,,0.015
33.00299999999697,212.96470323191883,,,,,,71.015,,,,,,0.015
36.062999999994645,270.02241309829157,,379.5511771327316,,,,49.738,,70.549,,,,0.015
37.919999999998254,,,,,,381.5263633515561,,,,,,87.943,0.015
37.93999999999505,,,,,225.25439314438051,,,,,,71.178,,0.015
39.937999999994645,,,,,,494.28740436529114,,,,,,80.363,0.015
43.983000000000175,168.9326243433509,283.30200106414804,,,,,73.884,72.907,,,,,0.015
44.91900000000169,,,,,,476.27561534816175,,,,,,121.931,0.015
45.983000000000175,104.87688398313126,,,140.09912875489533,,,65.919,,,90.006,,,0.015
48.97299999999814,,,,131.88826933437124,,,,,,150.038,,,0.015
48.983000000000175,,326.29341981319016,,,,,,142.745,,,,,0.015
50.983000000000175,,271.5789524282784,317.1612558524623,,,,,60.119,56.811,,,,0.015
53.88499999999476,,,,,,449.05057310131446,,,,,,129.117,0.015
54.03299999999581,,,481.4601215701927,,,,,,82.488,,,,0.015
56.042999999997846,,189.27724544749378,,183.7648119569439,,,,59.096,,93.078,,,0.015
57.992999999994936,,237.6137112944105,351.617475170201,,,,,52.543,58.411,,,,0.015
59.983000000000175,,,265.9768428267493,,,,,,69.514,,,,0.015
64.97299999999814,115.35185060124974,230.5715936118647,,,,,120.862,97.668,,,,,0.015
68.9629999999961,83.74085528454289,,273.67370073190347,,,,40.915,,49.322,,,,0.015
72.9629999999961,,,139.29382947984695,,,,,,83.466,,,,0.015
79.9629999999961,,,170.7957200364448,,,,,,88.762,,,,0.015
