relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-107.7699999999968,,,107.76599114282214,,,,,,89.996,,,,0.079
-102.72999999999593,144.37521430062495,,,156.1304759988179,,,68.71,,,141.848,,,0.079
-98.79999999999563,,211.25522620307893,,382.4709998069545,,,,126.988,,180.146,,,0.079
-96.75,,330.260356538041,,,,,,104.42,,,,,0.079
-85.83999999999651,,,,241.93383727043204,,,,,,169.239,,,0.079
-84.83999999999651,350.6221724062902,,,,,,73.36,,,,,,0.079
-78.82999999999447,86.81704556347395,,,,,,77.086,,,,,,0.079
-68.86000000000058,,102.08875635130792,,,,,,111.95,,,,,0.079
-57.82999999999447,,,70.72487513044554,,,,,,73.303,,,,0.079
-48.87999999999738,,152.38113499958422,,,,,,58.515,,,,,0.079
-33.93999999999505,,,185.1390068311582,,,,,,105.596,,,,0.079
-31.93000000000029,,217.97019634177815,,394.89124233304995,,,,112.881,,137.828,,,0.079
-29.979999999995925,115.52647213967636,,,,,,80.278,,,,,,0.079
-27.94999999999709,,,131.88386569434076,,,,,,104.701,,,,0.079
-23.970000000001164,119.92988622950477,,,,,,63.939,,,,,,0.079
-23.959999999999127,,,194.3812077586676,,,,,,87.153,,,,0.079
-20.94999999999709,,232.07500798990014,,,,,,81.388,,,,,0.079
-14.979999999995925,117.0237891719953,,,,,,62.473,,,,,,0.079
-14.029999999998836,,,,159.04042510053327,,,,,,100.283,,,0.079
-6.029999999998836,,,252.6936188019191,,,,,,140.446,,,,0.079
-3.970000000001164,,211.2696877324516,,,,,,57.736,,,,,0.079
-2.0099999999947613,,,376.68052195511916,,,,,,73.16,,,,0.079
0.0,589.2346146766375,,761.264893337316,,,,53.361,,70.178,,,,0.079
0.8790000000008149,,,,,,705.1398025058697,,,,,,98.853,0.079
3.9420000000027358,,,,,1043.0102841946925,,,,,,125.842,,0.079
5.938000000001921,,,,,,989.0339407054682,,,,,,115.433,0.079
5.963000000003376,,,,,1391.5981273853358,,,,,,145.936,,0.079
5.990000000005239,1464.934621961725,,1372.9810585517805,,,,58.027,,90.647,,,,0.079
7.980000000003201,1530.3803964221704,1671.216513763788,,,,,77.077,54.56,,,,,0.079
8.88799999999901,,,,,,1662.329125497529,,,,,,126.175,0.079
8.916000000004715,,,,,1825.7605946107426,,,,,,129.698,,0.079
8.990000000005239,1664.4514655108194,,1433.1712938271983,,,,75.798,,86.408,,,,0.079
10.923999999999069,,,,,1745.4636264128358,,,,,,162.206,,0.079
11.959999999999127,1969.6346230380673,1673.9654094720388,,,,,71.754,78.619,,,,,0.079
12.918000000005122,,,,,1477.8568473843472,,,,,,147.823,,0.079
14.880000000004657,,,,,1790.103296868621,,,,,,209.255,,0.079
14.901000000005297,,,,,,2021.7913588667052,,,,,,228.592,0.079
18.872000000003027,,,,,,1740.8469606758058,,,,,,238.928,0.079
22.970000000001164,,1533.1679594999448,,,,,,184.724,,,,,0.079
22.9800000000032,,,1067.6176839176924,,,,,,108.643,,,,0.079
26.882000000005064,,,,,650.4752972726345,,,,,,122.591,,0.079
26.922000000005937,,,,,,908.7845085949085,,,,,,164.129,0.079
26.970000000001164,,916.8910904120296,,732.9648922628368,,,,90.185,,141.923,,,0.079
27.950000000004366,,,814.8092836834893,,,,,,90.757,,,,0.079
27.959999999999127,,1000.2328841865957,,,,,,81.655,,,,,0.079
28.959999999999127,551.5504000101964,,,382.8723720968462,,,83.305,,,142.261,,,0.079
30.867000000005646,,,,,,1252.8234788191317,,,,,,121.067,0.079
33.950000000004366,,,963.1700239822013,,,,,,90.105,,,,0.079
33.95999999999913,246.5768668674734,,,,,,86.927,,,,,,0.079
47.95999999999913,,430.4703191983525,,644.4533829574806,,,,131.973,,201.432,,,0.079
51.950000000004366,,188.69283012685375,,691.2232890371198,,,,100.606,,105.234,,,0.079
54.94000000000233,,327.7319991527232,176.13440346847673,,,,,143.713,127.725,,,,0.079
55.94000000000233,,165.99304952158846,,341.6191051571642,,,,69.679,,127.937,,,0.079
57.94000000000233,,429.0084996042674,,383.56696914296447,,,,73.007,,141.535,,,0.079
58.94000000000233,364.0498511491644,,,331.7654154403211,,,82.965,,,157.65,,,0.079
60.94000000000233,,,189.08174903011437,,,,,,74.263,,,,0.079
