relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-299.15000000000146,,172.53699691686612,82.16253188427176,,,,,65.017,80.376,,,,0.044
-289.1600000000035,120.2659926289451,,,,,,43.39,,,,,,0.044
-285.1600000000035,,176.40697733733614,,,,,,80.135,,,,,0.044
-280.16999999999825,62.05700199471332,,,172.79677474416167,,,50.056,,,99.797,,,0.044
-276.16999999999825,,194.95248270664695,,,,,,106.579,,,,,0.044
-103.87000000000262,,,80.03639145477864,,,,,,72.607,,,,0.044
-99.86000000000058,78.58306402962903,,,,,,49.509,,,,,,0.044
-84.91000000000349,,,,79.71124844858355,,,,,,68.709,,,0.044
-78.9800000000032,111.1336261129799,,,,,,73.671,,,,,,0.044
-60.970000000001164,,260.04537585691475,,,,,,99.368,,,,,0.044
-41.029999999998836,159.8245224217822,,,136.79098335896944,,,66.765,,,94.508,,,0.044
-30.05000000000291,,40.17434662981606,,,,,,31.289,,,,,0.044
-28.060000000004948,69.67657415884563,,,61.70782152474151,,,54.344,,,78.142,,,0.044
-23.950000000004366,,,66.20945991609945,,,,,,58.888,,,,0.044
-20.93000000000029,,54.620202442464986,,,,,,53.818,,,,,0.044
-17.910000000003492,,,69.99634386035153,,,,,,58.958,,,,0.044
-15.010000000002037,,57.47497871020275,,,,,,64.061,,,,,0.044
-3.0600000000049477,,230.25717794155392,234.32680666502887,,,,,58.402,62.866,,,,0.044
-1.1710000000020955,,,,,285.0048879230746,,,,,,76.817,,0.044
0.0,,443.6752811005754,,299.35943169440714,,,,43.978,,74.865,,,0.044
0.8320000000021537,,,,,572.1126991205065,,,,,,67.639,,0.044
3.8110000000015134,,,,,,630.7811855450681,,,,,,83.826,0.044
3.8320000000021537,,,,,651.9051059140429,,,,,,89.843,,0.044
4.939999999995052,655.9921112787182,,,,,,46.992,,,,,,0.044
4.94999999999709,,,513.6340631680289,,,,,,55.655,,,,0.044
5.832000000002154,,,,,754.5601484957275,,,,,,82.698,,0.044
5.873999999996158,,,,,,527.2503822191103,,,,,,89.863,0.044
5.959999999999127,559.196439596816,687.1001561837973,,,,,55.287,50.87,,,,,0.044
7.826999999997497,,,,,,722.527182394614,,,,,,106.689,0.044
9.794000000001688,,,,,,607.7880286092371,,,,,,97.926,0.044
10.939999999995052,672.7023496550897,,499.1182146186759,,,,59.245,,65.32,,,,0.044
11.809000000001106,,,,,,707.0174937922758,,,,,,98.874,0.044
11.860000000000582,,,,,786.2581676190713,,,,,,86.69,,0.044
13.805999999996857,,,,,,558.1698093885828,,,,,,91.441,0.044
13.814999999995052,,,,,613.2838552091913,,,,,,85.014,,0.044
13.930000000000291,586.468438233534,584.9406615750829,,,,,57.755,68.781,,,,,0.044
15.79200000000128,,,,,544.304422572675,,,,,,118.717,,0.044
15.836999999999534,,,,,,596.3739670308508,,,,,,148.79,0.044
21.889999999999418,,,403.5261202551731,,,,,,202.8,,,,0.044
27.889999999999418,,451.2920860279052,334.24784820061785,,,,,49.101,64.024,,,,0.044
28.970000000001164,,392.21608044077067,,,,,,86.951,,,,,0.044
33.86999999999534,253.9710664753215,,388.9044505975976,,,,69.567,,69.339,,,,0.044
35.86999999999534,225.1920651956214,280.6590129646878,,,,,66.8,54.139,,,,,0.044
38.86999999999534,,336.4286706008474,,,,,,47.779,,,,,0.044
42.86999999999534,,170.79506192256054,,,,,,44.032,,,,,0.044
48.86000000000058,,,280.7736347169419,,,,,,80.891,,,,0.044
50.849999999998545,,,,310.3761052720595,,,,,,86.819,,,0.044
50.86000000000058,,61.038733615750246,,,,,,73.442,,,,,0.044
52.86999999999534,,,135.5233656091378,,,,,,70.846,,,,0.044
52.87999999999738,,97.8501471450948,,,,,,67.736,,,,,0.044
55.86000000000058,,169.92520393814294,151.3846539630354,,,,,59.485,60.863,,,,0.044
57.86000000000058,,,146.9887587428899,,,,,,62.798,,,,0.044
57.86999999999534,,140.5142403527591,,,,,,61.19,,,,,0.044
58.86000000000058,,161.2654570397002,,136.42868364925977,,,,53.79,,76.828,,,0.044
60.849999999998545,,,,247.18189872126572,,,,,,76.903,,,0.044
66.86000000000058,,,414.8738144012083,,,,,,131.775,,,,0.044
80.83000000000175,,,128.33292928613392,,,,,,145.693,,,,0.044
80.83999999999651,,232.42405631345127,,,,,,125.304,,,,,0.044
81.83000000000175,,268.83382623264384,,,,,,138.034,,,,,0.044
96.81999999999971,,216.08648128724118,,,,,,111.843,,,,,0.044
