relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-169.73999999999796,,,130.94013257333594,,,,,,77.138,,,,0.02
-149.79999999999563,,,366.2842302744424,,,,,,201.615,,,,0.02
-138.80999999999767,,,106.98550986521664,,,,,,66.129,,,,0.02
-124.84999999999854,,,,283.84766945157185,,,,,,132.817,,,0.02
-80.90999999999622,58.76713600646846,,,,,,62.724,,,,,,0.02
-75.0,,71.40239928608513,,,,,,90.543,,,,,0.02
-69.00999999999476,166.38233567193654,,,,,,131.211,,,,,,0.02
-57.04000000000087,,85.26709551205674,,,,,,62.354,,,,,0.02
-43.0,54.01500444961365,,,,,,56.199,,,,,,0.02
-34.049999999995634,,84.01114798247535,,,,,,77.627,,,,,0.02
-32.04000000000087,,,,143.48987594593922,,,,,,100.273,,,0.02
-28.989999999997963,,,,369.2588483316225,,,,,,218.07,,,0.02
-27.049999999995634,,,70.53426385525215,,,,,,60.48,,,,0.02
-26.040000000000873,,,97.62961066632941,,,,,,48.173,,,,0.02
-19.040000000000873,62.970821334151964,77.5657678390142,,,,,47.101,56.72,,,,,0.02
-14.029999999998836,,,44.83790097529792,,,,,,52.742,,,,0.02
-6.049999999995634,,,,525.4456334678036,,,,,,469.187,,,0.02
-4.040000000000873,,,160.39128134096754,,,,,,63.929,,,,0.02
-4.029999999998836,,196.79167168011995,,,,,,69.124,,,,,0.02
0.0,,,536.7262429518128,,,,,,63.763,,,,0.02
0.010000000002037268,,398.3230251475834,,,,,,58.027,,,,,0.02
1.9599999999991269,,530.1912255322802,,317.04137019406613,,,,50.035,,81.826,,,0.02
3.970000000001164,492.8265116807983,,672.9195550089291,,,,65.629,,64.12,,,,0.02
6.980000000003201,167.7604003686263,770.37389245601,,,,,200.932,104.231,,,,,0.02
7.959999999999127,668.2737120255294,,669.2341487832688,,,,102.051,,91.823,,,,0.02
8.970000000001164,558.5213895294307,726.1075080745032,,,,,74.361,83.59,,,,,0.02
9.970000000001164,530.1486517594938,,665.8894277636334,,,,79.943,,91.191,,,,0.02
10.959999999999127,585.7159835478145,,,,,,84.154,,,,,,0.02
10.970000000001164,,819.0245611185763,,,,,,82.591,,,,,0.02
11.959999999999127,397.82771347819715,,624.8995092369315,,,,74.106,,75.377,,,,0.02
12.970000000001164,709.823057543101,831.3187987474587,,,,,177.211,90.529,,,,,0.02
20.970000000001164,,,776.8523597453886,,,,,,328.349,,,,0.02
22.959999999999127,,663.9926206119253,381.27334382218925,,,,,304.45,257.768,,,,0.02
26.959999999999127,,744.8953508771981,,214.83803550671377,,,,258.577,,224.31,,,0.02
