relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-297.15000000000146,57.14322672571566,,145.9757755489608,,,,50.543,,73.172,,,,0.043
-280.1600000000035,,146.00502933267487,,,,,,88.701,,,,,0.043
-277.16999999999825,,,263.3477453930766,,,,,,138.611,,,,0.043
-268.16999999999825,67.85909698993557,,,,,,69.932,,,,,,0.043
-263.1800000000003,103.45975324265581,,,,,,74.515,,,,,,0.043
-260.1800000000003,78.94440040267415,,,,,,93.046,,,,,,0.043
-106.90000000000146,,,220.8171545771901,,,,,,83.065,,,,0.043
-80.90000000000146,59.2201337075441,,,,,,33.054,,,,,,0.043
-71.95000000000437,,55.51190801002978,,,,,,67.912,,,,,0.043
-56.0,88.3026038460879,,,,,,53.29,,,,,,0.043
-42.029999999998836,,,136.59567616534756,,,,,,119.529,,,,0.043
-26.93000000000029,,,95.94390782999861,,,,,,60.544,,,,0.043
-16.110000000000582,,,,77.7076733953751,,,,,,96.502,,,0.043
-14.130000000004657,,,,101.63217267708337,,,,,,115.671,,,0.043
-11.099999999998545,,139.29945738546024,,,,,,147.696,,,,,0.043
-5.0,,69.60489943161058,,,,,,40.872,,,,,0.043
-0.9899999999979627,69.67162837485533,,215.23134958915472,,,,72.103,,59.829,,,,0.043
-0.17100000000209548,,,,,,329.21980702785294,,,,,,76.246,0.043
0.0,251.55280321931352,239.8852503843521,,,,,42.208,45.111,,,,,0.043
1.9049999999988358,,,,,,410.82749476908725,,,,,,78.662,0.043
3.8629999999975553,,,,,,583.9099668462305,,,,,,81.9,0.043
3.888999999995576,,,,,365.4222706618224,,,,,,75.911,,0.043
5.911000000000058,,,,,495.13731757552034,,,,,,106.963,,0.043
6.813999999998487,,,,,506.58435759464743,,,,,,74.403,,0.043
6.852999999995518,,,,,,857.4366793021468,,,,,,92.538,0.043
7.807999999997264,,,,,,886.6615391773465,,,,,,83.152,0.043
7.8620000000009895,,,,,451.96388495819025,,,,,,88.977,,0.043
8.807000000000698,,,,,708.5513064019093,,,,,,81.596,,0.043
8.81199999999808,,,,,,1033.0545515959518,,,,,,85.263,0.043
8.989999999997963,542.6961406953491,898.9539784105118,,,,,55.577,40.268,,,,,0.043
9.805000000000291,,,,,,946.0285896594027,,,,,,86.877,0.043
10.792999999997846,,,,,614.0614960245952,,,,,,84.406,,0.043
10.84599999999773,,,,,,939.398790280612,,,,,,117.931,0.043
11.792999999997846,,,,,543.2060334257764,,,,,,133.686,,0.043
11.814999999995052,,,,,,1315.5611443075918,,,,,,120.071,0.043
12.972999999998137,,,,,,1267.4777251232608,,,,,,161.552,0.043
12.979999999995925,712.3063626160415,,1221.2788072557294,,,,95.178,,86.885,,,,0.043
14.833999999995285,,,,,888.5746833755021,,,,,,188.469,,0.043
14.939999999995052,,1003.5611221661271,823.9040798861297,,,,,111.177,92.644,,,,0.043
15.79200000000128,,,,,,1185.9881784611034,,,,,,146.675,0.043
23.815999999998894,,,,,463.47289058786066,,,,,,84.252,,0.043
23.845000000001164,,,,,,1043.1845700038664,,,,,,108.679,0.043
25.797999999995227,,,,,,1379.3202631412157,,,,,,83.308,0.043
25.830000000001746,,,,,364.77716439491553,,,,,,75.413,,0.043
25.93000000000029,431.889285711528,,,606.7065857360783,,,51.004,,,99.134,,,0.043
27.80999999999767,,,,,,991.027600083126,,,,,,86.333,0.043
27.855999999999767,,,,,369.0749220976018,,,,,,85.563,,0.043
29.854999999995925,,,,,348.79556951852584,,,,,,81.215,,0.043
29.87999999999738,367.1091831187778,736.1163916989508,,,,,54.283,73.979,,,,,0.043
34.794999999998254,,,,,,881.1181744277148,,,,,,91.435,0.043
34.815999999998894,,,,,342.9077299881464,,,,,,74.899,,0.043
35.86999999999534,187.63163269686925,683.4281736917841,,,,,45.327,54.043,,,,,0.043
36.79899999999907,,,,,,843.1288680292258,,,,,,102.953,0.043
37.86000000000058,111.84704019261892,,986.9024398370694,,,,89.966,,90.023,,,,0.043
39.8269999999975,,,,,,1116.045184909911,,,,,,170.537,0.043
41.80599999999686,,,,,,798.6696001824621,,,,,,139.247,0.043
42.86000000000058,156.4734100550861,,,231.178206350329,,,82.201,,,87.181,,,0.043
44.86000000000058,,483.455355343197,,702.4289858733986,,,,106.33,,117.396,,,0.043
50.77700000000186,,,,,,858.5196391936859,,,,,,168.363,0.043
50.900000000001455,,335.5730315201828,497.60877488550744,,,,,104.052,87.145,,,,0.043
52.8070000000007,,,,,,790.2144053073447,,,,,,149.006,0.043
58.794999999998254,,,,,,508.25450464790407,,,,,,89.921,0.043
60.80599999999686,,,,,,506.79279835579473,,,,,,95.78,0.043
62.79699999999866,,,,,,456.87471770815046,,,,,,99.3,0.043
64.82600000000093,,,,,,495.21844734387054,,,,,,115.358,0.043
66.75099999999657,,,,,,404.6656267231114,,,,,,93.723,0.043
68.82499999999709,,,,,,491.807413246991,,,,,,125.378,0.043
70.75200000000041,,,,,,408.05697064014475,,,,,,106.515,0.043
87.73599999999715,,,,,,535.0945362699714,,,,,,126.18,0.043
