relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-297.0570000000007,,,,124.9143384977203,,,,,,90.406,,,0.038
-283.0769999999975,144.4160318207725,,,,,,96.962,,,,,,0.038
-281.08699999999953,,53.186544451630425,,,,,,53.663,,,,,0.038
-278.9369999999981,,,,142.53254357998273,,,,,,137.93,,,0.038
-206.1270000000004,,47.63828025593988,,,,,,44.293,,,,,0.038
-7.936999999998079,,369.78546401889105,,661.3802534894144,,,,100.487,,131.608,,,0.038
-6.987999999997555,,,,,,487.75886559318457,,,,,,129.551,0.038
-4.000999999996566,,,,,508.34980883600844,,,,,,117.685,,0.038
-0.04299999999784632,,,,,342.34538023339286,,,,,,65.626,,0.038
0.0,,,,,,931.2080012434716,,,,,,92.652,0.038
0.12299999999959255,640.7898701681358,,703.1703500011606,,,,61.089,,55.032,,,,0.038
1.9809999999997672,,,,,,555.4651349390541,,,,,,97.906,0.038
2.0060000000012224,,,,,264.5360330077544,,,,,,59.403,,0.038
3.9610000000029686,,,,,259.76146047908804,,,,,,67.94,,0.038
4.01600000000326,,,,,,783.6166916030178,,,,,,84.859,0.038
6.978000000002794,,,,,,711.9741833669364,,,,,,85.665,0.038
8.103000000002794,495.55070590866444,678.3026454399053,,,,,51.646,45.873,,,,,0.038
9.01299999999901,,,,,,526.7250117606222,,,,,,75.982,0.038
10.112999999997555,654.7206770961848,598.31553458559,,,,,99.837,97.606,,,,,0.038
11.006999999997788,,,,,,852.0824261903601,,,,,,84.022,0.038
13.072999999996682,432.35457100817126,,522.344309419998,,,,65.25,,59.547,,,,0.038
13.968999999997322,,,,,202.3878523380092,,,,,,46.727,,0.038
14.01600000000326,,,,,,708.187104816504,,,,,,69.224,0.038
15.052999999999884,,654.8067529597718,779.1716981334303,,,,,65.558,73.161,,,,0.038
21.072999999996682,,605.3854146125512,501.4272424296405,,,,,132.602,112.64,,,,0.038
21.985000000000582,,,,,,984.8601784221772,,,,,,142.708,0.038
26.010000000002037,,,,,,635.9775595635507,,,,,,127.492,0.038
27.95300000000134,,,,,,714.4655026298185,,,,,,84.525,0.038
28.00499999999738,,,,,251.97188647045536,,,,,,63.483,,0.038
28.072999999996682,419.50235141358996,,,520.0679181322342,,,67.655,,,93.666,,,0.038
29.921000000002095,,,,,,693.005770386884,,,,,,72.656,0.038
29.97899999999936,,,,,224.21353225718522,,,,,,46.498,,0.038
35.00299999999697,285.9914052117179,488.8521762909991,,,,,49.168,52.746,,,,,0.038
35.03199999999924,,,,,,657.3723899792527,,,,,,68.609,0.038
38.01299999999901,286.61812122021695,,647.2803744270274,,,,55.244,,58.75,,,,0.038
38.94499999999971,,,,,,595.8762007338215,,,,,,81.686,0.038
41.978000000002794,,,,,,555.9832109283647,,,,,,76.377,0.038
42.99300000000221,,,,475.62199167470857,,,,,,107.475,,,0.038
43.00299999999697,346.9667855603559,,,,,,114.616,,,,,,0.038
45.94799999999668,,,,,,527.4059116322875,,,,,,129.669,0.038
46.02599999999802,,,,,247.76378864857998,,,,,,49.356,,0.038
52.89400000000023,,,,,,543.5027034144472,,,,,,115.674,0.038
55.14299999999639,,,,543.1370188419215,,,,,,104.324,,,0.038
58.13300000000163,,,394.06151369451146,,,,,,102.685,,,,0.038
58.14299999999639,195.0664930004068,,,,,,70.652,,,,,,0.038
58.91599999999744,,,,,,725.3314348627639,,,,,,66.808,0.038
60.93600000000151,,,,,,534.0281752670785,,,,,,60.323,0.038
60.97099999999773,,,,,169.0784834303941,,,,,,43.96,,0.038
62.87299999999959,,,,,,529.6672279284868,,,,,,71.19,0.038
64.91500000000087,,,,,,588.5217989427083,,,,,,76.28,0.038
65.16300000000047,181.2707933278134,313.93089583435665,,,,,53.18,52.596,,,,,0.038
66.9340000000011,,,,,,616.7836981310074,,,,,,63.779,0.038
67.93299999999726,182.20405521003477,,585.0153683719504,,,,57.259,,69.243,,,,0.038
69.96399999999994,,,,,,507.27609753334144,,,,,,80.019,0.038
71.92700000000332,,,,,,558.2160615108655,,,,,,68.768,0.038
73.83400000000256,,,,,,542.7876446863438,,,,,,130.997,0.038
82.05299999999988,,270.58726960686334,436.82636365727507,,,,,68.896,63.613,,,,0.038
87.85100000000239,,,,,,369.90170185350996,,,,,,81.095,0.038
90.78899999999703,,,,,,470.6486944033626,,,,,,82.136,0.038
118.82299999999668,,87.04933357659024,,,,,,48.485,,,,,0.038
