relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-279.0900000000038,,300.0413965827793,,,,,,201.752,,,,,0.017
-277.08000000000175,,109.27147634271901,,,,,,108.858,,,,,0.017
-76.88000000000466,,,247.21928451080888,,,,,,121.283,,,,0.017
-55.95999999999913,85.37654117510658,,,,,,61.406,,,,,,0.017
-53.95999999999913,,,135.97869284756143,,,,,,103.322,,,,0.017
-31.060000000004948,60.246119332123364,,,,,,45.644,,,,,,0.017
-4.990000000005239,,,116.69502621544159,,,,,,95.535,,,,0.017
-4.980000000003201,207.96659797913316,,,,,,114.991,,,,,,0.017
-1.9900000000052387,351.07124165763645,,,,,,79.043,,,,,,0.017
-1.9800000000032014,,180.9369343150589,,,,,,66.688,,,,,0.017
0.0,426.29633289398,,182.1770839328879,,,,43.312,,53.808,,,,0.017
2.040000000000873,272.97038256771987,319.1848023800243,,,,,67.039,65.214,,,,,0.017
5.059999999997672,345.24773237152715,,110.53290582049816,,,,71.19,,85.542,,,,0.017
7.009999999994761,282.0221185573249,187.2649802009454,,,,,75.821,75.89,,,,,0.017
13.959999999999127,,373.8772733200597,328.31987606779586,,,,,191.321,195.411,,,,0.017
15.970000000001164,,403.01293318189164,,,,,,151.084,,,,,0.017
15.979999999995925,,,,279.0034800771767,,,,,,157.085,,,0.017
17.970000000001164,,387.50979329399775,347.21828141143214,,,,,59.161,51.745,,,,0.017
20.939999999995052,,372.6666272655629,,,,,,47.57,,,,,0.017
20.94999999999709,,,303.8403325931326,,,,,,44.943,,,,0.017
22.939999999995052,678.0228668827285,,,265.3690107317846,,,51.171,,,81.481,,,0.017
24.959999999999127,430.4295215094392,,305.9180652639117,,,,119.595,,136.139,,,,0.017
25.94999999999709,578.749074357819,,536.1178657952396,,,,75.137,,67.051,,,,0.017
32.95999999999913,811.7381338114907,513.2972716149162,,,,,55.259,50.132,,,,,0.017
