relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-290.09799999999814,148.46915969298357,,,,,,73.601,,,,,,0.074
-274.0480000000025,,106.70581378475433,,,,,,122.953,,,,,0.074
-263.16799999999785,51.3881966171789,,,,,,50.761,,,,,,0.074
-241.15800000000309,,,275.8882112110552,,,,,,187.376,,,,0.074
-216.19800000000396,,,,160.3342349727659,,,,,,139.084,,,0.074
-72.82800000000134,,78.72732193329556,,,,,,91.037,,,,,0.074
-48.80800000000454,68.42454964315665,,188.32778823494996,,,,70.203,,99.029,,,,0.074
-43.82800000000134,,,71.86388047671765,,,,,,49.988,,,,0.074
-30.868000000002212,,,,347.5818470302761,,,,,,244.113,,,0.074
-23.858000000000175,176.93606690632723,,,,,,53.59,,,,,,0.074
-20.898000000001048,59.03886999787916,,,,,,48.367,,,,,,0.074
-18.82800000000134,,46.5327624352267,,,,,,42.376,,,,,0.074
-14.88799999999901,,39.45715286220114,,106.35356985886953,,,,45.12,,98.212,,,0.074
-2.963000000003376,,,,,488.49709537408256,,,,,,94.615,,0.074
0.0,,,,,475.1823898714863,,,,,,76.262,,0.074
1.9400000000023283,,,,,668.7538781295061,,,,,,93.282,,0.074
2.0120000000024447,,,,,,789.685284188161,,,,,,89.127,0.074
3.980999999999767,,,,,718.6501001895214,,,,,,104.816,,0.074
4.040999999997439,,,,,,805.1524942196119,,,,,,113.49,0.074
4.1120000000009895,662.4817315024013,,795.0495053836227,,,,48.61,,57.403,,,,0.074
5.991000000001804,,,,,725.9859244352303,,,,,,89.676,,0.074
7.97899999999936,,,,,788.3779250010793,,,,,,94.458,,0.074
9.04200000000128,683.1494334334277,,708.197958520393,,,,68.796,,93.949,,,,0.074
9.959000000002561,,,,,771.0828533979394,,,,,,75.742,,0.074
10.015999999995984,,,,,,923.1382574540293,,,,,,110.589,0.074
11.141999999999825,669.7636360239146,,,480.21543382855646,,,60.212,,,90.461,,,0.074
11.955999999998312,,,,,712.8890439913661,,,,,,105.173,,0.074
12.012000000002445,,,,,,757.2790841497388,,,,,,93.805,0.074
13.04200000000128,683.090532851752,,711.8401935722625,,,,57.737,,84.598,,,,0.074
14.977999999995518,,,,,,677.5583126323235,,,,,,116.194,0.074
15.021999999997206,,681.5690193591614,579.6000943131959,,,,,74.488,84.55,,,,0.074
15.038000000000466,,,,,697.9495778047859,,,,,,87.661,,0.074
21.98399999999674,,,,,,764.5529993568373,,,,,,165.521,0.074
23.091999999996915,,602.9822330140862,290.45715141853316,,,,,90.214,66.526,,,,0.074
23.968999999997322,,,,,,501.72245406965123,,,,,,107.353,0.074
25.99199999999837,243.423299591325,,,150.80725824121242,,,36.9,,,105.49,,,0.074
29.940999999998894,,,,,,523.0355793144545,,,,,,77.136,0.074
35.9320000000007,,253.42734984590757,,,,,,40.722,,,,,0.074
39.012000000002445,,,233.0199807895672,,,,,,56.578,,,,0.074
41.03199999999924,62.23358633007116,,238.15279001136767,,,,34.148,,62.389,,,,0.074
43.04200000000128,,,,223.1321148371691,,,,,,109.649,,,0.074
53.021999999997206,,89.46519365697819,,,,,,81.922,,,,,0.074
56.072000000000116,,,,143.1305346614983,,,,,,124.427,,,0.074
82.99199999999837,,177.41307935300122,,,,,,102.852,,,,,0.074
87.88199999999779,,89.89275531944513,,,,,,71.483,,,,,0.074
91.83200000000215,,142.0016840601601,,,,,,82.657,,,,,0.074
105.89199999999983,,,231.68756677965183,,,,,,128.989,,,,0.074
108.87199999999575,,560.6881668371321,,,,,,199.964,,,,,0.074
112.81199999999808,,,,83.18388272407677,,,,,,102.248,,,0.074
114.81199999999808,,,,126.38635263749178,,,,,,114.58,,,0.074
115.81199999999808,61.15801049077606,,91.52808109102834,,,,53.307,,68.741,,,,0.074
117.81199999999808,95.1526092496399,,,,,,40.151,,,,,,0.074
