relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-299.1690000000017,,,255.40330051847522,,,,,,111.766,,,,0.053
-289.1889999999985,,187.30075534393987,,251.6681559934245,,,,110.41,,136.125,,,0.053
-283.03899999999703,,,66.96684389756714,,,,,,60.16,,,,0.053
-275.17899999999645,71.90116585947487,,,,,,37.393,,,,,,0.053
-231.15899999999965,,280.0008193742847,,,,,,149.117,,,,,0.053
-227.19900000000052,,86.86444692750905,,,,,,58.211,,,,,0.053
-85.79899999999907,,139.25579899835557,,,,,,67.497,,,,,0.053
-82.78899999999703,,,,145.06296441700871,,,,,,135.439,,,0.053
-79.78899999999703,,141.91237046641675,,,,,,88.616,,,,,0.053
-61.809000000001106,147.50159979011406,,,,,,89.114,,,,,,0.053
-41.83899999999994,100.41620802919854,,,,,,48.122,,,,,,0.053
-38.81900000000314,153.49157306571996,,,,,,54.762,,,,,,0.053
-32.89899999999761,96.03891986625577,,,,,,53.672,,,,,,0.053
-28.84900000000198,,,,129.38123768292678,,,,,,93.099,,,0.053
-26.90899999999965,,,,98.11352256565691,,,,,,115.007,,,0.053
-24.868999999998778,,92.16058961959517,,,,,,61.683,,,,,0.053
-13.423999999999069,114.58658920789871,,,,,,86.153,,,,,,0.053
-2.9789999999993597,,,135.08214212939174,,,,,,111.641,,,,0.053
0.0,,,,,,2678.932220386034,,,,,,80.213,0.053
0.04400000000168802,,,,,2299.9645191742484,,,,,,78.526,,0.053
0.19099999999889405,2400.694865175084,,1650.1676340231745,,,,78.341,,71.52,,,,0.053
2.150999999998021,,,1921.4573377155282,,,,,,66.771,,,,0.053
2.580999999998312,,3366.4517916315444,,,,,,84.02,,,,,0.053
3.0010000000038417,,,,2019.1938930463948,,,,,,115.329,,,0.053
3.0279999999984284,,,,,2256.4027484488506,,,,,,78.678,,0.053
5.9689999999973224,,,,,,4923.481189678562,,,,,,305.456,0.053
9.87999999999738,,,,,2441.5142176309105,,,,,,199.693,,0.053
10.006000000001222,,,,,,5860.366853551819,,,,,,161.449,0.053
11.894999999996799,,,,,2947.257629865179,,,,,,116.347,,0.053
11.955999999998312,,,,,,6250.122747385986,,,,,,110.225,0.053
13.001000000003842,3433.0126847360443,,,3413.3239259354978,,,80.967,,,136.862,,,0.053
13.94999999999709,,,,,3007.0219503907083,,,,,,93.607,,0.053
14.97099999999773,3269.4689863307713,,3430.1939722199295,,,,85.711,,87.485,,,,0.053
15.913000000000466,,,,,2900.2054343086943,,,,,,87.203,,0.053
15.951999999997497,,,,,,6928.469124530607,,,,,,93.358,0.053
17.911000000000058,,,,,3035.57976575651,,,,,,79.235,,0.053
17.934000000001106,,,,,,6936.576979076193,,,,,,94.661,0.053
18.02100000000064,3519.1701779830364,6317.244216528514,,,,,87.542,87.191,,,,,0.053
22.101000000002387,3256.2702747906405,5953.606729894398,,,,,84.311,82.025,,,,,0.053
22.97200000000157,,,,,2718.727133719071,,,,,,74.934,,0.053
25.07100000000355,2798.502861171216,,4233.777451690179,,,,80.927,,96.792,,,,0.053
25.915000000000873,,,,,,6805.99437863062,,,,,,166.531,0.053
27.868000000002212,,,,,2051.5529891557794,,,,,,94.964,,0.053
27.891999999999825,,,,,,6509.145029736479,,,,,,94.64,0.053
27.96100000000297,2302.091883412455,5282.635431524552,,,,,78.299,81.925,,,,,0.053
29.9429999999993,,,,,,5907.621323473971,,,,,,91.161,0.053
29.97099999999773,2078.618609817506,,,4024.7058076094045,,,69.222,,,105.371,,,0.053
31.868999999998778,,,,,,5682.587311198609,,,,,,190.992,0.053
31.93000000000029,,,,,1542.6001080651429,,,,,,141.294,,0.053
32.98099999999977,,4052.9896467905633,3743.231691157593,,,,,74.985,61.357,,,,0.053
35.86499999999796,,,,,,4339.395662815651,,,,,,307.268,0.053
38.91100000000006,,3196.8709573213655,,,,,,114.214,,,,,0.053
38.921000000002095,,,,3373.9335109575436,,,,,,200.892,,,0.053
40.807999999997264,,,,,917.7121034710655,,,,,,82.613,,0.053
40.86899999999878,,,,,,3593.6672016707444,,,,,,92.231,0.053
42.828999999997905,,,,,931.1991231445768,,,,,,64.769,,0.053
42.84700000000157,,,,,,3196.2397074010587,,,,,,73.731,0.053
44.06100000000151,1130.8969273766959,,,,,,80.05,,,,,,0.053
44.07100000000355,,,2599.5148681414394,,,,,,109.008,,,,0.053
46.828999999997905,,,,,,2552.619876517833,,,,,,68.887,0.053
46.90200000000186,,,,,810.3744593714276,,,,,,52.074,,0.053
48.82800000000134,,,,,773.3222573183521,,,,,,68.607,,0.053
48.86699999999837,,,,,,2672.2673602045106,,,,,,88.853,0.053
50.0109999999986,838.7287589900834,2090.2491385799426,,,,,62.972,80.499,,,,,0.053
50.83099999999831,,,,,805.5302345815129,,,,,,65.975,,0.053
50.87700000000041,,,,,,2282.527046874276,,,,,,89.951,0.053
52.7870000000039,,,,,,2245.4790055271737,,,,,,83.978,0.053
