relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-294.1600000000035,,37.77386902270429,,,,,,45.803,,,,,0.031
-284.1600000000035,120.2833251704639,,,,,,101.011,,,,,,0.031
-272.02999999999884,,94.11672518739822,,,,,,64.737,,,,,0.031
-264.1600000000035,,26.341751257978363,,,,,,33.247,,,,,0.031
-248.15000000000146,,,72.51353252122871,,,,,,64.163,,,,0.031
-72.81000000000495,,185.6618963552487,267.7495818328796,,,,,155.935,182.369,,,,0.031
-68.77999999999884,,196.73141424357814,,,,,,134.599,,,,,0.031
-54.81000000000495,,,58.54917526490242,,,,,,58.589,,,,0.031
-50.80000000000291,,63.53244777917851,,,,,,72.512,,,,,0.031
-42.81000000000495,,,127.0662563103997,,,,,,74.149,,,,0.031
-31.80000000000291,,,246.30005885695172,,,,,,209.629,,,,0.031
-24.840000000003783,,,130.89064714414906,,,,,,68.847,,,,0.031
-15.900000000001455,,83.3355656577461,,150.844745727298,,,,60.673,,104.439,,,0.031
-2.415000000000873,37.596718825526835,,,,,,60.38,,,,,,0.031
0.0,,,,,530.0224130971487,,,,,,81.404,,0.031
0.021000000000640284,,,,,,591.3978939335979,,,,,,82.14,0.031
2.0159999999959837,,,,,788.114671437733,,,,,,67.905,,0.031
4.0570000000006985,,,,,705.2056207252601,,,,,,89.216,,0.031
6.977999999995518,,,,,628.0774200858187,,,,,,90.121,,0.031
8.029999999998836,526.5514857047278,,560.5661824703537,,,,105.31,,95.662,,,,0.031
8.957000000002154,,,,,685.0189008758912,,,,,,81.855,,0.031
9.01299999999901,,,,,,589.7458761911382,,,,,,81.813,0.031
10.953000000001339,,,,,568.0368270775841,,,,,,83.123,,0.031
13.977999999995518,,,,,,716.9045500690269,,,,,,86.664,0.031
14.010000000002037,,,,616.7987917198916,,,,,,111.713,,,0.031
14.019999999996799,,725.9830546031053,,,,,,89.15,,,,,0.031
14.036000000000058,,,,,638.2460795090354,,,,,,83.977,,0.031
20.983000000000175,,,,,,595.8614546576731,,,,,,169.597,0.031
22.877999999996973,,,,,494.11208224712817,,,,,,107.54,,0.031
22.930999999996857,,,,,,658.9127240140681,,,,,,104.467,0.031
24.010000000002037,370.88190429116895,,,555.4458762387331,,,44.465,,,105.798,,,0.031
24.94999999999709,,,,,448.9248531779369,,,,,,79.943,,0.031
25.979999999995925,502.54694899044154,,554.191494022931,,,,75.627,,75.531,,,,0.031
26.898999999997613,,,,,338.71005288343366,,,,,,69.843,,0.031
26.95300000000134,,,,,,633.0318538630167,,,,,,85.157,0.031
28.91599999999744,,,,,414.2193143044321,,,,,,77.666,,0.031
28.940999999998894,,,,,,579.3935281307176,,,,,,77.74,0.031
