relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-146.6800000000003,,211.90035506683517,85.89837264597114,,,,,114.671,87.728,,,,0.031
-123.68999999999505,121.62313390080894,,,456.3361162935962,,,73.753,,,164.265,,,0.031
-99.7899999999936,,,119.0015734592142,,,,,,71.55,,,,0.031
-54.89999999999418,,174.96251009149015,,,,,,103.034,,,,,0.031
-52.88999999999942,,,,220.90451748870115,,,,,,106.172,,,0.031
-50.93999999999505,115.47864684276956,,,,,,45.015,,,,,,0.031
-44.919999999998254,,,148.427109998435,,,,,,76.939,,,,0.031
-34.98999999999796,,,,107.84792459028719,,,,,,86.526,,,0.031
-14.969999999993888,112.20676294002298,,40.99265626216459,,,,58.334,,53.424,,,,0.031
-12.979999999995925,51.719057040331045,,,,,,59.638,,,,,,0.031
-2.0859999999956926,,,,,,1119.8768133367448,,,,,,203.997,0.031
0.0,,1471.30118273394,,753.3669230502404,,,,173.344,,389.712,,,0.031
1.9200000000055297,,,,,1171.778524944908,,,,,,353.426,,0.031
2.0100000000020373,,1241.3590628973238,,,,,,122.029,,,,,0.031
2.0200000000040745,,,1219.8318382327946,,,,,,105.271,,,,0.031
4.0200000000040745,,1450.727674613533,,776.7511407982258,,,,112.505,,195.993,,,0.031
5.923000000002503,,,,,953.553048248652,,,,,,139.334,,0.031
9.0,908.166278310093,,1043.2290064197205,,,,79.282,,115.505,,,,0.031
9.908000000003085,,,,,,1777.5444095772227,,,,,,127.907,0.031
10.990000000005239,909.8865128637066,,875.8942263649458,,,,124.934,,153.947,,,,0.031
12.990000000005239,705.2950578683681,,657.0531459121679,,,,95.396,,126.431,,,,0.031
15.0,599.1540349500812,900.0040961727944,,,,,82.64,83.061,,,,,0.031
17.99000000000524,523.8729773572251,,539.7795679800992,,,,97.874,,70.941,,,,0.031
27.0,,575.2620139929588,,408.6023395463696,,,,125.6,,189.243,,,0.031
28.99000000000524,,494.46034361388837,394.5023288753733,,,,,123.974,98.952,,,,0.031
30.99000000000524,,540.3986276576505,,436.2862394080561,,,,133.802,,133.84,,,0.031
33.9800000000032,,701.5974059424232,481.1839468977292,,,,,139.162,130.247,,,,0.031
34.9800000000032,,428.713561871434,,665.9466629486873,,,,84.016,,137.246,,,0.031
35.9800000000032,,433.05400074794267,506.78720377672187,,,,,128.823,139.955,,,,0.031
36.9800000000032,,616.3563079965519,,437.2526242714754,,,,112.59,,171.228,,,0.031
37.9800000000032,167.45612725575822,,,546.4436777162123,,,103.041,,,159.804,,,0.031
39.970000000001164,,,419.8606896259006,,,,,,68.962,,,,0.031
39.9800000000032,97.92249419986248,,,,,,73.223,,,,,,0.031
