relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-44.76799999999639,137.85996029985628,,,,,,124.299,,,,,,0.045
-39.927999999999884,78.47643780309224,,,,,,80.604,,,,,,0.045
-17.898000000001048,117.64666695875206,,,,,,85.527,,,,,,0.045
-12.93800000000192,,,95.91049075001315,,,,,,120.95,,,,0.045
0.0,,,,,814.1251660443806,,,,,,101.742,,0.045
0.07200000000011642,,,,358.741135097546,,,,,,146.74,,,0.045
0.08200000000215368,,600.7226593303903,,,,,,53.947,,,,,0.045
1.0619999999980791,,745.924289843348,632.1512399057647,,,,,83.135,77.831,,,,0.045
1.989000000001397,,,,,,848.1795509052379,,,,,,112.372,0.045
2.019000000000233,,,,,1027.4256905042946,,,,,,112.436,,0.045
3.0720000000001164,1201.9634054038238,,971.3399392579827,,,,73.783,,81.693,,,,0.045
4.042000000001281,,,,,1260.0317690518057,,,,,,151.645,,0.045
5.061999999998079,1475.117148928033,,1010.3014465416928,,,,104.886,,125.778,,,,0.045
6.061000000001513,,,,,1506.7937715957107,,,,,,168.635,,0.045
10.967000000004191,,,,,,2139.8658927345887,,,,,,99.95,0.045
12.986000000004424,,,,,,2227.1456688257326,,,,,,125.236,0.045
13.0370000000039,,,,,1487.513787778428,,,,,,323.299,,0.045
14.06199999999808,2127.306171352176,,1740.0062691645978,,,,147.4,,109.982,,,,0.045
15.988000000004831,,,,,,2016.5544333387752,,,,,,254.385,0.045
17.95799999999872,,,,,,2466.618694412811,,,,,,217.179,0.045
18.00300000000425,,,,,2463.755579368879,,,,,,284.907,,0.045
19.963000000003376,,,,,2624.48918681619,,,,,,397.481,,0.045
21.072000000000116,,2377.2770256584777,,1582.5545581934198,,,,115.362,,143.217,,,0.045
23.06199999999808,,2550.853702325398,2308.1223534666988,,,,,88.786,109.961,,,,0.045
23.984000000004016,,,,,,2613.7250357113485,,,,,,267.8,0.045
25.072000000000116,,2346.253982918616,,1309.4286558826284,,,,121.674,,125.986,,,0.045
26.976000000002387,,,,,,3137.1937785774385,,,,,,309.577,0.045
27.0,,,,,2035.520256650677,,,,,,531.099,,0.045
28.04200000000128,,,1620.1319473153505,,,,,,133.532,,,,0.045
28.052000000003318,,2198.7480059436766,,,,,,85.847,,,,,0.045
29.04200000000128,,2076.0660238422424,,,,,,60.345,,,,,0.045
29.052000000003318,,,,1271.9465237968166,,,,,,98.875,,,0.045
29.963000000003376,,,,,1952.6080992798263,,,,,,113.94,,0.045
30.052000000003318,,2225.3280640717526,1857.189338338261,,,,,93.402,115.901,,,,0.045
31.04200000000128,,2012.4996480085008,,,,,,95.291,,,,,0.045
31.052000000003318,,,,1324.0959471950043,,,,,,104.064,,,0.045
34.04200000000128,1756.2530048410817,,1917.106487938729,,,,58.543,,60.051,,,,0.045
39.04200000000128,,,1736.8098657657429,,,,,,137.492,,,,0.045
42.04200000000128,1474.0513951335415,1880.9606122279035,,,,,90.514,68.777,,,,,0.045
