relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-296.1600000000035,36.36868448627842,,,,,,44.737,,,,,,0.019
-285.20000000000437,167.42892683399452,,,,,,122.021,,,,,,0.019
-272.25,,,48.64234631819177,,,,,,58.16,,,,0.019
-268.2099999999991,,159.39680442157044,,,,,,202.545,,,,,0.019
-239.25,,,61.72293647269702,,,,,,65.305,,,,0.019
-237.34000000000378,,,74.0881980048759,,,,,,61.432,,,,0.019
0.0,2714.9619346325157,,,2175.1445173140305,,,92.632,,,119.201,,,0.019
2.029999999998836,2620.7328169757848,,2602.2042689696723,,,,71.103,,74.59,,,,0.019
5.009999999994761,2593.430730880862,2909.995218927034,,,,,95.222,72.97,,,,,0.019
6.009999999994761,2411.8558221167186,,2578.8837289123276,,,,74.275,,75.462,,,,0.019
8.0,,2848.7589916985294,,,,,,75.073,,,,,0.019
8.009999999994761,2473.31774812567,,,,,,79.668,,,,,,0.019
11.970000000001164,,2858.2912975442414,,,,,,76.928,,,,,0.019
11.979999999995925,2255.4018586663133,,,,,,74.354,,,,,,0.019
13.970000000001164,,,,2466.459514181656,,,,,,123.062,,,0.019
13.979999999995925,2364.9660902081528,,,,,,81.007,,,,,,0.019
16.979999999995925,,2714.5913162664547,,,,,,84.531,,,,,0.019
35.98999999999796,1548.1730871669722,2626.3060991562515,,,,,102.105,118.526,,,,,0.019
37.970000000001164,1757.439000631379,,2758.9470353453466,,,,67.577,,86.975,,,,0.019
39.98999999999796,1641.0873402785237,2667.205903862919,,,,,87.259,82.455,,,,,0.019
41.81999999999971,1703.5870929220005,,,2620.684255398413,,,101.768,,,132.281,,,0.019
53.900000000001455,,3028.453520450551,,2684.7845999444144,,,,91.161,,115.47,,,0.019
55.87999999999738,,,3013.7973290154564,,,,,,96.327,,,,0.019
55.88999999999942,,3123.9177750113763,,,,,,93.535,,,,,0.019
58.90999999999622,1588.61422893986,,2971.931997795489,,,,77.299,,76.445,,,,0.019
81.86000000000058,,2311.6971244681135,,,,,,151.461,,,,,0.019
81.86999999999534,,,2838.397096882024,,,,,,130.159,,,,0.019
84.91999999999825,,2660.8698594462717,2648.930113458683,,,,,115.837,127.057,,,,0.019
86.79000000000087,1143.3578334067936,,,,,,78.243,,,,,,0.019
89.83999999999651,964.3476563770485,,2402.9159889556913,,,,71.042,,76.689,,,,0.019
95.79000000000087,750.172844241943,,,,,,70.457,,,,,,0.019
95.79999999999563,,1790.3038411607395,,,,,,84.808,,,,,0.019
