relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-287.07399999999325,60.63528447524895,,,,,,40.967,,,,,,0.03
-266.94399999999587,,,53.72420173205673,,,,,,57.449,,,,0.03
-97.69399999999587,,,,167.78096724710645,,,,,,124.453,,,0.03
-94.68399999999383,,,,124.58172708237792,,,,,,137.1,,,0.03
-91.68399999999383,,190.77888852479123,,,,,,100.86,,,,,0.03
-73.7039999999979,,84.84464621917651,,,,,,76.05,,,,,0.03
-11.703999999997905,185.13918992676054,,,,,,92.082,,,,,,0.03
0.0,,,,,716.8902418012892,,,,,,110.385,,0.03
0.0610000000015134,,,,,,697.8106138881285,,,,,,117.369,0.03
1.1060000000070431,744.9242511653343,,,525.1879542875274,,,77.054,,,137.173,,,0.03
2.055000000000291,,,,,803.2295372478898,,,,,,82.339,,0.03
3.0760000000009313,339.3511016910046,,820.8546746949959,,,,66.032,,115.637,,,,0.03
4.018000000003667,,,,,841.1931997599902,,,,,,78.117,,0.03
4.0570000000006985,,,,,,1054.458686732292,,,,,,92.388,0.03
6.01600000000326,,,,,831.8254312774991,,,,,,72.357,,0.03
6.039000000004307,,,,,,1271.9773940944694,,,,,,82.343,0.03
6.126000000003842,715.4627522166109,983.1109452086089,,,,,87.177,109.72,,,,,0.03
9.076000000000931,,,1311.1891751455155,,,,,,83.843,,,,0.03
10.206000000005588,464.6077942048035,964.2508544446897,,,,,52.205,64.083,,,,,0.03
11.077000000004773,,,,,504.7305150732426,,,,,,73.273,,0.03
13.176000000006752,354.98165831470834,,946.3442686866189,,,,66.15,,65.745,,,,0.03
14.020000000004075,,,,,,1351.3073681917585,,,,,,115.182,0.03
15.973000000005413,,,,,383.4871868480257,,,,,,85.208,,0.03
15.997000000003027,,,,,,926.7753417860326,,,,,,96.786,0.03
18.048000000002503,,,,,,716.8016348931512,,,,,,80.851,0.03
18.07600000000093,302.17270629319506,,,933.4729347563792,,,76.952,,,99.547,,,0.03
19.97400000000198,,,,,,776.1379117115976,,,,,,186.058,0.03
28.97400000000198,,,,,,565.1881188549203,,,,,,106.714,0.03
30.952000000004773,,,,,,522.0132108831143,,,,,,82.147,0.03
32.17600000000675,,,293.104804110706,,,,,,65.906,,,,0.03
35.007000000005064,,,,,211.1230370323099,,,,,,53.315,,0.03
36.97200000000157,,,,,,315.0364535158489,,,,,,81.166,0.03
38.116000000001804,,303.1515385937518,,,,,,73.796,,,,,0.03
38.98200000000361,,,,,,344.23261392214704,,,,,,92.04,0.03
42.945000000006985,,,,,,279.00990722214846,,,,,,81.688,0.03
59.9010000000053,,,,,218.54406109651268,,,,,,56.854,,0.03
59.92600000000675,,221.32536563741763,,,,,,109.48,,,,,0.03
66.92600000000675,117.39498680603502,,,,,,96.112,,,,,,0.03
82.03600000000006,,111.80588126285076,,,,,,88.634,,,,,0.03
83.99600000000646,,113.34732066734635,251.61775824547766,,,,,135.466,93.206,,,,0.03
94.97600000000239,96.86302367105108,,123.39053134745501,,,,52.216,,60.56,,,,0.03
100.95600000000559,114.48664207640527,,,,,,93.848,,,,,,0.03
