relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-254.19700000000012,63.711870157323844,,,,,,57.752,,,,,,0.025
-202.17700000000332,,,152.83113087953475,,,,,,141.396,,,,0.025
-180.17700000000332,,,81.5648820115696,,,,,,58.192,,,,0.025
0.0,,,,,,983.1462905080531,,,,,,129.313,0.025
0.01600000000325963,,,,,896.8600666418591,,,,,,161.035,,0.025
1.1330000000016298,1426.850416814399,1350.5509804677115,,,,,68.593,55.324,,,,,0.025
1.9550000000017462,,,,,1645.0297282900387,,,,,,103.79,,0.025
2.021999999997206,,,,,,1751.8970898973284,,,,,,122.467,0.025
4.017999999996391,,,,,2249.697536796492,,,,,,119.81,,0.025
5.112999999997555,,,2202.564147339049,,,,,,77.061,,,,0.025
5.1229999999995925,2510.80232436363,,,,,,79.705,,,,,,0.025
6.01600000000326,,,,,3125.264601193907,,,,,,89.443,,0.025
8.057000000000698,,,,,,3158.712022136081,,,,,,152.786,0.025
9.103000000002794,3619.027077082767,3375.038160835852,,,,,61.497,55.498,,,,,0.025
10.010999999998603,,,,,3878.155081381139,,,,,,78.843,,0.025
10.016999999999825,,,,,,3744.8458821753525,,,,,,85.746,0.025
16.1929999999993,,3224.413878964497,1855.4274023328276,,,,,252.951,178.257,,,,0.025
22.06300000000192,,2622.7261602112812,1502.3458838992553,,,,,147.028,152.297,,,,0.025
26.97400000000198,,,,,,2177.0230336901527,,,,,,94.062,0.025
27.01600000000326,,,,,1165.947783987617,,,,,,113.442,,0.025
28.921000000002095,,,,,1017.7972344503241,,,,,,88.765,,0.025
28.9320000000007,,,,,,2052.1111171753078,,,,,,104.196,0.025
30.885999999998603,,,,,,1976.0427813600095,,,,,,77.199,0.025
31.04200000000128,,,,,798.507735942041,,,,,,64.061,,0.025
32.97600000000239,,,,,,1577.9673263675852,,,,,,147.91,0.025
32.99500000000262,,,,,595.1487461860766,,,,,,82.064,,0.025
34.97299999999814,,,,,,1801.4159525688613,,,,,,68.541,0.025
35.02300000000105,474.4662878182468,,1452.0947381434753,,,,45.985,,67.656,,,,0.025
36.89600000000064,,,,,,1732.2278687165253,,,,,,85.74,0.025
36.917999999997846,,,,,606.8993524754866,,,,,,80.268,,0.025
40.01299999999901,369.0205173531156,,1284.2173031965424,,,,46.075,,58.359,,,,0.025
40.91500000000087,,,,,,1323.834758690835,,,,,,91.343,0.025
40.96899999999732,,,,,368.21217922877753,,,,,,86.497,,0.025
42.90600000000268,,,,,324.1010035291147,,,,,,57.801,,0.025
42.92500000000291,,,,,,1245.902862465749,,,,,,66.444,0.025
44.91399999999703,,,,,,856.718257049652,,,,,,158.655,0.025
46.96800000000076,,,,,,861.2938369920937,,,,,,97.619,0.025
47.00299999999697,,664.2190518179037,,,,,,117.168,,,,,0.025
48.89299999999639,,,,,,823.5096323305265,,,,,,182.194,0.025
54.91000000000349,,,,,,879.8869636756028,,,,,,131.437,0.025
58.849999999998545,,,,,,717.9020668987179,,,,,,82.157,0.025
69.90699999999924,,,,,,566.21304186568,,,,,,65.27,0.025
71.82400000000052,,,,,,393.0881708799654,,,,,,75.707,0.025
85.79899999999907,,,,,,388.05732018866854,,,,,,76.309,0.025
91.78100000000268,,,,,,375.79223908135236,,,,,,74.335,0.025
95.74700000000303,,,,,,263.6235468765685,,,,,,61.577,0.025
120.8090000000011,,,,,,316.07226197494464,,,,,,72.974,0.025
