relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-292.15400000000227,,,,,,322.8111710518709,,,,,,79.513,0.049
-286.18300000000454,84.3142119712906,,,,,,59.646,,,,,,0.049
-285.18300000000454,108.41425096301457,,,,,,77.928,,,,,,0.049
-274.04299999999785,,,162.88726899221496,,,,,,137.873,,,,0.049
-272.07300000000396,,51.40136994313733,,,,,,59.529,,,,,0.049
-265.09300000000076,58.937380923116365,,,,,,48.006,,,,,,0.049
-259.2330000000002,114.6097548531699,,58.889208251589004,,,,61.125,,70.248,,,,0.049
-46.87299999999959,,119.92492870775789,,,,,,101.898,,,,,0.049
-42.853000000002794,,93.53378762673985,,,,,,45.501,,,,,0.049
-34.853000000002794,,,80.09947521929226,,,,,,64.936,,,,0.049
-26.90299999999843,,,80.15720653345043,,,,,,73.774,,,,0.049
-21.872999999999593,228.84966403685146,,,,,,67.824,,,,,,0.049
-17.88300000000163,213.6212097030457,,,,,,87.117,,,,,,0.049
-15.942999999999302,56.12113571373208,,,,,,56.779,,,,,,0.049
-10.93300000000454,,,,230.0675424484042,,,,,,183.432,,,0.049
0.0,,,,,705.0184783588566,,,,,,81.217,,0.049
0.013999999995576218,,,,,,873.9340576098219,,,,,,86.297,0.049
0.0669999999954598,,,,422.0254945359744,,,,,,102.013,,,0.049
0.07699999999749707,891.1690533861158,,,,,,60.147,,,,,,0.049
3.0270000000018626,1637.033517056429,,,,,,61.378,,,,,,0.049
5.915999999997439,,,,,,2418.378833064944,,,,,,85.957,0.049
5.98399999999674,,,,,2380.548410951436,,,,,,73.062,,0.049
7.006999999997788,2688.8357319504544,,,,,,80.815,,,,,,0.049
7.930000000000291,,,,,,2523.503019410154,,,,,,83.015,0.049
7.972999999998137,,,,,2960.7649449130604,,,,,,80.713,,0.049
10.156999999999243,,,2105.566686546794,,,,,,67.379,,,,0.049
10.16700000000128,3165.0544341049385,,,,,,77.408,,,,,,0.049
10.938999999998487,,,,,,3080.6292867402713,,,,,,100.491,0.049
10.968999999997322,,,,,3170.2903566757914,,,,,,93.47,,0.049
13.136999999995169,3189.7009966337414,,,,,,89.744,,,,,,0.049
13.146999999997206,,,2111.126321027235,,,,,,91.696,,,,0.049
13.875999999996566,,,,,3101.6736966120243,,,,,,99.499,,0.049
13.97099999999773,,,,,,3442.65040790826,,,,,,94.249,0.049
15.16700000000128,3113.5316343583486,,,,,,77.912,,,,,,0.049
17.925999999999476,,,,,,3164.6399683178347,,,,,,177.009,0.049
18.00499999999738,,,,,2796.69929091031,,,,,,88.203,,0.049
20.13699999999517,,2562.7586439395905,,,,,,112.588,,,,,0.049
20.146999999997206,,,,1115.6953532305808,,,,,,141.154,,,0.049
24.88699999999517,,,,,,2366.9079412418287,,,,,,133.431,0.049
24.93699999999808,,,,,1876.4823300731248,,,,,,133.253,,0.049
27.146999999997206,,,,780.3089201145458,,,,,,129.392,,,0.049
30.88799999999901,,,,,1093.232711567312,,,,,,65.489,,0.049
30.90899999999965,,,,,,1795.8774278972492,,,,,,75.72,0.049
32.927999999999884,,,,,,1739.4175114860006,,,,,,82.794,0.049
32.95999999999913,,,,,833.4520858294172,,,,,,68.801,,0.049
34.91599999999744,,,,,793.399420988872,,,,,,58.889,,0.049
34.92699999999604,,,,,,1612.281323053954,,,,,,75.067,0.049
35.93699999999808,745.9103999158866,,,,,,100.928,,,,,,0.049
35.947000000000116,,,1148.087394882823,,,,,,92.718,,,,0.049
36.90899999999965,,,,,,1381.0081130944916,,,,,,87.96,0.049
36.94999999999709,,,,,686.4359452413764,,,,,,75.562,,0.049
38.927999999999884,,,,,,1375.751903777231,,,,,,74.577,0.049
38.97200000000157,,,,,515.7421694490481,,,,,,66.948,,0.049
41.93699999999808,399.41918881802127,,940.9583323840222,,,,67.926,,79.116,,,,0.049
41.9429999999993,,,,,422.81940343900857,,,,,,71.127,,0.049
43.93999999999505,,,,,,1071.975871325723,,,,,,93.244,0.049
43.966999999996915,,,,,445.1615383165779,,,,,,66.455,,0.049
45.841999999996915,,,,,,900.2316554625306,,,,,,128.909,0.049
48.824000000000524,,,,,,937.1078770153848,,,,,,189.855,0.049
54.036999999996624,,685.1087233529245,,363.60890464592205,,,,80.419,,89.618,,,0.049
57.0570000000007,,,,439.4761201982129,,,,,,156.777,,,0.049
57.06699999999546,292.5726594667551,,,,,,97.311,,,,,,0.049
59.86699999999837,,,,,,694.7713276967402,,,,,,79.093,0.049
63.036999999996624,,429.11229721204177,,,,,,59.973,,,,,0.049
63.04699999999866,161.97473544914254,,,,,,50.872,,,,,,0.049
66.03699999999662,,,294.3708816225315,,,,,,177.09,,,,0.049
68.84900000000198,,,,,,488.26354121410463,,,,,,81.992,0.049
71.98700000000099,172.2927229163974,,,,,,71.255,,,,,,0.049
71.99699999999575,,,251.26519680777594,,,,,,77.388,,,,0.049
74.83099999999831,,,,,,524.1880649486064,,,,,,146.497,0.049
81.98700000000099,,320.8442884789387,,,,,,105.18,,,,,0.049
85.95700000000215,,218.67923813765142,305.9726972281708,,,,,54.039,66.111,,,,0.049
88.8269999999975,162.36813816764288,,,,,,68.783,,,,,,0.049
90.81699999999546,,279.85252674200376,,,,,,40.34,,,,,0.049
90.8269999999975,256.2500455951562,,,,,,63.746,,,,,,0.049
92.80299999999988,,,,,,375.6203509872532,,,,,,69.767,0.049
96.92699999999604,164.39993364492767,,112.83748742729972,,,,50.134,,50.577,,,,0.049
