relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-140.73999999999796,125.69226337583272,,,,,,80.855,,,,,,0.142
-133.76000000000204,,271.5136127144482,,,,,,113.334,,,,,0.142
-115.83999999999651,,142.90999785366705,,,,,,74.602,,,,,0.142
-112.76000000000204,135.43877718232028,,,,,,45.416,,,,,,0.142
-104.83999999999651,,151.67283224598606,,,,,,85.351,,,,,0.142
-96.80999999999767,,284.9039956232344,,,,,,71.399,,,,,0.142
-89.00200000000041,,,,,346.11117365038467,,,,,,73.824,,0.142
-82.90999999999622,,,128.49168047154635,,,,,,66.926,,,,0.142
-77.90999999999622,,,137.99947547383314,,,,,,63.974,,,,0.142
-76.91999999999825,105.58053702988187,,,,,,60.813,,,,,,0.142
-75.90000000000146,,128.9867965753511,,,,,,65.835,,,,,0.142
-69.90000000000146,,153.5216140951156,,,,,,116.156,,,,,0.142
-65.88999999999942,74.25991805404628,,69.09774963796427,,,,38.771,,57.15,,,,0.142
-59.87999999999738,155.91690173896845,139.7494479451703,,,,,57.881,53.138,,,,,0.142
-53.83999999999651,207.35406808984303,74.02119763572364,,,,,88.921,58.0,,,,,0.142
-49.01000000000204,,,119.62576733102286,,,,,,65.744,,,,0.142
-38.98999999999796,,48.08510975829815,,,,,,41.445,,,,,0.142
-37.979999999995925,,106.50773496952034,,,,,,30.796,,,,,0.142
-36.87999999999738,,,164.8803603873192,,,,,,55.376,,,,0.142
-34.970000000001164,71.52318054168876,,,82.06793093262156,,,40.828,,,92.844,,,0.142
-29.970000000001164,,48.496260941084905,,,,,,38.847,,,,,0.142
-28.979999999995925,58.12232668640437,,,,,,41.8,,,,,,0.142
-27.979999999995925,139.1911448225756,,,,,,35.579,,,,,,0.142
-22.010000000002037,202.7194521264613,,,,,,81.528,,,,,,0.142
-9.0,,,,444.4936883861487,,,,,,159.73,,,0.142
-8.989999999997963,,264.4918777186241,,,,,,64.234,,,,,0.142
-8.010000000002037,,309.44720398346396,208.14781019492304,,,,,69.021,87.787,,,,0.142
-4.101999999998952,,,,,,816.1628497901808,,,,,,110.609,0.142
0.0,1272.3290357142705,,1056.8527199873847,,,,58.104,,94.212,,,,0.142
2.9120000000039,,,,,1678.1886077383197,,,,,,101.662,,0.142
2.9539999999979045,,,,,,1491.4681571044027,,,,,,127.326,0.142
3.0,1514.5873544021204,1394.384274585996,,,,,52.37,56.001,,,,,0.142
4.989999999997963,1917.789301158154,,1590.5345677993469,,,,86.642,,76.909,,,,0.142
5.893000000003667,,,,,,1696.1984240273616,,,,,,139.616,0.142
5.9120000000039,,,,,1765.8259243633079,,,,,,145.799,,0.142
7.92500000000291,,,,,2200.9196722446395,,,,,,254.999,,0.142
7.949000000000524,,,,,,1948.4632789692564,,,,,,281.866,0.142
10.889000000002852,,,,,1883.860754493671,,,,,,408.372,,0.142
12.0,,2266.017789726855,,1952.580076758292,,,,135.424,,188.126,,,0.142
13.989999999997963,,2583.678228052178,2030.0109636879633,,,,,78.603,105.337,,,,0.142
14.911000000000058,,,,,,2986.0925081916776,,,,,,329.278,0.142
16.0,,3124.522436486754,,2086.8250792893073,,,,87.722,,113.323,,,0.142
17.906000000002678,,,,,,3282.5733179528124,,,,,,299.72,0.142
19.9800000000032,,,,2448.092021799155,,,,,,99.897,,,0.142
20.89100000000326,,,,,2536.685074524583,,,,,,126.06,,0.142
20.9800000000032,,2889.9956485421835,2635.4938959249566,,,,,63.06,78.407,,,,0.142
21.970000000001164,,2952.680820709644,,,,,,76.963,,,,,0.142
21.9800000000032,,,,2013.717596751199,,,,,,124.732,,,0.142
22.910000000003492,,,,,2607.100858682003,,,,,,163.608,,0.142
22.970000000001164,3114.2980124035225,,,,,,64.269,,,,,,0.142
24.970000000001164,3001.142031666504,,2778.32990638513,,,,70.145,,60.045,,,,0.142
29.970000000001164,,,2486.649051269833,,,,,,137.238,,,,0.142
32.89400000000023,,,,,,3619.537229330594,,,,,,203.946,0.142
