relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-288.09999999999854,137.81750790829267,,,,,,70.757,,,,,,0.011
-275.1599999999962,,,98.12969773883457,,,,,,114.65,,,,0.011
-270.1200000000026,,,,172.66267005034305,,,,,,136.483,,,0.011
-257.1800000000003,88.39015010948431,,,,,,46.546,,,,,,0.011
-243.22000000000116,,106.74350692528623,,,,,,111.118,,,,,0.011
-208.27999999999884,,57.6740896839265,,,,,,61.263,,,,,0.011
-196.34999999999854,,,57.92836713002526,,,,,,38.836,,,,0.011
-189.36000000000058,64.96081066425955,,,255.66242074833642,,,57.249,,,79.88,,,0.011
-187.34999999999854,,,45.49395703883537,,,,,,52.421,,,,0.011
-177.37000000000262,,79.49879859270303,,92.0873665177622,,,,52.898,,93.146,,,0.011
-159.34999999999854,93.34492008780495,,,,,,93.326,,,,,,0.011
-156.36000000000058,,72.74971390969742,,,,,,74.353,,,,,0.011
-124.38999999999942,,131.13607013407494,,224.72330729825998,,,,105.355,,145.653,,,0.011
0.0,,259.94649764471757,546.0854885293245,,,,,70.888,92.01,,,,0.011
1.8099999999976717,,,,,891.6677829670585,,,,,,220.522,,0.011
1.8700000000026193,,,,,,489.1712932566121,,,,,,131.595,0.011
3.0200000000040745,639.4360966682585,,,530.6320909709822,,,66.885,,,67.942,,,0.011
3.8770000000004075,,,,,743.9229691296074,,,,,,106.614,,0.011
6.868000000002212,,,,,,937.8147839587533,,,,,,93.274,0.011
6.89100000000326,,,,,846.8388160934383,,,,,,80.037,,0.011
8.85399999999936,,,,,,854.0461117508225,,,,,,93.967,0.011
8.889000000002852,,,,,1162.7145762900186,,,,,,71.319,,0.011
8.989999999997963,916.2610457271248,916.0599556350783,,,,,55.883,56.474,,,,,0.011
10.847000000001572,,,,,,1049.4710448432022,,,,,,74.16,0.011
10.86699999999837,,,,,989.2687655800324,,,,,,70.898,,0.011
12.859000000004016,,,,,945.1981854133599,,,,,,91.598,,0.011
12.891999999999825,,,,,,1032.2394866438838,,,,,,77.917,0.011
13.020000000004075,1010.4691083237159,,689.8151589365635,,,,71.138,,59.865,,,,0.011
14.874000000003434,,,,,,969.5772928087987,,,,,,72.144,0.011
14.88799999999901,,,,,1053.8281016387414,,,,,,68.207,,0.011
19.020000000004075,478.6768418377333,,529.8630584431468,,,,84.593,,74.569,,,,0.011
20.94000000000233,,837.781452311246,,,,,,96.672,,,,,0.011
25.0,,587.6055273828017,242.00412025567752,,,,,204.847,157.462,,,,0.011
26.9800000000032,,362.5734323888092,,125.682407013366,,,,156.254,,140.037,,,0.011
28.020000000004075,,529.4326458564268,342.0900102362725,,,,,92.614,95.416,,,,0.011
29.0,,724.6337044458813,,,,,,102.117,,,,,0.011
29.010000000002037,,,,237.42322756297767,,,,,,120.05,,,0.011
31.84700000000157,,,,,,596.0088230249464,,,,,,106.718,0.011
33.794999999998254,,,,,260.8429516082333,,,,,,78.414,,0.011
33.832000000002154,,,,,,577.0215065154902,,,,,,86.792,0.011
35.8550000000032,,,,,,402.01881481997685,,,,,,67.334,0.011
37.78600000000006,,,,,,404.0819087065789,,,,,,61.888,0.011
37.919999999998254,109.05888592985326,,,,,,112.077,,,,,,0.011
37.93000000000029,,400.7135608848334,,,,,,97.783,,,,,0.011
39.93000000000029,124.92742897599912,,427.5885573405822,,,,55.606,,46.985,,,,0.011
40.71100000000297,,,,,,343.4983831960922,,,,,,110.13,0.011
43.98999999999796,40.320789358754205,241.9817807512671,,,,,39.119,46.34,,,,,0.011
52.94000000000233,,,167.63415611296153,,,,,,103.001,,,,0.011
74.91999999999825,,,76.48517982883006,,,,,,71.137,,,,0.011
80.87000000000262,,136.42264787162998,,,,,,80.041,,,,,0.011
86.87000000000262,,323.4952468063698,,,,,,103.886,,,,,0.011
95.88999999999942,,95.97637684477955,,,,,,44.957,,,,,0.011
99.84999999999854,,,67.32706044374643,,,,,,64.81,,,,0.011
103.81999999999971,,64.79880772976364,,,,,,34.782,,,,,0.011
141.77000000000407,,,,156.81137457564185,,,,,,112.458,,,0.011
146.76000000000204,,,,160.30184750474083,,,,,,81.125,,,0.011
149.70999999999913,39.09869575857378,,,,,,35.215,,,,,,0.011
154.6999999999971,,44.17899927990569,,,,,,48.726,,,,,0.011
164.62999999999738,80.54613507470994,,,,,,54.699,,,,,,0.011
165.62999999999738,65.04173027445827,,,,,,63.421,,,,,,0.011
166.62999999999738,,,,172.51139591816278,,,,,,114.958,,,0.011
168.69000000000233,,301.28977293144436,,,,,,140.586,,,,,0.011
180.6600000000035,145.49242170636973,,,,,,98.866,,,,,,0.011
