relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-296.08000000000175,139.95736695957305,,133.7241808150704,,,,83.613,,76.623,,,,0.082
-283.01000000000204,,,109.60317473250389,,,,,,64.862,,,,0.082
-270.15000000000146,131.31039232337162,,111.50124002816627,,,,68.305,,92.837,,,,0.082
-257.06000000000495,,,,510.5240650823076,,,,,,340.245,,,0.082
-110.75,,,,238.43481059743812,,,,,,146.377,,,0.082
-52.84000000000378,,,83.46179641121104,,,,,,55.427,,,,0.082
-52.830000000001746,,88.2539572769408,,,,,,46.936,,,,,0.082
-49.88000000000466,,140.7706145192323,,,,,,84.917,,,,,0.082
-41.38500000000204,0.07496236566744968,,,,,,77.131,,,,,,0.082
-25.810000000004948,,114.81813747250435,101.25745662701699,,,,,62.096,66.012,,,,0.082
-12.990000000005239,66.90851431047666,,,,,,53.37,,,,,,0.082
-9.940000000002328,,46.87782226314462,,,,,,30.814,,,,,0.082
-5.860000000000582,,67.25093547019581,,,,,,28.749,,,,,0.082
-2.889999999999418,76.82195838769134,,68.26573565505696,,,,62.216,,54.799,,,,0.082
0.0,,734.558386013604,,,,,,67.629,,,,,0.082
0.00999999999476131,900.6715083651858,,,,,,53.578,,,,,,0.082
2.0099999999947613,1891.0992710187536,,,1015.1806294023642,,,71.746,,,94.647,,,0.082
5.019999999996799,,2839.0029136067037,2452.314208064813,,,,,80.182,62.791,,,,0.082
10.94999999999709,,4758.302860758791,,,,,,124.324,,,,,0.082
10.959999999999127,,,,2412.3712717022777,,,,,,147.905,,,0.082
13.059999999997672,,5103.5825869485425,,,,,,121.18,,,,,0.082
13.069999999999709,,,3080.8080502634175,,,,,,81.975,,,,0.082
16.099999999998545,5411.698883815195,,,,,,79.87,,,,,,0.082
16.110000000000582,,,2993.4774313984944,,,,,,98.351,,,,0.082
26.049999999995634,3557.111545393378,,1932.6931604575857,,,,86.255,,93.968,,,,0.082
29.919999999998254,2734.880919488456,,,930.3341725680353,,,68.474,,,87.979,,,0.082
41.0199999999968,,,1323.9761201846065,,,,,,132.703,,,,0.082
41.029999999998836,,2135.0430356988404,,,,,,146.363,,,,,0.082
43.86999999999534,,1782.0053600500478,,858.5717610320135,,,,86.254,,123.632,,,0.082
50.86000000000058,549.1400975199582,,,,,,60.002,,,,,,0.082
52.849999999998545,,,1491.0866349388812,,,,,,79.027,,,,0.082
52.86000000000058,648.264017258327,,,,,,58.883,,,,,,0.082
58.0,466.97871448998893,,880.3988375078527,,,,39.005,,76.468,,,,0.082
65.96999999999389,,617.6878873810184,610.3035690155541,,,,,116.638,61.579,,,,0.082
66.91999999999825,,,,442.7919917916786,,,,,,115.003,,,0.082
67.93000000000029,,1008.3040409945868,764.1853186544674,,,,,111.341,93.467,,,,0.082
68.95999999999913,,1079.3089404317436,,564.0144903674806,,,,104.442,,226.121,,,0.082
71.91999999999825,,565.7355991153311,,,,,,69.674,,,,,0.082
71.93000000000029,,,,311.24063192365605,,,,,,106.292,,,0.082
74.90999999999622,284.9819268124212,,,,,,45.176,,,,,,0.082
76.88999999999942,,,487.2062461780219,,,,,,60.973,,,,0.082
76.89999999999418,345.9802503981695,,,,,,47.795,,,,,,0.082
78.90999999999622,351.9456765502318,,,,,,33.27,,,,,,0.082
78.91999999999825,,,335.0471782937735,,,,,,40.613,,,,0.082
84.88999999999942,405.60031855901445,,226.03015381670826,,,,70.224,,67.835,,,,0.082
