relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-254.09000000000378,,,,404.8673475791587,,,,,,284.958,,,0.037
-252.1800000000003,,118.46497952132435,,,,,,73.815,,,,,0.037
-80.81999999999971,,57.986202206187336,,,,,,57.681,,,,,0.037
-79.80000000000291,,,112.82029413768723,,,,,,55.234,,,,0.037
-78.80000000000291,,95.78189123782218,,,,,,69.099,,,,,0.037
-65.84000000000378,67.60895889713856,,,,,,69.713,,,,,,0.037
-51.91000000000349,,,91.81169314075295,,,,,,62.106,,,,0.037
-49.86000000000058,,,,106.67812023783263,,,,,,110.539,,,0.037
-38.41500000000087,4.361065267282119,,,,,,71.239,,,,,,0.037
-37.94000000000233,,63.775655337964054,,,,,,51.557,,,,,0.037
-30.830000000001746,1035.4587931514043,,,,,,853.934,,,,,,0.037
-27.959999999999127,98.78027828422226,,,,,,101.125,,,,,,0.037
-4.0200000000040745,,99.36906040731324,,,,,,46.475,,,,,0.037
-2.8800000000046566,140.72526202257555,,112.09280665965171,,,,41.199,,41.999,,,,0.037
-2.0050000000046566,,,,,265.82436845497597,,,,,,70.727,,0.037
0.0,633.5878734967836,472.1356323269171,,,,,78.16,75.077,,,,,0.037
0.922999999995227,,,,,,668.1186451731845,,,,,,104.626,0.037
2.8759999999965657,,,,,1081.062375078071,,,,,,85.158,,0.037
2.900999999998021,,,,,,1128.4064492712037,,,,,,85.434,0.037
4.029999999998836,1507.767593127192,,,,,,67.828,,,,,,0.037
4.040000000000873,,,,1456.4842813145965,,,,,,111.201,,,0.037
4.951999999997497,,,,,,1880.1694278796365,,,,,,89.77,0.037
6.029999999998836,1931.071553058821,,1698.1413790445022,,,,120.922,,67.503,,,,0.037
6.877999999996973,,,,,,2232.136730823679,,,,,,201.563,0.037
6.938000000001921,,,,,2302.585626381742,,,,,,165.931,,0.037
7.989999999997963,,2429.9246046350563,,1844.4900481059092,,,,82.211,,104.733,,,0.037
10.919000000001688,,,,,2580.4187320564342,,,,,,423.238,,0.037
13.004000000000815,,,,,2565.44135906177,,,,,,509.594,,0.037
15.87999999999738,,,,,,2588.0120960147233,,,,,,102.254,0.037
15.9629999999961,,,,,2472.4862922990674,,,,,,118.281,,0.037
17.836999999999534,,,,,2017.0685435799062,,,,,,77.755,,0.037
17.879000000000815,,,,,,2967.6660455222373,,,,,,103.778,0.037
20.010000000002037,,,1524.7508188286774,,,,,,54.303,,,,0.037
20.0199999999968,1612.8246822670483,,,,,,85.181,,,,,,0.037
21.856999999996333,,,,,,1936.720586457331,,,,,,78.795,0.037
21.911999999996624,,,,,1271.0256074288816,,,,,,59.981,,0.037
23.833999999995285,,,,,1000.3735236838861,,,,,,80.226,,0.037
23.891999999999825,,,,,,1846.326788955542,,,,,,81.806,0.037
25.838999999999942,,,,,823.5176747216166,,,,,,77.696,,0.037
25.88799999999901,,,,,,1795.5151712737054,,,,,,79.26,0.037
26.989999999997963,844.1094164615565,,1328.0027904214403,,,,61.332,,61.393,,,,0.037
27.938999999998487,,,,,,1539.0491536867817,,,,,,95.328,0.037
29.828999999997905,,,,,582.4417568064833,,,,,,69.204,,0.037
29.84900000000198,,,,,,1390.8775381157157,,,,,,73.201,0.037
29.939999999995052,555.8592968816108,1291.9593006699076,,,,,48.126,61.106,,,,,0.037
31.796000000002095,,,,,,1133.1598966442264,,,,,,78.372,0.037
31.85399999999936,,,,,598.577781470752,,,,,,67.012,,0.037
31.87999999999738,422.6487817298242,,1159.6267736575874,,,,71.536,,86.707,,,,0.037
33.84900000000198,,,,,,1058.7206157489545,,,,,,120.371,0.037
33.875999999996566,,,,,319.2794505679249,,,,,,93.804,,0.037
35.98199999999633,,,,,326.21608645808186,,,,,,76.452,,0.037
36.01900000000023,,,,,,1172.4663333962283,,,,,,118.328,0.037
40.83499999999913,,,,,,862.0057380221136,,,,,,224.28,0.037
42.85399999999936,,,,,,748.3757643786707,,,,,,176.567,0.037
44.04000000000087,,561.308489037682,745.0079792477185,,,,,163.227,156.461,,,,0.037
46.0,,375.53525101391443,,,,,,94.113,,,,,0.037
46.849999999998545,,,,,,664.5963962722863,,,,,,69.394,0.037
47.87999999999738,147.9424063595567,,551.7736513575618,,,,61.17,,56.952,,,,0.037
49.93999999999505,145.05238023276934,,,310.8238379578804,,,73.809,,,107.254,,,0.037
50.80500000000029,,,,,,471.8928425997866,,,,,,75.598,0.037
69.88999999999942,,87.92438651608941,,,,,,81.195,,,,,0.037
69.90000000000146,,,200.74814283925065,,,,,,77.21,,,,0.037
70.90000000000146,,213.86272608386184,,,,,,110.291,,,,,0.037
71.86000000000058,,297.4196495587881,200.51560285360293,,,,,141.697,133.974,,,,0.037
73.86000000000058,,253.6260652562306,,194.5805798417702,,,,61.358,,115.719,,,0.037
74.88999999999942,,116.07062322139635,91.29967849345523,,,,,55.674,78.795,,,,0.037
79.80999999999767,71.48797595376625,,,,,,65.621,,,,,,0.037
87.86999999999534,,138.433954715528,,,,,,46.517,,,,,0.037
