relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-137.73999999999796,,,158.3732689332159,,,,,,82.616,,,,0.034
-130.75999999999476,,127.42985683864107,,196.00212044357554,,,,95.389,,182.573,,,0.034
-108.72999999999593,75.80629917504983,,113.86958451740972,,,,69.266,,83.635,,,,0.034
-101.83999999999651,,339.3025689700599,,,,,,86.556,,,,,0.034
-94.83999999999651,,127.58373014893886,,,,,,95.881,,,,,0.034
-91.7699999999968,,,70.25406376054556,,,,,,86.023,,,,0.034
-91.75999999999476,238.17138927862058,,,,,,86.223,,,,,,0.034
-85.87999999999738,,67.50595501141035,,,,,,70.495,,,,,0.034
-61.93000000000029,86.73243504414793,,,321.09065966837215,,,59.21,,,107.351,,,0.034
-57.81999999999971,,,151.39953946300423,,,,,,96.215,,,,0.034
-51.779999999998836,156.70989335721504,,,,,,55.94,,,,,,0.034
-48.87999999999738,,83.2378755670656,,,,,,95.278,,,,,0.034
-46.98999999999796,,,59.15148746005486,,,,,,64.673,,,,0.034
-46.979999999995925,96.963994450738,,,,,,61.725,,,,,,0.034
-39.98999999999796,,141.831098344679,,,,,,102.737,,,,,0.034
-36.93000000000029,,157.93361518288242,,,,,,84.186,,,,,0.034
-33.86999999999534,,,,187.26026889152803,,,,,,90.167,,,0.034
-28.93000000000029,69.44084198154881,,,,,,53.991,,,,,,0.034
-28.919999999998254,,,223.31532877898977,,,,,,66.826,,,,0.034
-27.909999999996217,147.28942001329563,95.1359667436116,,,,,57.457,77.896,,,,,0.034
-5.9799999999959255,,164.27492935092857,129.15724740197146,,,,,64.711,81.547,,,,0.034
-4.899999999994179,,154.45196063368,,190.24478018620934,,,,99.578,,192.828,,,0.034
-4.088999999999942,,,,,,433.6699084271112,,,,,,81.523,0.034
0.0,,,663.3510793592814,,443.337001228254,,,,96.468,,127.987,,0.034
2.0,566.1145457671702,494.8804054445807,,,,,70.673,65.34,,,,,0.034
4.040000000000873,477.5706104974166,,362.1001853536987,,,,60.703,,89.973,,,,0.034
4.9430000000065775,,,,,442.5721694742076,,,,,,97.785,,0.034
4.990000000005239,504.53474094274856,,,,,,55.435,,,,,,0.034
5.0,,517.5821367878082,,,,,,66.775,,,,,0.034
7.0,536.5771215567077,,465.05713538059456,,,,67.469,,66.895,,,,0.034
8.990000000005239,334.7186378518537,,,,,,50.946,,,,,,0.034
9.0,,487.2094958417784,,,,,,67.144,,,,,0.034
14.980000000003201,,,215.3006332999105,,,,,,104.048,,,,0.034
14.990000000005239,,173.55500702268998,,,,,,113.506,,,,,0.034
16.9800000000032,,,,193.54367118187528,,,,,,109.19,,,0.034
16.99000000000524,,350.60467197291734,,,,,,110.32,,,,,0.034
19.0,,466.9458979363676,300.3330187785994,,,,,81.318,87.039,,,,0.034
21.99000000000524,,497.15924749779344,249.00734611507704,,,,,101.853,77.556,,,,0.034
23.040000000000873,,305.5967287108192,,308.1078259500412,,,,74.302,,93.312,,,0.034
23.99000000000524,,,429.99960734698925,,,,,,84.832,,,,0.034
24.0,,347.3744160715254,,,,,,78.922,,,,,0.034
24.99000000000524,,337.8917024207099,,126.64262287999755,,,,94.14,,101.499,,,0.034
26.9800000000032,,,,925.3357804872943,,,,,,437.366,,,0.034
32.99000000000524,,,492.0978456802605,,,,,,136.634,,,,0.034
45.970000000001164,,288.3531654237175,,,,,,192.477,,,,,0.034
47.9600000000064,,320.9808088960126,,,,,,126.216,,,,,0.034
50.9600000000064,,284.234345336099,140.23647889900133,,,,,96.357,100.421,,,,0.034
52.9600000000064,,405.0498170616584,,,,,,179.683,,,,,0.034
