relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-294.3000000000029,,,136.68173826786287,,,,,,95.878,,,,0.092
-277.1600000000035,,,125.8830719546952,,,,,,67.863,,,,0.092
-268.2900000000009,,196.9026401657476,,,,,,120.855,,,,,0.092
-107.90000000000146,,,,183.45316597098935,,,,,,96.997,,,0.092
-91.90000000000146,66.41017785216529,78.38228004199742,,,,,37.729,45.395,,,,,0.092
-87.92000000000553,,,90.71020601175178,,,,,,66.469,,,,0.092
-79.92000000000553,146.67813289609555,,,,,,49.284,,,,,,0.092
-63.94000000000233,79.30249318482386,,,,,,77.55,,,,,,0.092
-52.0,57.816207500683156,,65.41429788400532,,,,45.842,,56.872,,,,0.092
-49.01000000000204,,,,175.52816717867233,,,,,,99.162,,,0.092
-46.9800000000032,,99.49084155376723,64.66753787800613,,,,,67.101,60.2,,,,0.092
-28.05000000000291,,176.72610627283026,,,,,,110.354,,,,,0.092
-19.090000000003783,,64.50128203855526,,,,,,69.388,,,,,0.092
-4.080000000001746,63.78983277822446,66.0161375950634,,,,,55.526,37.894,,,,,0.092
0.0,267.903427653102,279.1435145497941,,,,,46.821,40.696,,,,,0.092
0.8729999999995925,,,,,296.9137003444171,,,,,,67.205,,0.092
2.959999999999127,493.3945237772914,,,,,,56.742,,,,,,0.092
2.970000000001164,,,388.1778274581026,,,,,,77.259,,,,0.092
3.8110000000015134,,,,,,671.1761352458564,,,,,,85.551,0.092
3.8509999999951106,,,,,392.039835452985,,,,,,75.74,,0.092
5.763999999995576,,,,,279.93549456383255,,,,,,72.253,,0.092
5.790999999997439,,,,,,569.5741936946147,,,,,,72.092,0.092
5.860000000000582,445.4545831536359,450.6005580173786,,,,,62.096,66.341,,,,,0.092
7.786999999996624,,,,,431.50621622483686,,,,,,74.523,,0.092
7.838999999999942,,,,,,721.769654517481,,,,,,74.837,0.092
10.869999999995343,,,503.167126872451,,,,,,64.209,,,,0.092
10.87999999999738,,648.3121981562902,,,,,,76.829,,,,,0.092
16.80999999999767,,741.8579462052707,,851.2926552909476,,,,103.627,,150.7,,,0.092
18.703999999997905,,,,,673.9038813317128,,,,,,73.981,,0.092
18.765999999995984,,,,,,884.9744228791549,,,,,,82.91,0.092
18.919999999998254,,534.4581896442611,744.1075989967586,,,,,84.231,74.202,,,,0.092
20.72599999999511,,,,,546.22583661764,,,,,,63.38,,0.092
20.743999999998778,,,,,,822.248756245113,,,,,,71.931,0.092
24.726999999998952,,,,,,554.0160155533298,,,,,,62.221,0.092
24.766999999999825,,,,,313.2598181537965,,,,,,62.237,,0.092
26.766999999999825,,,,,,525.2754240194948,,,,,,81.682,0.092
27.900000000001455,,408.8457206927898,,,,,,55.997,,,,,0.092
27.909999999996217,341.37099571479143,,,,,,61.334,,,,,,0.092
28.70499999999447,,,,,265.390020287356,,,,,,59.751,,0.092
28.745999999999185,,,,,,426.7804624191928,,,,,,65.855,0.092
30.68499999999767,,,,,,354.5079186507521,,,,,,77.506,0.092
31.909999999996217,207.98360114391525,,284.3276981332423,,,,78.497,,67.493,,,,0.092
35.779999999998836,,,,297.19880532602826,,,,,,123.368,,,0.092
53.75999999999476,119.00745209193255,,,,,,60.376,,,,,,0.092
71.82999999999447,,,101.87403327124925,,,,,,88.136,,,,0.092
74.81999999999971,,,,295.98201949025577,,,,,,218.733,,,0.092
80.7699999999968,,,,102.19638946792554,,,,,,115.221,,,0.092
82.75,133.23781597298645,,,,,,69.659,,,,,,0.092
84.7699999999968,,,86.57367220493546,,,,,,52.636,,,,0.092
90.75,48.70959050006988,,,,,,43.164,,,,,,0.092
