relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-181.6070000000036,,247.06007032174819,,317.90077020951117,,,,160.045,,181.763,,,0.069
-154.68700000000536,,,,329.0294855209418,,,,,,212.094,,,0.069
-152.66700000000128,,,320.47431549260534,,,,,,73.771,,,,0.069
-148.68700000000536,,,,141.1895272989337,,,,,,123.373,,,0.069
-147.68700000000536,,180.72683015732736,,,,,,187.168,,,,,0.069
-145.737000000001,,99.94476540263663,,322.65356740081586,,,,70.582,,116.25,,,0.069
-138.58699999999953,94.00206446707467,,,,,,47.365,,,,,,0.069
-133.7170000000042,120.03553641338816,,,,,,43.317,,,,,,0.069
-130.737000000001,,74.1273193788854,,,,,,59.067,,,,,0.069
-130.72699999999895,55.6104376556591,,,,,,45.819,,,,,,0.069
-125.77700000000186,,180.21954411965982,,,,,,103.422,,,,,0.069
-120.79699999999866,,275.81294877692113,,,,,,164.387,,,,,0.069
-117.75700000000506,,,,162.63759680823648,,,,,,134.981,,,0.069
-108.81700000000274,127.13007936325418,,,,,,50.177,,,,,,0.069
-108.8070000000007,,,227.68284584784672,,,,,,83.363,,,,0.069
-104.66700000000128,113.25580278859606,,,,,,58.613,,,,,,0.069
-93.83699999999953,,224.24514560214965,,,,,,106.12,,,,,0.069
-91.81700000000274,,,238.6691573331679,,,,,,164.334,,,,0.069
-88.71700000000419,,301.1325247451425,,,,,,98.756,,,,,0.069
-86.84700000000157,,,93.94875461230889,,,,,,66.522,,,,0.069
-76.77700000000186,148.23237804160965,,,,,,69.04,,,,,,0.069
-72.89700000000448,202.8920915355455,,,,,,58.066,,,,,,0.069
-72.88700000000244,,,261.3839767060014,,,,,,61.927,,,,0.069
-68.92700000000332,,,,246.07217073203782,,,,,,128.014,,,0.069
-67.93700000000536,143.02417256758662,,,,,,102.533,,,,,,0.069
-67.92700000000332,,,230.80616171056275,,,,,,154.891,,,,0.069
-65.99599999999919,,,,,,989.7241837683946,,,,,,228.82,0.069
-63.90699999999924,,,,125.13646542973756,,,,,,131.708,,,0.069
-57.8070000000007,,84.74266224135233,,367.4092575648393,,,,43.829,,90.161,,,0.069
-14.947000000000116,,,258.24599738853084,,,,,,111.127,,,,0.069
-12.947000000000116,105.4674200862671,,,,,,109.352,,,,,,0.069
-10.947000000000116,143.75956715095933,,100.01040121622226,,,,76.948,,79.296,,,,0.069
-9.957000000002154,,,,170.48268129753953,,,,,,133.639,,,0.069
-1.9069999999992433,,427.47264207523045,402.8930828356171,,,,,133.689,85.169,,,,0.069
0.0,,,,,,1150.2539012710536,,,,,,130.548,0.069
1.9759999999951106,,,,,1528.6182261551935,,,,,,85.408,,0.069
2.0579999999972642,,,,,,1711.922467332838,,,,,,164.397,0.069
5.014999999999418,,,,,3005.6289973866064,,,,,,121.387,,0.069
7.97899999999936,,,,,3485.9312398822854,,,,,,105.104,,0.069
7.994999999995343,,,,,,4305.596975000428,,,,,,119.892,0.069
9.977999999995518,,,,,4369.38099165992,,,,,,100.509,,0.069
10.016999999999825,,,,,,4904.51534193237,,,,,,140.932,0.069
11.958999999995285,,,,,4951.245340853676,,,,,,94.373,,0.069
12.010999999998603,,,,,,5437.696234477217,,,,,,134.515,0.069
13.944999999999709,,,,,,6310.759566035242,,,,,,112.181,0.069
15.944999999999709,,,,,5061.063228692739,,,,,,104.733,,0.069
16.01799999999639,,,,,,6691.793117172928,,,,,,143.212,0.069
17.935999999994237,,,,,,6240.979006590912,,,,,,120.55,0.069
17.989999999997963,,,,,4758.02618263095,,,,,,133.06,,0.069
20.93499999999767,,,,,,6084.946809817232,,,,,,143.968,0.069
20.976999999998952,,,,,4878.3043733918785,,,,,,173.209,,0.069
23.95499999999447,,,,,3804.1470183553256,,,,,,243.346,,0.069
23.973999999994703,,,,,,4618.463909539111,,,,,,244.206,0.069
25.989000000001397,,,,,,4365.644509709289,,,,,,307.254,0.069
27.95300000000134,,,,,2897.242754695531,,,,,,201.888,,0.069
27.96600000000035,,,,,,4233.707530238204,,,,,,214.391,0.069
33.94999999999709,,,,,,3535.6082614889315,,,,,,113.339,0.069
35.95599999999831,,,,,,3630.537215057277,,,,,,162.425,0.069
37.93599999999424,,,,,,3911.755679777234,,,,,,150.047,0.069
44.932999999997264,,,,,866.6782112066678,,,,,,240.097,,0.069
