relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-284.012999999999,,,,,,633.0453783676935,,,,,,148.654,0.061
-207.18799999999464,,,,,,356.0500733033097,,,,,,81.768,0.061
-29.875999999996566,,,,,,330.85300563954036,,,,,,78.409,0.061
-18.885999999998603,,,,,272.5389479159821,,,,,,70.806,,0.061
-14.752000000000407,,50.76544197935913,,,,,,45.204,,,,,0.061
-8.731999999996333,,389.3845916976648,,,,,,139.17,,,,,0.061
0.0,,,,,1675.7794001241537,,,,,,72.914,,0.061
0.040000000000873115,,,,,,1751.5946604405065,,,,,,74.196,0.061
1.2780000000057044,,1534.5267941011032,,,,,,146.421,,,,,0.061
2.050999999999476,,,,,,1951.3568946348216,,,,,,76.362,0.061
2.085000000006403,,,,,1882.5646124931711,,,,,,78.314,,0.061
4.0200000000040745,,,,,1917.9361925549533,,,,,,80.069,,0.061
4.064000000005763,,,,,,1936.1465222156064,,,,,,90.111,0.061
6.022000000004482,,,,,,2268.0994438459443,,,,,,81.805,0.061
6.071000000003551,,,,,2218.997517383026,,,,,,73.074,,0.061
8.068000000006577,,,,,,2242.3025339789065,,,,,,75.168,0.061
8.10000000000582,,,,,2180.3138921777304,,,,,,75.129,,0.061
8.228000000002794,,1685.1414873431359,,,,,,84.169,,,,,0.061
8.238000000004831,2203.584422389678,,,,,,82.728,,,,,,0.061
10.065000000002328,,,,,,2248.9352860622716,,,,,,76.171,0.061
10.085000000006403,,,,,2077.985665784898,,,,,,74.442,,0.061
12.022000000004482,,,,,1756.9920399990338,,,,,,95.926,,0.061
12.09100000000035,,,,,,2143.6438879017564,,,,,,89.438,0.061
14.957000000002154,,,,,,1896.1615582634654,,,,,,118.004,0.061
15.06300000000192,,,,,1686.8664972166264,,,,,,90.366,,0.061
16.218000000000757,,1464.1696382323169,,530.124928940462,,,,203.302,,277.957,,,0.061
17.943000000006577,,,,,,1470.5531918489446,,,,,,165.471,0.061
20.02100000000064,,,,,,1881.4512596317795,,,,,,179.295,0.061
28.999000000003434,,,,,,1084.4420326873978,,,,,,75.618,0.061
29.02900000000227,,,,,565.6612924540784,,,,,,68.218,,0.061
30.96100000000297,,,,,,1101.0516263446266,,,,,,92.615,0.061
35.158000000003085,338.49201985202603,719.1486055089825,,,,,124.935,137.756,,,,,0.061
38.041000000004715,,,,,304.8755448190691,,,,,,84.666,,0.061
38.10599999999977,,,,,,864.0412852323838,,,,,,102.05,0.061
42.04200000000128,,,,,,601.4126320343638,,,,,,72.707,0.061
42.12800000000425,316.88938087534945,,,202.4858093339619,,,82.95,,,131.953,,,0.061
43.963000000003376,,,,,,587.0570655475265,,,,,,140.762,0.061
45.9600000000064,,,,,,592.837475116186,,,,,,148.073,0.061
47.12800000000425,,,105.13321097612031,,,,,,104.646,,,,0.061
47.138000000006286,,663.2146839178102,,,,,,125.991,,,,,0.061
57.94600000000355,,,,,,289.50454000563815,,,,,,68.136,0.061
58.16800000000512,,,87.56188165134516,,,,,,65.481,,,,0.061
58.177999999999884,183.15776613874567,,,,,,70.433,,,,,,0.061
60.91900000000169,,,,,,384.5210230539099,,,,,,69.518,0.061
63.016999999999825,,,,,226.85835316909157,,,,,,58.723,,0.061
64.9120000000039,,,,,,568.6824331279091,,,,,,70.843,0.061
66.91800000000512,,,,,,300.1280287185487,,,,,,68.356,0.061
67.01800000000367,,194.60740573677245,,,,,,81.1,,,,,0.061
67.03000000000611,,,,,286.94155342677834,,,,,,62.075,,0.061
82.82900000000518,,,,,,323.3888500916867,,,,,,83.691,0.061
