relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-289.98999999999796,,,37.74590595007972,,,,,,44.773,,,,0.048
-284.11999999999534,59.97226558316731,,77.62740834200993,,,,47.613,,59.372,,,,0.048
-279.9699999999939,63.32029740032613,,,,,,49.042,,,,,,0.048
-279.9599999999991,,94.22037243775468,,,,,,47.145,,,,,0.048
-270.9799999999959,,170.71492268630908,,285.31590430588693,,,,111.275,,127.694,,,0.048
-265.1559999999954,,,,,329.78822878353145,,,,,,97.794,,0.048
-67.73999999999796,,,,98.53215056196368,,,,,,90.576,,,0.048
-51.7899999999936,,,71.38046253832808,,,,,,78.159,,,,0.048
-46.7699999999968,176.3844588330114,,,,,,101.228,,,,,,0.048
-46.75999999999476,,103.07320313303073,,,,,,69.825,,,,,0.048
-40.82999999999447,100.5372162991292,,74.82416616935687,,,,57.077,,58.123,,,,0.048
-38.7699999999968,,,,181.80426384075386,,,,,,115.023,,,0.048
-32.779999999998836,,250.6715300804984,,,,,,107.207,,,,,0.048
-21.859999999993306,105.92200660253297,,,,,,40.069,,,,,,0.048
-18.968999999997322,,,,,,214.82613463728865,,,,,,59.863,0.048
-17.87999999999738,79.07670800688497,45.31251500608406,,,,,50.646,46.371,,,,,0.048
-16.91599999999744,,,,,216.56785248442858,,,,,,59.502,,0.048
-14.719999999993888,49.03716166422112,,,,,,41.381,,,,,,0.048
-11.75,,,212.08408187772298,,,,,,55.41,,,,0.048
0.0,,,,,,781.2522447294805,,,,,,121.536,0.048
0.05400000000372529,,,,,1209.7907848989917,,,,,,137.944,,0.048
2.25,,,,798.1649044231913,,,,,,106.678,,,0.048
2.2600000000020373,1455.7258775945386,,,,,,110.989,,,,,,0.048
5.240000000005239,1855.3648928523858,,1516.52900587467,,,,68.239,,132.442,,,,0.048
5.981000000007043,,,,,1999.1077640564688,,,,,,67.332,,0.048
6.02100000000064,,,,,,1808.2207027317231,,,,,,79.93,0.048
8.031000000002678,,,,,,2113.5067678547234,,,,,,71.708,0.048
8.069000000003143,,,,,2192.3212478095206,,,,,,72.756,,0.048
9.989000000001397,,,,,,2276.71119582733,,,,,,78.992,0.048
10.014000000002852,,,,,2282.3988655066987,,,,,,71.889,,0.048
11.05000000000291,2343.3945307164654,,1921.3550161129892,,,,94.82,,117.578,,,,0.048
11.976000000002387,,,,,2332.132844079389,,,,,,77.667,,0.048
12.01600000000326,,,,,,2347.091043538445,,,,,,79.741,0.048
14.019000000000233,,,,,,2732.0447163040362,,,,,,74.275,0.048
14.086000000002969,,,,,2636.3005723748774,,,,,,78.119,,0.048
14.220000000001164,2526.715707644705,2322.073746430281,,,,,71.405,64.188,,,,,0.048
16.020000000004075,,,,,,2649.6142268855588,,,,,,77.207,0.048
17.05000000000291,2324.249000945763,,2274.549394045612,,,,77.819,,66.242,,,,0.048
18.08600000000297,,,,,,2512.213583038191,,,,,,97.305,0.048
20.94000000000233,,,,,,2524.959363443964,,,,,,127.758,0.048
21.02400000000489,,,,,2190.880283594684,,,,,,115.994,,0.048
22.17000000000553,,2290.653141737141,,,,,,333.432,,,,,0.048
22.94000000000233,,,,,2202.858088699831,,,,,,212.523,,0.048
22.976000000002387,,,,,,1981.78034090828,,,,,,169.141,0.048
25.01100000000588,,,,,1878.0488559251417,,,,,,280.835,,0.048
26.950000000004366,,,,,,1935.7539116652113,,,,,,213.902,0.048
