relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-230.37000000000262,124.07857049435378,,,,,,91.507,,,,,,0.023
-216.36000000000058,,,195.36807912124652,,,,,,143.611,,,,0.023
-212.36000000000058,,56.27124124130029,,,,,,67.097,,,,,0.023
-208.34999999999854,128.58700404480484,,,276.6166327924693,,,74.064,,,125.603,,,0.023
-200.34999999999854,225.204624793537,61.79109356060226,,,,,82.743,76.467,,,,,0.023
-199.36000000000058,105.88609623700076,,,,,,85.935,,,,,,0.023
-175.34999999999854,,,325.47467151266585,,,,,,128.483,,,,0.023
0.0,,597.8872173130688,,,,,,60.545,,,,,0.023
4.930000000000291,,114.17056440233348,,,,,,67.599,,,,,0.023
15.94999999999709,,914.934526771614,,651.4925371902117,,,,77.973,,134.021,,,0.023
27.839999999996508,1671.9182964925035,,,996.0120697035147,,,101.984,,,141.2,,,0.023
36.95999999999913,875.0097418434221,,,,,,73.372,,,,,,0.023
36.970000000001164,,,938.2325020068043,,,,,,91.16,,,,0.023
38.86999999999534,922.3531535126137,933.8147867512922,,,,,71.169,95.741,,,,,0.023
53.80999999999767,,,829.0615497262455,,,,,,111.538,,,,0.023
53.81999999999971,,655.3684338332368,,,,,,85.463,,,,,0.023
55.93999999999505,125.16059454646202,,1397.195821137629,,,,132.931,,104.978,,,,0.023
62.90999999999622,191.6014067760673,,110.76673272456988,,,,82.534,,131.414,,,,0.023
71.77999999999884,102.31390505499067,,,142.16711599807,,,90.182,,,141.198,,,0.023
81.75999999999476,,633.5297526219817,,842.6705884548178,,,,147.425,,218.062,,,0.023
84.81999999999971,,,73.85559197819951,,,,,,79.88,,,,0.023
86.83000000000175,,,,1860.4451112291083,,,,,,1110.736,,,0.023
95.79999999999563,84.70131793933636,80.64179044446175,,,,,72.729,73.581,,,,,0.023
