relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-32.80500000000029,,63.6104185149131,,,,,,45.756,,,,,0.032
-28.80500000000029,,,185.0302337989268,,,,,,78.663,,,,0.032
-24.834999999999127,,,120.78816297988814,,,,,,91.66,,,,0.032
-21.904999999998836,,,53.78408388176324,,,,,,42.896,,,,0.032
-16.8550000000032,,119.504110266954,,147.69695023143308,,,,60.772,,105.598,,,0.032
-4.9650000000037835,156.2350046853438,,,,,,48.404,,,,,,0.032
-2.0319999999992433,,,,,,375.10114286192095,,,,,,84.631,0.032
-1.989000000001397,,,,,316.6636387586234,,,,,,70.779,,0.032
-0.046000000002095476,,,,,423.5142324561677,,,,,,80.302,,0.032
0.0,,,,,,556.0160088065269,,,,,,77.812,0.032
2.0089999999981956,,,,,,859.4825440342978,,,,,,83.853,0.032
2.047999999995227,,,,,775.1927170702061,,,,,,88.011,,0.032
2.154999999998836,778.2215870334364,783.4640073422155,,,,,61.112,62.12,,,,,0.032
3.9720000000015716,,,,,,1260.6245222115856,,,,,,87.661,0.032
4.026999999994587,,,,,1238.8617772193436,,,,,,84.132,,0.032
4.154999999998836,1075.8832399288372,,,,,,47.075,,,,,,0.032
4.165000000000873,,,906.8787711911841,,,,,,52.865,,,,0.032
5.951999999997497,,,,,,1396.1620278512528,,,,,,88.684,0.032
6.042999999997846,,,,,1659.3979039831834,,,,,,75.691,,0.032
6.064999999995052,1324.7163765979944,,,,,,60.005,,,,,,0.032
8.028999999994994,,,,,,1754.9486052365098,,,,,,94.934,0.032
9.987999999997555,,,,,,1764.9872223116893,,,,,,92.093,0.032
10.026999999994587,,,,,1955.9986851686187,,,,,,86.538,,0.032
11.890999999995984,,,,,,2004.5631303182333,,,,,,157.022,0.032
12.000999999996566,,,,,1972.8753362534544,,,,,,136.783,,0.032
17.95499999999447,,,,,1493.9814924780785,,,,,,270.495,,0.032
21.00499999999738,,,1115.9422837677039,,,,,,89.262,,,,0.032
21.014999999999418,,1191.2717162214283,,,,,,90.417,,,,,0.032
22.890999999995984,,,,,666.9231562868168,,,,,,170.471,,0.032
25.9059999999954,,,,,617.763925756544,,,,,,83.207,,0.032
25.936000000001513,,,,,,1096.2004748270838,,,,,,99.278,0.032
27.955999999998312,,,,,438.3918220082098,,,,,,76.239,,0.032
30.104999999995925,296.339617313178,,597.755904323493,,,,59.721,,76.663,,,,0.032
34.91899999999441,,,,,,639.073601088953,,,,,,110.011,0.032
36.03499999999622,213.1882530545251,,775.6823205041572,,,,52.257,,50.658,,,,0.032
38.974999999998545,296.3462942605629,,,675.9238636693389,,,64.56,,,117.957,,,0.032
39.87199999999575,,,,,,598.6837568350339,,,,,,160.464,0.032
48.94499999999971,,,,123.69423634962769,,,,,,129.808,,,0.032
49.77100000000064,,,,,,474.8548104598498,,,,,,98.186,0.032
54.025000000001455,,,,236.15731778425354,,,,,,200.837,,,0.032
61.8269999999975,,,,,,316.00727677229435,,,,,,82.978,0.032
62.99499999999534,84.36656868271639,205.97998288384525,,,,,47.195,49.201,,,,,0.032
