relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-298.9409999999989,,182.67179233000886,,,,,,88.925,,,,,0.031
-298.93099999999686,,,118.2214948431113,,,,,,89.285,,,,0.031
-296.97099999999773,,89.1554550685134,,,,,,63.072,,,,,0.031
-294.95100000000093,,72.55010227199432,,,,,,53.813,,,,,0.031
-284.11099999999715,,128.40339480535175,,,,,,64.032,,,,,0.031
-279.97099999999773,114.95847275789222,,96.29167989109841,,,,78.478,,63.433,,,,0.031
-267.00100000000384,,95.22389216903616,,,,,,81.788,,,,,0.031
-261.0310000000027,111.48805759460609,,,,,,57.407,,,,,,0.031
-60.83099999999831,,,,130.27619359648864,,,,,,132.799,,,0.031
-52.77100000000064,61.98057224989427,,,,,,45.271,,,,,,0.031
-31.82100000000355,,150.48432852466524,,,,,,117.62,,,,,0.031
-24.82100000000355,,,,119.94025872898973,,,,,,81.783,,,0.031
-21.870999999999185,83.84784785211527,,,,,,48.671,,,,,,0.031
-17.89100000000326,,44.94839714084005,,,,,,40.514,,,,,0.031
-11.751000000003842,104.17012878432743,,73.61556509932265,,,,51.858,,54.156,,,,0.031
-9.900999999998021,,,,256.3925491091878,,,,,,118.798,,,0.031
-6.868000000002212,,,,,196.57902228248366,,,,,,56.266,,0.031
-5.911000000000058,,232.26835405848334,,,,,,61.96,,,,,0.031
-5.900999999998021,,,330.5200485535269,,,,,,70.905,,,,0.031
0.0,,,,,,696.306579185922,,,,,,125.058,0.031
0.040000000000873115,,,,,803.2219022575422,,,,,,117.348,,0.031
1.9979999999995925,,,,,1048.3346784654138,,,,,,117.034,,0.031
2.2489999999961583,966.9581501462936,,,790.4297654254783,,,97.343,,,101.441,,,0.031
2.9839999999967404,,,,,1045.5496727268433,,,,,,92.875,,0.031
5.239000000001397,,,872.3305654610712,,,,,,79.982,,,,0.031
5.248999999996158,1105.165853537872,,,,,,84.266,,,,,,0.031
5.980999999999767,,,,,1013.5075846871355,,,,,,58.038,,0.031
6.021999999997206,,,,,,988.085597108365,,,,,,66.908,0.031
7.998999999996158,,,,,1124.5076511806178,,,,,,78.375,,0.031
8.034999999996217,,,,,,1095.7013235470213,,,,,,73.413,0.031
9.97899999999936,,,,,,1163.9876881586267,,,,,,75.26,0.031
10.02100000000064,,,,,1019.23895223256,,,,,,67.275,,0.031
12.017999999996391,,,,,,1170.209991862898,,,,,,83.905,0.031
12.078000000001339,,,,,997.7775194437526,,,,,,69.545,,0.031
12.269000000000233,910.4244327595818,1211.068523667906,,,,,58.442,72.484,,,,,0.031
14.02900000000227,,,,,,1078.3851537243077,,,,,,69.195,0.031
14.084999999999127,,,,,884.095715095401,,,,,,66.97,,0.031
16.016999999999825,,,,,,976.9494855833186,,,,,,72.709,0.031
17.06999999999971,,,,,,916.9721254179742,,,,,,92.79,0.031
18.084999999999127,,,,,,1059.2468728114918,,,,,,88.969,0.031
19.033000000003085,,,,,,923.2044346132832,,,,,,70.955,0.031
19.069000000003143,,,,,693.6406934578315,,,,,,70.343,,0.031
20.94000000000233,,,,,,779.2732225924001,,,,,,133.942,0.031
21.05999999999767,,,,,605.9996071161689,,,,,,93.922,,0.031
22.169000000001688,,,,548.1677250103469,,,,,,412.486,,,0.031
23.91700000000128,,,,,,883.0724100607573,,,,,,193.722,0.031
29.15899999999965,,453.63181272444933,454.06803419075885,,,,,54.666,69.688,,,,0.031
30.00499999999738,,,,,,544.1675293503821,,,,,,163.101,0.031
30.92399999999907,,,,,,402.7121205007357,,,,,,88.737,0.031
32.940999999998894,,,,,,565.6671061481132,,,,,,89.109,0.031
34.9629999999961,,,,,,487.4074904142964,,,,,,82.891,0.031
37.00499999999738,,,,,267.4057306018993,,,,,,75.994,,0.031
37.8949999999968,,,,,,557.9295264122319,,,,,,92.594,0.031
40.14899999999761,132.99487141093127,,550.4409942624255,,,,48.918,,62.445,,,,0.031
43.96499999999651,,,,,,308.00458922203893,,,,,,72.454,0.031
47.95900000000256,355.25671770747607,,,356.0679468469524,,,94.06,,,162.462,,,0.031
57.08899999999994,,148.19360111562037,,446.0304461788394,,,,79.713,,123.211,,,0.031
61.078999999997905,,190.68342045952878,125.68027089369726,,,,,45.071,70.287,,,,0.031
63.92899999999645,159.5958420968548,,,211.91379869997908,,,61.738,,,110.237,,,0.031
65.92899999999645,,133.26998009004404,,,,,,37.014,,,,,0.031
67.8179999999993,,,,,,369.7973901501267,,,,,,76.172,0.031
