relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-271.0460000000021,,,40.155150830451674,,,,,,45.269,,,,0.05
-83.77599999999802,52.43973835380605,,,,,,56.13,,,,,,0.05
-77.77599999999802,,,108.98086111933047,,,,,,64.111,,,,0.05
-77.76600000000326,,49.64808608518553,,,,,,52.745,,,,,0.05
-54.796000000002095,,59.933763287656085,,,,,,64.533,,,,,0.05
-54.78600000000006,101.9297192665759,,,,,,76.733,,,,,,0.05
-50.796000000002095,,73.28713808902539,,,,,,62.321,,,,,0.05
-33.8859999999986,,,61.47557181078307,,,,,,56.926,,,,0.05
-33.875999999996566,58.078076795786735,,,,,,52.153,,,,,,0.05
-26.745999999999185,,,110.46485582393412,,,,,,46.49,,,,0.05
-23.76600000000326,,,78.8175775756844,,,,,,58.86,,,,0.05
-2.0270000000018626,,,,,,383.94046384898763,,,,,,65.715,0.05
-0.040000000000873115,,,,,346.7649477236375,,,,,,73.473,,0.05
0.0,,,,,,396.6609361906541,,,,,,58.481,0.05
2.002999999996973,,,,,,549.8321259960848,,,,,,59.058,0.05
2.069999999999709,,,,,498.3921420753647,,,,,,60.378,,0.05
2.2039999999979045,472.4409988675012,590.6454478971426,,,,,48.401,53.843,,,,,0.05
4.004000000000815,,,,,,505.76422461137656,,,,,,55.132,0.05
5.033999999999651,560.6831818031151,,476.73220768134536,,,,55.692,,57.738,,,,0.05
6.069999999999709,,,,,,716.263545199552,,,,,,77.875,0.05
8.923999999999069,,,,,,691.8938106742462,,,,,,100.48,0.05
9.00800000000163,,,,,623.0168943081005,,,,,,115.13,,0.05
10.959999999999127,,,,,,761.8048054062643,,,,,,166.499,0.05
14.934000000001106,,,,,,913.0530365559232,,,,,,186.781,0.05
14.997999999999593,,,,,773.6406651316598,,,,,,209.125,,0.05
17.133999999998196,,574.7139017094647,,,,,,55.509,,,,,0.05
19.89100000000326,,,,,,699.5856452973336,,,,,,78.295,0.05
20.16399999999703,191.50496566111948,,,,,,101.544,,,,,,0.05
21.913000000000466,,,,,324.63900896182923,,,,,,83.525,,0.05
21.96600000000035,,,,,,602.5729149393048,,,,,,76.502,0.05
22.98399999999674,515.5126573995548,,615.4169686894409,,,,98.878,,82.384,,,,0.05
23.923000000002503,,,,,,413.52033681732235,,,,,,61.69,0.05
28.923000000002503,,,,,,692.1678411797881,,,,,,132.385,0.05
49.054000000003725,,123.31559166813162,217.7020231653553,,,,,53.066,55.241,,,,0.05
51.92399999999907,75.48944553728775,,,,,,58.435,,,,,,0.05
53.91399999999703,,116.7278067290438,,,,,,46.368,,,,,0.05
