relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-294.16999999999825,,,267.2084515901282,,,,,,88.204,,,,0.038
-113.79000000000087,161.00924642985424,,,,,,90.11,,,,,,0.038
-109.80000000000291,,,137.72138845732962,,,,,,57.783,,,,0.038
-108.80000000000291,123.44034657254907,,,,,,67.834,,,,,,0.038
-104.81999999999971,,,112.44459562683632,,,,,,77.363,,,,0.038
-102.79000000000087,,,,390.4560940928437,,,,,,111.757,,,0.038
-92.83000000000175,,162.43659211566927,,,,,,74.432,,,,,0.038
-86.83000000000175,100.49368489179976,48.61403965313152,,,,,58.517,42.032,,,,,0.038
-78.90000000000146,,,128.13960865132526,,,,,,72.573,,,,0.038
-78.88999999999942,,102.52255854663018,,,,,,64.229,,,,,0.038
-33.90999999999622,,,79.06384182291404,,,,,,45.374,,,,0.038
-29.87000000000262,,,63.06108344500375,,,,,,55.44,,,,0.038
-26.989999999997963,185.4738778630731,,,,,,90.13,,,,,,0.038
-22.959999999999127,53.22658187398986,,,,,,48.552,,,,,,0.038
-11.809999999997672,,154.77272402517087,,,,,,152.914,,,,,0.038
-6.970000000001164,46.07498017555633,,,,,,56.021,,,,,,0.038
0.0,344.6620147319991,,202.67916635484346,,,,46.893,,55.257,,,,0.038
0.9490000000005239,,,,,,388.49209015564765,,,,,,88.078,0.038
2.838999999999942,,,,,309.9885199543779,,,,,,70.395,,0.038
2.8590000000040163,,,,,,511.12124613971855,,,,,,72.698,0.038
2.9499999999970896,553.6672621460697,440.6691335016495,,,,,60.213,56.658,,,,,0.038
4.806000000004133,,,,,,674.3254304294595,,,,,,87.014,0.038
4.864000000001397,,,,,576.9676118327326,,,,,,71.273,,0.038
4.889999999999418,649.2845969355085,,388.028422495147,,,,70.703,,67.761,,,,0.038
6.859000000004016,,,,,,668.6049606046332,,,,,,118.704,0.038
6.885999999998603,,,,,681.4789144941121,,,,,,103.121,,0.038
8.99199999999837,,,,,656.7825857229551,,,,,,81.077,,0.038
9.02900000000227,,,,,,481.13432470129766,,,,,,116.859,0.038
13.845000000001164,,,,,,1226.3689865819686,,,,,,222.287,0.038
15.864000000001397,,,,,,668.4535230077578,,,,,,182.573,0.038
15.90400000000227,,,,,743.7255174102108,,,,,,188.799,,0.038
16.080000000001746,,898.696282826883,,450.82478950958404,,,,138.125,,112.115,,,0.038
17.05000000000291,,728.4383009243077,,,,,,134.368,,,,,0.038
19.010000000002037,,683.0107939214219,,322.77352538208527,,,,93.793,,172.691,,,0.038
19.860000000000582,,,,,,765.4942796340814,,,,,,77.269,0.038
20.889999999999418,684.3250610121481,,613.7168968195112,,,,76.629,,74.306,,,,0.038
21.881999999997788,,,,,,663.4811321389249,,,,,,109.855,0.038
22.94999999999709,439.7150780427711,,,192.6517006692609,,,81.367,,,129.438,,,0.038
23.81500000000233,,,,,,649.2107005476533,,,,,,74.975,0.038
23.84700000000157,,,,,481.6598827859328,,,,,,79.336,,0.038
25.773000000001048,,,,,,699.9946724141103,,,,,,166.616,0.038
28.840000000003783,,,551.4401366016299,,,,,,93.882,,,,0.038
34.04000000000087,154.80680158487215,,358.89519570459237,,,,59.208,,76.662,,,,0.038
37.8179999999993,,,,,,670.787711531025,,,,,,161.143,0.038
39.88900000000285,,,,,,799.3787265920844,,,,,,219.19,0.038
43.91000000000349,,585.9314851062105,,,,,,107.19,,,,,0.038
46.87000000000262,,249.27808456505502,,140.74438006176504,,,,55.181,,93.608,,,0.038
47.900000000001455,,221.99182626511325,257.3809029254887,,,,,45.083,69.148,,,,0.038
50.830000000001746,163.5683367978919,,216.54800990364805,,,,55.44,,66.012,,,,0.038
59.78199999999924,,,,,,291.2190533055453,,,,,,77.34,0.038
60.87999999999738,,90.13303956390325,,,,,,62.098,,,,,0.038
62.81999999999971,,,196.51891648514174,,,,,,89.451,,,,0.038
