relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-41.79599999999482,73.64713783994179,,,,,,96.219,,,,,,0.016
-35.78600000000006,,,65.33292471685557,,,,,,68.269,,,,0.016
-27.815999999998894,105.56012397358145,,,61.28141627799613,,,43.564,,,80.67,,,0.016
-24.815999999998894,,,,126.23382921722545,,,,,,90.162,,,0.016
-22.815999999998894,,120.4103357237256,,,,,,90.758,,,,,0.016
-11.855999999999767,155.7968099995033,,,,,,151.819,,,,,,0.016
-5.805999999996857,193.60671509675018,,,,,,70.979,,,,,,0.016
-3.8259999999936554,106.8534375065658,,41.38656815373322,,,,41.096,,49.1,,,,0.016
0.0,,,,,522.6968211035155,,,,,,93.308,,0.016
0.024000000004889444,457.06712964468875,,,312.5663002381928,,394.97711866599724,74.806,,,104.652,,97.723,0.016
2.0610000000015134,,,,,613.0809271860849,,,,,,94.169,,0.016
3.9310000000041327,,,,,,1383.0272214583733,,,,,,199.347,0.016
3.9800000000032014,,,,,1041.3532879365296,,,,,,160.162,,0.016
6.043000000005122,,,,,,1826.2075476854789,,,,,,217.608,0.016
6.088000000003376,,,,,1687.598140769307,,,,,,294.509,,0.016
7.981000000007043,,,,,2830.1388876103797,,,,,,430.086,,0.016
9.980000000003201,,,,,2478.9001228279217,,,,,,333.997,,0.016
12.104000000006636,,2876.2051182137584,,1820.5761534336261,,,,97.655,,106.915,,,0.016
14.094000000004598,,3212.0071074839375,2401.751591701801,,,,,108.712,115.414,,,,0.016
17.114000000001397,,,2430.824095362753,,,,,,73.683,,,,0.016
17.124000000003434,3567.6433573173863,,,,,,97.715,,,,,,0.016
17.95900000000256,,,,,,3527.191740458271,,,,,,116.846,0.016
18.002000000000407,,,,,3669.237710345219,,,,,,120.809,,0.016
20.872000000003027,,,,,,3405.509772406654,,,,,,131.647,0.016
23.104000000006636,3134.3337432325184,3248.813030191985,,,,,76.063,72.689,,,,,0.016
27.94100000000617,,,,,,2868.8866849589613,,,,,,109.527,0.016
30.074000000000524,2184.473016225702,,1649.6177873120037,,,,92.852,,102.657,,,,0.016
31.022000000004482,,,,,1865.7215874944643,,,,,,104.424,,0.016
32.92000000000553,,,,,,2399.6967575267495,,,,,,211.256,0.016
32.945000000006985,,,,,1784.465919960335,,,,,,227.062,,0.016
34.83400000000256,,,,,1261.9881979961349,,,,,,391.946,,0.016
34.91800000000512,,,,,,2138.2847395022595,,,,,,298.857,0.016
40.074000000000524,,1378.7375478848066,1024.182595544799,,,,,140.666,174.531,,,,0.016
40.87700000000041,,,,,,2043.4795001871958,,,,,,227.953,0.016
43.124000000003434,,1463.681642069001,1612.8483506465868,,,,,91.909,101.563,,,,0.016
44.994000000006054,644.2336497015781,,,981.1170489172785,,,58.281,,,103.997,,,0.016
46.83400000000256,,,,,484.6151062445132,,,,,,98.986,,0.016
48.04400000000169,556.8221113898747,,,,,,43.704,,,,,,0.016
48.054000000003725,,,1378.5788008611282,,,,,,61.936,,,,0.016
49.91700000000128,,,,,530.5594688897501,,,,,,85.855,,0.016
51.91800000000512,,,,,,1245.128595528774,,,,,,100.093,0.016
53.88400000000547,,,,,,1171.8167122002249,,,,,,83.597,0.016
53.93500000000495,,,,,424.9702978925173,,,,,,69.851,,0.016
54.004000000000815,398.32157986913256,919.4782271169277,,,,,59.881,61.853,,,,,0.016
55.87800000000425,,,,,,1106.631112948346,,,,,,89.875,0.016
55.93900000000576,,,,,338.0076688907249,,,,,,80.776,,0.016
58.97400000000198,364.8789814819633,,,964.8168423554954,,,46.592,,,76.283,,,0.016
61.76800000000367,,,,,,760.4602832325629,,,,,,192.929,0.016
69.85200000000623,,,,,,875.985751429369,,,,,,224.384,0.016
69.87400000000343,,,523.7472410730819,,,,,,140.524,,,,0.016
70.9340000000011,,580.1650269701954,,629.7277355340975,,,,68.799,,101.814,,,0.016
71.88400000000547,,378.28649851268136,471.70527949352845,,,,,76.2,82.322,,,,0.016
74.00400000000081,123.45553243487535,,409.4696376369866,,,,98.622,,68.106,,,,0.016
75.94400000000314,,,,311.47450841580434,,,,,,84.313,,,0.016
75.95400000000518,278.6953525930934,,,,,,41.675,,,,,,0.016
79.77000000000407,,,,,,598.4384017387375,,,,,,95.623,0.016
79.86500000000524,,,,,341.8870735565163,,,,,,97.95,,0.016
