relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-298.15000000000146,,163.0620508797099,,,,,,96.793,,,,,0.13
-288.22000000000116,123.94278679050095,,,,,,65.857,,,,,,0.13
-273.3199999999997,,312.22701504020483,,,,,,168.562,,,,,0.13
-269.2699999999968,,72.4217250284826,,,,,,44.085,,,,,0.13
-266.2699999999968,,,130.69825364277844,,,,,,72.259,,,,0.13
-261.26000000000204,,,94.86165594477534,,,,,,88.232,,,,0.13
-241.3399999999965,,67.69375206463347,152.48275967612324,,,,,55.651,57.727,,,,0.13
-228.36000000000058,136.74140293246793,,,,,,63.662,,,,,,0.13
-217.33000000000175,,,,181.10278203747563,,,,,,182.967,,,0.13
0.0,1532.9608098176805,,,,,,98.307,,,,,,0.13
0.010000000002037268,,,,1450.5254135100718,,,,,,128.509,,,0.13
5.950000000004366,,1728.3378407581017,,,,,,87.525,,,,,0.13
12.0,1505.6637854502358,1711.0857691985245,,,,,59.521,62.233,,,,,0.13
14.959999999999127,1385.3583375777653,,1722.7011218162847,,,,66.745,,74.614,,,,0.13
17.989999999997963,,,1610.9907570353762,,,,,,104.943,,,,0.13
18.0,,1793.5806051131835,,,,,,81.257,,,,,0.13
18.919999999998254,,,,1473.5000952881699,,,,,,141.152,,,0.13
19.400000000001455,,1728.634188689706,,,,,,91.976,,,,,0.13
19.889999999999418,,,1682.9274291500947,,,,,,96.105,,,,0.13
26.880000000004657,,1677.0696485905898,,,,,,87.811,,,,,0.13
26.889999999999418,,,,1645.710339503783,,,,,,108.144,,,0.13
29.93000000000029,1092.537116056101,,,1773.709062457102,,,126.168,,,253.001,,,0.13
31.959999999999127,967.0211338676912,,1699.6230705591665,,,,98.256,,70.475,,,,0.13
37.88999999999942,,1674.4487366083295,,,,,,89.971,,,,,0.13
37.900000000001455,853.5426438456163,,,,,,88.035,,,,,,0.13
